actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-03-29T23:12:40.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-03-29T23:12:40Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-03-29T23:12:42.2Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2024-03-29T23:12:42Z,40000,False,,,0,,Jump Ball A. Davis vs. M. Turner: Tip to L. James,"[2544, 203076, 1626167]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-03-29T23:13:18.0Z,1,REGULAR,3pt,Jump Shot,[],1630559,32.14520367936925,36.76470588235294,1610612747,0,0,2024-03-29T23:13:23Z,80000,False,66.0,250.0,1,left,MISS A. Reaves 25' 3PT,[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Center,25.83,Missed,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2024-03-29T23:13:22.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,0,0,2024-03-29T23:13:23Z,90000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M18.00S,2024-03-29T23:13:38.1Z,1,REGULAR,foul,personal,[],1626156,,,1610612754,0,0,2024-03-29T23:14:01Z,100000,False,,,0,,D. Russell personal FOUL (1 PF),"[1626156, 1629614]",1610612747.0,LAL,,,,Russell,D. Russell,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,202058.0,1.0,0.0,Nembhard,1629614.0,,,,,,,,,
12,PT11M14.00S,2024-03-29T23:14:11.6Z,1,REGULAR,2pt,Jump Shot,[],1629614,79.05716162943496,34.80392156862745,1610612754,0,0,2024-03-29T23:14:34Z,120000,False,-76.0,144.0,1,right,MISS A. Nembhard 16' pullup Shot,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,Mid-Range,16-24 Left Center,16.32,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2024-03-29T23:14:15.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,0,0,2024-03-29T23:14:16Z,130000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Left Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M01.00S,2024-03-29T23:14:24.5Z,1,REGULAR,3pt,Jump Shot,[],1629060,19.66162943495401,8.333333333333332,1610612747,0,3,2024-03-29T23:14:31Z,140000,False,208.0,132.0,1,left,R. Hachimura 24' 3PT  (3 PTS) (A. Reaves 1 AST),"[1629060, 1630559]",1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right Center,24.68,Made,,,,,,,,,,3.0,A. Reaves,1630559.0,1.0,,,,,
16,PT10M48.00S,2024-03-29T23:14:35.8Z,1,REGULAR,2pt,Jump Shot,[],1630169,75.64060446780552,37.99019607843137,1610612754,0,3,2024-03-29T23:14:41Z,160000,False,-60.0,176.0,1,right,MISS T. Haliburton 18' pullup Shot,[1630169],1610612754.0,IND,pullup,,,Haliburton,T. Haliburton,,,,,Mid-Range,16-24 Left Center,18.64,Missed,,,,,,,,,,,,,,,,,,
17,PT10M44.00S,2024-03-29T23:14:39.8Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,3,2024-03-29T23:14:41Z,170000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M41.00S,2024-03-29T23:14:43.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",2544,5.469776609724048,52.450980392156865,1610612747,0,5,2024-03-29T23:15:05Z,180000,False,-12.0,-1.0,1,left,L. James running alley-oop DUNK (2 PTS) (A. Reaves 2 AST),"[2544, 1630559]",1610612747.0,LAL,running alley-oop,,,James,L. James,,,,,Restricted Area,0-8 Center,1.23,Made,,,,,,,,,,2.0,A. Reaves,1630559.0,2.0,,,,,
20,PT10M15.00S,2024-03-29T23:15:09.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630174,89.30683311432325,40.44117647058824,1610612754,2,5,2024-03-29T23:15:15Z,200000,False,-48.0,48.0,1,right,A. Nesmith 6' driving Layup (2 PTS) (T. Haliburton 1 AST),"[1630174, 1630169]",1610612754.0,IND,driving,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,6.77,Made,,,,,,,,,,2.0,T. Haliburton,1630169.0,1.0,,,,,
