actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-11T00:10:21.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-11T00:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2024-01-11T00:10:24.0Z,1,REGULAR,jumpball,recovered,[],1630167,,,1610612754,0,0,2024-01-11T00:10:24Z,40000,False,,,0,,Jump Ball M. Turner vs. D. Gafford: Tip to O. Toppin,"[1630167, 1626167, 1629655]",1610612754.0,IND,startperiod,O. Toppin,1630167.0,Toppin,O. Toppin,Turner,1626167.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2024-01-11T00:10:44.5Z,1,REGULAR,turnover,lost ball,[],1626167,,,1610612754,0,0,2024-01-11T00:10:47Z,70000,False,,,0,,M. Turner lost ball TURNOVER (1 TO),"[1626167, 1629655]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,16-24 Center,1.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-01-11T00:10:44.5Z,1,REGULAR,steal,,[],1629655,,,1610612764,0,0,2024-01-11T00:10:46Z,80000,False,,,0,,D. Gafford STEAL (1 STL),[1629655],1610612764.0,WAS,,,,Gafford,D. Gafford,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M33.00S,2024-01-11T00:10:48.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626145,91.5407358738502,55.392156862745104,1610612764,0,2,2024-01-11T00:10:52Z,90000,False,27.0,27.0,1,right,T. Jones running Layup (2 PTS),[1626145],1610612764.0,WAS,running,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,3.82,Made,2.0,,,,,,,,,,,,,,
10,PT11M24.00S,2024-01-11T00:10:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,7.966491458607096,51.225490196078425,1610612754,2,2,2024-01-11T00:11:01Z,100000,False,-6.0,22.0,1,left,A. Nembhard driving Layup (2 PTS),[1629614],1610612754.0,IND,driving,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,,,,2.32,Made,2.0,,,,,,,,,,,,,,
11,PT10M57.00S,2024-01-11T00:11:24.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,92.46057818659659,54.166666666666664,1610612764,2,2,2024-01-11T00:11:31Z,110000,False,21.0,18.0,1,right,MISS K. Kuzma driving reverse Layup,[1628398],1610612764.0,WAS,driving reverse,,,Kuzma,K. Kuzma,,,,,Restricted Area,0-8 Center,,,,2.78,Missed,,,,,,,,,,,,,,,
12,PT10M50.00S,2024-01-11T00:11:31.2Z,1,REGULAR,rebound,defensive,[],1630167,,,1610612754,2,2,2024-01-11T00:11:31Z,120000,False,,,0,,O. Toppin REBOUND (Off:0 Def:1),[1630167],1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Restricted Area,0-8 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M46.00S,2024-01-11T00:11:34.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1628971,6.389618922470433,52.94117647058824,1610612754,2,2,2024-01-11T00:11:43Z,130000,False,-15.0,8.0,1,left,MISS B. Brown running reverse Layup,[1628971],1610612754.0,IND,running reverse,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,,,1.65,Missed,,,,,,,,,,,,,,,
14,PT10M45.00S,2024-01-11T00:11:35.6Z,1,REGULAR,rebound,defensive,[],1630166,,,1610612764,2,2,2024-01-11T00:11:43Z,140000,False,,,0,,D. Avdija REBOUND (Off:0 Def:1),[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M37.00S,2024-01-11T00:11:44.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630166,93.38042049934296,46.07843137254902,1610612764,2,2,2024-01-11T00:11:48Z,150000,False,-20.0,10.0,1,right,MISS D. Avdija Layup,[1630166],1610612764.0,WAS,,,,Avdija,D. Avdija,,,,,Restricted Area,0-8 Center,,,,2.19,Missed,,,,,,,,,,,,,,,
16,PT10M33.00S,2024-01-11T00:11:48.5Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,2,2,2024-01-11T00:11:48Z,160000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,Restricted Area,0-8 Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
