actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-29T00:43:22.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-29T00:43:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2024-02-29T00:43:25.1Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2024-02-29T00:43:25Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. M. Turner: Tip to C. McCollum,"[203468, 202685, 1626167]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2024-02-29T00:43:43.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,89.30683311432325,60.049019607843135,1610612740,0,0,2024-02-29T00:43:51Z,70000,False,50.0,48.0,1,right,MISS J. Valanciunas 6' Layup - blocked,"[202685, 1627783]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,6.95,Missed,Siakam,1627783.0,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-02-29T00:43:43.7Z,1,REGULAR,block,,[],1627783,,,1610612740,0,0,2024-02-29T00:43:51Z,80000,False,,,0,,P. Siakam BLOCK (1 BLK),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2024-02-29T00:43:45.7Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,0,0,2024-02-29T00:43:51Z,90000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M32.00S,2024-02-29T00:43:49.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,5.863994743758213,53.92156862745098,1610612754,2,0,2024-02-29T00:43:57Z,100000,False,-20.0,3.0,1,left,P. Siakam running finger roll Layup (2 PTS),[1627783],1610612754.0,IND,running finger roll,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,1.98,Made,,,,,,,2.0,,,,,,,,,,,
11,PT11M18.00S,2024-02-29T00:44:03.2Z,1,REGULAR,2pt,Jump Shot,[],203468,79.05716162943496,50.0,1610612740,2,0,2024-02-29T00:44:10Z,110000,False,0.0,144.0,1,right,MISS C. McCollum 14' driving floating Shot,[203468],1610612740.0,NOP,driving floating,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Center,14.44,Missed,,,,,,,,,,,,,,,,,,
12,PT11M15.00S,2024-02-29T00:44:06.2Z,1,REGULAR,rebound,offensive,[],203468,,,1610612740,2,0,2024-02-29T00:44:10Z,120000,False,,,0,,C. McCollum REBOUND (Off:1 Def:0),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Center,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,,,
13,PT11M15.00S,2024-02-29T00:44:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203468,94.40999984741211,50.0,1610612740,2,0,2024-02-29T00:44:06Z,130000,False,0.0,0.0,1,right,MISS C. McCollum tip Layup,[203468],1610612740.0,NOP,tip,,,McCollum,C. McCollum,,,,,Mid-Range,8-16 Left,0.0,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2024-02-29T00:44:07.5Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,0,2024-02-29T00:44:07Z,140000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT11M09.00S,2024-02-29T00:44:19.1Z,1,REGULAR,turnover,illegal assist,[],1631097,,,1610612754,2,0,2024-02-29T00:44:26Z,160000,False,,,0,,B. Mathurin illegal assist TURNOVER (1 TO),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Restricted Area,0-8 Center,,,,,,,,,,202037.0,1.0,,,,,,,,,
17,PT10M58.00S,2024-02-29T00:44:40.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629627,91.93495400788436,58.82352941176471,1610612740,2,0,2024-02-29T00:44:44Z,170000,False,44.0,23.0,1,right,MISS Z. Williamson driving Layup,[1629627],1610612740.0,NOP,driving,,,Williamson,Z. Williamson,,,,,In The Paint (Non-RA),0-8 Center,4.99,Missed,,,,,,,,,,,,,,,,,,
18,PT10M54.00S,2024-02-29T00:44:44.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,2,0,2024-02-29T00:44:44Z,180000,False,,,0,,P. Siakam REBOUND (Off:0 Def:2),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,
19,PT10M43.00S,2024-02-29T00:44:55.6Z,1,REGULAR,foul,personal,['2freethrow'],1630529,,,1610612754,2,0,2024-02-29T00:45:02Z,190000,False,,,0,,H. Jones shooting personal FOUL (1 PF) (Turner 2 FT),"[1630529, 1626167]",1610612740.0,NOP,shooting,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,,,,,,,,,,101284.0,,1.0,0.0,Turner,1626167.0,,,,,
21,PT10M43.00S,2024-02-29T00:45:21.6Z,1,REGULAR,freethrow,1 of 2,[],1626167,,,1610612754,3,0,2024-02-29T00:45:21Z,210000,False,,,0,,M. Turner Free Throw 1 of 2 (1 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
22,PT10M43.00S,2024-02-29T00:45:37.3Z,1,REGULAR,freethrow,2 of 2,[],1626167,,,1610612754,4,0,2024-02-29T00:45:37Z,220000,False,,,0,,M. Turner Free Throw 2 of 2 (2 PTS),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
23,PT10M20.00S,2024-02-29T00:46:02.3Z,1,REGULAR,3pt,Jump Shot,[],203468,66.17936925098554,49.26470588235294,1610612740,4,3,2024-02-29T00:46:08Z,230000,False,-4.0,265.0,1,right,C. McCollum 26' 3PT pullup (3 PTS),[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Center,26.54,Made,,,,,,,3.0,,,,,,,,,,,
24,PT10M08.00S,2024-02-29T00:46:13.5Z,1,REGULAR,3pt,Jump Shot,[],1631097,22.28975032851511,9.558823529411764,1610612754,7,3,2024-02-29T00:46:19Z,240000,False,202.0,157.0,1,left,B. Mathurin 25' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1631097, 1630169]",1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Right Center,25.6,Made,,,,,,,3.0,,,,,,,T. Haliburton,1630169.0,1.0,,
26,PT09M52.00S,2024-02-29T00:46:29.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,80.6340341655716,53.67647058823529,1610612740,7,3,2024-02-29T00:46:35Z,260000,False,18.0,130.0,1,right,MISS C. McCollum 13' turnaround fadeaway Shot,[203468],1610612740.0,NOP,turnaround fadeaway,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,13.08,Missed,,,,,,,,,,,,,,,,,,
27,PT09M50.00S,2024-02-29T00:46:31.7Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,7,3,2024-02-29T00:46:35Z,270000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),8-16 Center,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,
28,PT09M42.00S,2024-02-29T00:46:40.8Z,1,REGULAR,3pt,Jump Shot,[],1626167,31.61957950065703,32.1078431372549,1610612754,7,3,2024-02-29T00:46:45Z,280000,False,89.0,245.0,1,left,MISS M. Turner 26' 3PT,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,26.06,Missed,,,,,,,,,,,,,,,,,,
29,PT09M37.00S,2024-02-29T00:46:45.8Z,1,REGULAR,rebound,defensive,[],203468,,,1610612740,7,3,2024-02-29T00:46:45Z,290000,False,,,0,,C. McCollum REBOUND (Off:1 Def:1),[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,,
30,PT09M32.00S,2024-02-29T00:46:49.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,76.42904073587385,49.26470588235294,1610612740,7,3,2024-02-29T00:53:05Z,300000,False,-4.0,169.0,1,right,MISS B. Ingram 16' pullup Shot,[1627742],1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,Mid-Range,16-24 Center,16.91,Missed,,,,,,,,,,,,,,,,,,
31,PT09M30.00S,2024-02-29T00:46:51.6Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,7,3,2024-02-29T00:46:57Z,310000,False,,,0,,P. Siakam REBOUND (Off:0 Def:3),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,16-24 Center,,,,,30.0,3.0,3.0,0.0,,,,,,,,,,,,
32,PT09M22.00S,2024-02-29T00:47:00.2Z,1,REGULAR,2pt,Jump Shot,[],1626167,10.33180026281209,30.637254901960787,1610612754,7,3,2024-02-29T00:47:04Z,320000,False,97.0,45.0,1,left,MISS M. Turner 10' driving floating bank Shot,[1626167],1610612754.0,IND,driving floating bank,,,Turner,M. Turner,,,,,Mid-Range,8-16 Right,10.66,Missed,,,,,,,,,,,,,,,,,,
33,PT09M19.00S,2024-02-29T00:47:03.2Z,1,REGULAR,rebound,offensive,[],1629614,,,1610612754,7,3,2024-02-29T00:51:35Z,330000,False,,,0,,A. Nembhard REBOUND (Off:1 Def:0),[1629614],1610612754.0,IND,,,,Nembhard,A. Nembhard,,,,,Mid-Range,8-16 Right,,,,,32.0,1.0,0.0,1.0,,,,,,,,,,,,
34,PT09M16.00S,2024-02-29T00:47:05.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1629614,17.0335085413929,49.01960784313725,1610612754,7,3,2024-02-29T00:47:10Z,340000,False,5.0,108.0,1,left,MISS A. Nembhard 10' pullup Shot,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),8-16 Center,10.77,Missed,,,,,,,,,,,,,,,,,,
