actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-11-10T00:10:39.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-10T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-11-10T00:11:00.1Z,1,REGULAR,jumpball,recovered,[],203507,,,0,0,0,2023-11-10T00:11:00Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Turner: Tip to G. Antetokounmpo,"[203507, 201572, 1626167]",1610612749.0,MIL,unclearpass,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-11-10T00:11:14.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,91.27792378449409,43.38235294117647,1610612749,0,0,2023-11-10T00:11:51Z,70000,False,-33.0,29.0,1,right,MISS G. Antetokounmpo driving Layup,[203507],1610612749.0,MIL,driving,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,4.43,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2023-11-10T00:11:17.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612754,0,0,2023-11-10T00:11:19Z,80000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2023-11-10T00:11:25.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631097,19.136005256241788,37.99019607843137,1610612754,0,0,2023-11-10T00:11:30Z,90000,False,60.0,127.0,1,left,MISS B. Mathurin 14' driving floating Shot,[1631097],1610612754.0,IND,driving floating,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Center,14.08,Missed,,,,,,,,,,,,,,,,,,
10,PT11M28.00S,2023-11-10T00:11:29.0Z,1,REGULAR,rebound,offensive,[],1631097,,,1610612754,0,0,2023-11-10T00:11:29Z,100000,False,,,0,,B. Mathurin REBOUND (Off:1 Def:0),[1631097],1610612754.0,IND,,,,Mathurin,B. Mathurin,,,,,In The Paint (Non-RA),8-16 Center,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11,PT11M24.00S,2023-11-10T00:11:33.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628971,5.206964520367937,54.166666666666664,1610612754,0,0,2023-11-10T00:11:39Z,110000,False,-21.0,-4.0,1,left,MISS B. Brown driving finger roll Layup - blocked,"[1628971, 201572]",1610612754.0,IND,driving finger roll,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,2.11,Missed,,,,,Lopez,201572.0,,,,,,,,,,,,
12,PT11M24.00S,2023-11-10T00:11:33.5Z,1,REGULAR,block,,[],201572,,,1610612754,0,0,2023-11-10T00:11:36Z,120000,False,,,0,,B. Lopez BLOCK (1 BLK),[201572],1610612749.0,MIL,,,,Lopez,B. Lopez,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2023-11-10T00:11:35.5Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,0,2023-11-10T00:11:46Z,130000,False,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,Restricted Area,0-8 Center,,,11.0,,,,,,,,,,,,,,,,,
15,PT11M16.00S,2023-11-10T00:11:58.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1626167,31.09395532194481,67.8921568627451,1610612754,3,0,2023-11-10T00:12:03Z,150000,False,-89.0,240.0,1,left,M. Turner 25' 3PT  (3 PTS) (T. Haliburton 1 AST),"[1626167, 1630169]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,25.6,Made,,,,,,,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,
17,PT11M01.00S,2023-11-10T00:12:13.1Z,1,REGULAR,3pt,Jump Shot,[],203114,66.70499342969777,35.294117647058826,1610612749,3,3,2023-11-10T00:12:17Z,170000,False,-74.0,260.0,1,right,K. Middleton 27' 3PT pullup (3 PTS),[203114],1610612749.0,MIL,pullup,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,27.07,Made,,,,,,,3.0,,,,,,,,,,,
18,PT10M47.00S,2023-11-10T00:12:26.7Z,1,REGULAR,3pt,Jump Shot,[],1630169,30.305519053876477,75.24509803921569,1610612754,3,3,2023-11-10T00:12:31Z,180000,False,-126.0,232.0,1,left,MISS T. Haliburton 26' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,26.45,Missed,,,,,,,,,,,,,,,,,,
19,PT10M44.00S,2023-11-10T00:12:29.7Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,3,3,2023-11-10T00:12:31Z,190000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
