actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-01-04T00:10:48.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-01-04T00:10:48Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-01-04T00:11:00.8Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2024-01-04T00:11:00Z,40000,False,,,0,,Jump Ball B. Lopez vs. M. Turner: Tip to G. Antetokounmpo,"[203507, 201572, 1626167]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2024-01-04T00:11:13.2Z,1,REGULAR,turnover,out-of-bounds,[],203507,,,1610612749,0,0,2024-01-04T00:11:19Z,70000,False,,,0,,G. Antetokounmpo lost ball out-of-bounds TURNOVER (1 TO),[203507],1610612749.0,MIL,lost ball,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,1628168.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2024-01-04T00:11:30.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628971,13.222733245729303,58.333333333333336,1610612754,2,0,2024-01-04T00:12:33Z,80000,False,-42.0,72.0,1,left,B. Brown 8' turnaround Hook (2 PTS),[1628971],1610612754.0,IND,turnaround,,,Brown,B. Brown,,,,,In The Paint (Non-RA),8-16 Center,,,8.3,Made,2.0,,,,,,,,,,,,,,,
9,PT11M11.00S,2024-01-04T00:11:54.0Z,1,REGULAR,3pt,Jump Shot,[],203114,77.08607095926413,6.372549019607843,1610612749,2,0,2024-01-04T00:11:59Z,90000,False,-218.0,163.0,1,right,MISS K. Middleton 27' 3PT,[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,27.22,Missed,,,,,,,,,,,,,,,,
10,PT11M08.00S,2024-01-04T00:11:57.0Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,2,0,2024-01-04T00:11:59Z,100000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT10M58.00S,2024-01-04T00:12:07.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,16.507884362680684,48.03921568627451,1610612754,4,0,2024-01-04T00:12:10Z,110000,False,10.0,103.0,1,left,M. Turner 10' turnaround Jump Shot (2 PTS) (A. Nesmith 1 AST),"[1626167, 1630174]",1610612754.0,IND,turnaround,,,Turner,M. Turner,,,,,In The Paint (Non-RA),8-16 Center,,,10.32,Made,2.0,,,,,A. Nesmith,1630174.0,1.0,,,,,,,,
13,PT10M37.00S,2024-01-04T00:12:28.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627736,91.80354796320631,58.82352941176471,1610612749,4,0,2024-01-04T00:12:32Z,130000,False,44.0,25.0,1,right,MISS M. Beasley driving floating bank Shot,[1627736],1610612749.0,MIL,driving floating bank,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,5.04,Missed,,,,,,,,,,,,,,,,
14,PT10M34.00S,2024-01-04T00:12:31.3Z,1,REGULAR,rebound,defensive,[],1630174,,,1610612754,4,0,2024-01-04T00:12:32Z,140000,False,,,0,,A. Nesmith REBOUND (Off:0 Def:1),[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,In The Paint (Non-RA),0-8 Center,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
15,PT10M22.00S,2024-01-04T00:12:43.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626167,9.411957950065702,40.68627450980392,1610612754,6,0,2024-01-04T00:12:47Z,150000,False,47.0,36.0,1,left,M. Turner turnaround bank Jump Shot (4 PTS) (A. Nesmith 2 AST),"[1626167, 1630174]",1610612754.0,IND,turnaround bank,,,Turner,M. Turner,,,,,In The Paint (Non-RA),0-8 Center,,,5.89,Made,4.0,,,,,A. Nesmith,1630174.0,2.0,,,,,,,,
17,PT10M02.00S,2024-01-04T00:13:02.9Z,1,REGULAR,3pt,Jump Shot,[],203081,66.70499342969777,48.77450980392157,1610612749,6,3,2024-01-04T00:13:07Z,170000,False,-6.0,260.0,1,right,D. Lillard 26' 3PT  (3 PTS) (K. Middleton 1 AST),"[203081, 203114]",1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,26.06,Made,3.0,,,,,K. Middleton,203114.0,1.0,,,,,,,,
19,PT09M48.00S,2024-01-04T00:13:16.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,8.09789750328515,50.73529411764706,1610612754,8,3,2024-01-04T00:13:27Z,190000,False,-4.0,24.0,1,left,M. Turner Layup (6 PTS) (J. Smith 1 AST),"[1626167, 1630188]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,2.39,Made,6.0,,,,,J. Smith,1630188.0,1.0,,,,,,,,
21,PT09M31.00S,2024-01-04T00:13:33.2Z,1,REGULAR,3pt,Jump Shot,[],203081,61.0545335085414,68.87254901960785,1610612749,8,3,2024-01-04T00:13:37Z,210000,False,94.0,314.0,1,right,MISS D. Lillard 32' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Center,,,32.75,Missed,,,,,,,,,,,,,,,,
22,PT09M28.00S,2024-01-04T00:13:36.2Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,8,3,2024-01-04T00:13:37Z,220000,False,,,0,,M. Turner REBOUND (Off:0 Def:2),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Center,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,
23,PT09M24.00S,2024-01-04T00:13:41.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630169,19.136005256241788,93.38235294117648,1610612754,8,3,2024-01-04T00:13:47Z,230000,False,-217.0,127.0,1,left,MISS T. Haliburton 25' running pullup 3PT,[1630169],1610612754.0,IND,running pullup,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Left Center,,,25.15,Missed,,,,,,,,,,,,,,,,
24,PT09M20.00S,2024-01-04T00:13:45.3Z,1,REGULAR,rebound,defensive,[],203114,,,1610612749,8,3,2024-01-04T00:14:02Z,240000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,
25,PT09M13.00S,2024-01-04T00:13:52.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203114,88.12417871222075,38.72549019607843,1610612749,8,5,2024-01-04T00:13:59Z,250000,False,-56.0,59.0,1,right,K. Middleton 8' turnaround bank Jump Shot (2 PTS),[203114],1610612749.0,MIL,turnaround bank,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),8-16 Left,,,8.17,Made,2.0,,,,,,,,,,,,,,,
26,PT09M01.00S,2024-01-04T00:14:04.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630188,6.521024967148489,51.71568627450981,1610612754,10,5,2024-01-04T00:14:09Z,260000,False,-9.0,9.0,1,left,J. Smith driving DUNK (2 PTS) (T. Haliburton 1 AST),"[1630188, 1630169]",1610612754.0,IND,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,1.23,Made,2.0,,,,,T. Haliburton,1630169.0,1.0,,,,,,,,
28,PT08M44.00S,2024-01-04T00:14:20.2Z,1,REGULAR,3pt,Jump Shot,[],203081,64.73390275952694,27.450980392156865,1610612749,10,5,2024-01-04T00:14:25Z,280000,False,-113.0,279.0,1,right,MISS D. Lillard 30' 3PT,[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Above the Break 3,24+ Left Center,,,30.09,Missed,,,,,,,,,,,,,,,,
29,PT08M41.00S,2024-01-04T00:14:24.8Z,1,REGULAR,rebound,offensive,[],203114,,,1610612749,10,5,2024-01-04T00:14:24Z,290000,False,,,0,,K. Middleton REBOUND (Off:1 Def:1),[203114],1610612749.0,MIL,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Left Center,,,,,,28.0,2.0,1.0,1.0,,,,,,,,,,,
30,PT08M36.00S,2024-01-04T00:14:29.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1627736,69.46452036793693,80.3921568627451,1610612749,10,8,2024-01-04T00:14:34Z,300000,False,152.0,235.0,1,right,M. Beasley 27' 3PT pullup (3 PTS),[1627736],1610612749.0,MIL,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,,,27.95,Made,3.0,,,,,,,,,,,,,,,
31,PT08M19.00S,2024-01-04T00:14:46.2Z,1,REGULAR,2pt,Jump Shot,[],1630169,7.30946123521682,75.0,1610612754,12,8,2024-01-04T00:15:22Z,310000,False,-125.0,16.0,1,left,T. Haliburton 12' driving floating bank Jump Shot (2 PTS) (J. Smith 2 AST),"[1630169, 1630188]",1610612754.0,IND,driving floating bank,,,Haliburton,T. Haliburton,,,,,Mid-Range,8-16 Left,,,12.6,Made,2.0,,,,,J. Smith,1630188.0,2.0,,,,,,,,
33,PT08M19.00S,2024-01-04T00:14:50.9Z,1,REGULAR,foul,personal,['1freethrow'],1627736,,,1610612754,12,8,2024-01-04T00:14:56Z,330000,False,,,0,,M. Beasley shooting personal FOUL (1 PF) (Haliburton 1 FT),"[1627736, 1630169]",1610612749.0,MIL,shooting,,,Beasley,M. Beasley,,,,,Mid-Range,8-16 Left,201246.0,,,,,,,,,,,,1.0,0.0,Haliburton,1630169.0,,,,
35,PT08M19.00S,2024-01-04T00:15:13.2Z,1,REGULAR,freethrow,1 of 1,[],1630169,,,1610612754,13,8,2024-01-04T00:15:13Z,350000,False,,,0,,T. Haliburton Free Throw 1 of 1 (3 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,Made,3.0,,,,,,,,,,,,,,,
36,PT08M09.00S,2024-01-04T00:15:27.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203081,89.43823915900131,46.07843137254902,1610612749,13,10,2024-01-04T00:15:31Z,360000,False,-20.0,47.0,1,right,D. Lillard driving finger roll Layup (5 PTS) (K. Middleton 2 AST),"[203081, 203114]",1610612749.0,MIL,driving finger roll,,,Lillard,D. Lillard,,,,,In The Paint (Non-RA),0-8 Center,,,5.07,Made,5.0,,,,,K. Middleton,203114.0,2.0,,,,,,,,
38,PT07M51.00S,2024-01-04T00:15:44.6Z,1,REGULAR,3pt,Jump Shot,[],1630188,5.469776609724048,96.56862745098039,1610612754,13,10,2024-01-04T00:15:48Z,380000,False,-233.0,-1.0,1,left,MISS J. Smith 3PT,[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Left Corner 3,24+ Left,,,23.28,Missed,,,,,,,,,,,,,,,,
39,PT07M49.00S,2024-01-04T00:15:46.6Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612749,13,10,2024-01-04T00:15:48Z,390000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,Left Corner 3,24+ Left,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,
40,PT07M32.00S,2024-01-04T00:16:05.2Z,1,REGULAR,turnover,out-of-bounds,[],203114,,,1610612749,13,10,2024-01-04T00:16:09Z,400000,False,,,0,,K. Middleton bad pass out-of-bounds TURNOVER (1 TO),[203114],1610612749.0,MIL,bad pass,,,Middleton,K. Middleton,,,,,Mid-Range,24+ Right,1628168.0,1.0,,,,,,,,,,,,,,,,,,
41,PT07M21.00S,2024-01-04T00:16:22.0Z,1,REGULAR,turnover,bad pass,[],1628971,,,1610612754,13,10,2024-01-04T00:16:25Z,410000,False,,,0,,B. Brown bad pass TURNOVER (1 TO),"[1628971, 203081]",1610612754.0,IND,,,,Brown,B. Brown,,,,,Restricted Area,0-8 Center,,1.0,,,,,,,,,,,,,,,Lillard,203081.0,,
42,PT07M21.00S,2024-01-04T00:16:22.0Z,1,REGULAR,steal,,[],203081,,,1610612749,13,10,2024-01-04T00:16:23Z,420000,False,,,0,,D. Lillard STEAL (1 STL),[203081],1610612749.0,MIL,,,,Lillard,D. Lillard,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
43,PT07M17.00S,2024-01-04T00:16:26.7Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1627736,90.09526938239159,4.411764705882353,1610612749,13,13,2024-01-04T00:16:32Z,430000,False,-228.0,41.0,1,right,M. Beasley 3PT running (6 PTS) (D. Lillard 1 AST),"[1627736, 203081]",1610612749.0,MIL,running,,,Beasley,M. Beasley,,,,,Left Corner 3,24+ Left,,,23.15,Made,6.0,,,,,D. Lillard,203081.0,1.0,,,,,,,,
45,PT07M03.00S,2024-01-04T00:16:43.1Z,1,REGULAR,foul,personal,[],1627736,,,1610612754,13,13,2024-01-04T00:16:50Z,450000,False,,,0,,M. Beasley personal FOUL (2 PF),"[1627736, 1626167]",1610612749.0,MIL,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,1628168.0,,,,,,,,,,,,2.0,0.0,Turner,1626167.0,,,,
47,PT07M00.00S,2024-01-04T00:16:58.7Z,1,REGULAR,3pt,Jump Shot,[],1630188,4.418528252299605,4.166666666666666,1610612754,16,13,2024-01-04T00:17:01Z,470000,False,229.0,-11.0,1,left,J. Smith 3PT  (5 PTS) (T. Haliburton 2 AST),"[1630188, 1630169]",1610612754.0,IND,,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,,,22.95,Made,5.0,,,,,T. Haliburton,1630169.0,2.0,,,,,,,,
50,PT06M43.00S,2024-01-04T00:17:28.4Z,1,REGULAR,violation,kicked ball,[],1630174,,,1610612749,16,13,2024-01-04T00:17:37Z,500000,False,,,0,,A. Nesmith kicked ball VIOLATION,[1630174],1610612754.0,IND,,,,Nesmith,A. Nesmith,,,,,,,201246.0,,,,,,,,,,,,,,,,,,,
51,PT06M43.00S,2024-01-04T00:17:32.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612749,16,13,2024-01-04T00:17:32Z,510000,False,,,0,,IND Timeout,[],1610612754.0,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
