actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-11-23T00:41:12.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-11-23T00:41:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-11-23T00:41:14.7Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2023-11-23T00:41:14Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Poeltl: Tip to T. Haliburton,"[1630169, 1626167, 1627751]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Turner,1626167.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2023-11-23T00:41:26.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,6.1268068331143235,49.50980392156863,1610612754,0,0,2023-11-23T00:41:30Z,70000,False,2.0,5.0,1,left,MISS M. Turner Layup,[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,0.57,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2023-11-23T00:41:29.4Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,0,2023-11-23T00:41:58Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,Restricted Area,0-8 Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M39.00S,2023-11-23T00:41:50.3Z,1,REGULAR,jumpball,recovered,[],1630567,,,1610612761,0,0,2023-11-23T00:41:58Z,90000,False,,,0,,Jump Ball J. Poeltl vs. M. Turner: Tip to S. Barnes,"[1630567, 1627751, 1626167]",1610612761.0,TOR,heldball,S. Barnes,1630567.0,Barnes,S. Barnes,Poeltl,1627751.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
14,PT11M24.00S,2023-11-23T00:42:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,94.82588699080158,51.71568627450981,1610612761,0,2,2023-11-23T00:42:08Z,140000,False,9.0,-4.0,1,right,S. Barnes Layup (2 PTS) (J. Poeltl 1 AST),"[1630567, 1627751]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,0.94,Made,,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,
16,PT10M59.00S,2023-11-23T00:42:29.2Z,1,REGULAR,3pt,Jump Shot,[],1630167,2.578843626806833,96.81372549019608,1610612754,3,2,2023-11-23T00:42:33Z,160000,False,-234.0,-28.0,1,left,O. Toppin 3PT  (3 PTS) (B. Hield 1 AST),"[1630167, 1627741]",1610612754.0,IND,,,,Toppin,O. Toppin,,,,,Left Corner 3,24+ Left,23.58,Made,,3.0,B. Hield,1627741.0,1.0,,,,,,,,,,,,,
18,PT10M47.00S,2023-11-23T00:42:42.7Z,1,REGULAR,3pt,Jump Shot,[],203471,65.78515111695138,47.794117647058826,1610612761,3,2,2023-11-23T00:42:47Z,180000,False,-11.0,269.0,1,right,MISS D. Schroder 26' 3PT,[203471],1610612761.0,TOR,,,,Schroder,D. Schroder,,,,,Above the Break 3,24+ Center,26.93,Missed,,,,,,,,,,,,,,,,,,
19,PT10M43.00S,2023-11-23T00:42:46.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612754,3,2,2023-11-23T00:42:47Z,190000,False,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612754.0,IND,,,,Brown,B. Brown,,,,,Above the Break 3,24+ Center,,,18.0,,,,,1.0,1.0,0.0,,,,,,,,,,
20,PT10M34.00S,2023-11-23T00:42:54.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,5.732588699080158,48.529411764705884,1610612754,5,2,2023-11-23T00:43:00Z,200000,False,7.0,1.0,1,left,M. Turner driving DUNK (2 PTS) (B. Brown 1 AST),"[1626167, 1628971]",1610612754.0,IND,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,0.75,Made,,2.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,
