actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-02-27T00:10:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-02-27T00:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-02-27T00:10:29.8Z,1,REGULAR,jumpball,recovered,[],1629614,,,1610612754,0,0,2024-02-27T00:10:29Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Poeltl: Tip to A. Nembhard,"[1629614, 1626167, 1627751]",1610612754.0,IND,startperiod,A. Nembhard,1629614.0,Nembhard,A. Nembhard,Turner,1626167.0,Poeltl,1627751.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M56.00S,2024-02-27T00:10:31.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629614,7.966491458607096,48.529411764705884,1610612754,2,0,2024-02-27T00:10:35Z,70000,False,7.0,22.0,1,left,A. Nembhard driving finger roll Layup (2 PTS),[1629614],1610612754.0,IND,driving finger roll,,,Nembhard,A. Nembhard,,,,,Restricted Area,0-8 Center,2.36,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M28.00S,2024-02-27T00:10:58.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630567,89.17542706964521,51.470588235294116,1610612761,2,0,2024-02-27T00:12:00Z,90000,False,7.0,49.0,1,right,MISS S. Barnes driving floating Shot,[1630567],1610612761.0,TOR,driving floating,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,4.99,Missed,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2024-02-27T00:11:01.1Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,2,0,2024-02-27T00:11:04Z,100000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,
11,PT11M17.00S,2024-02-27T00:11:10.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630169,10.463206307490145,39.46078431372549,1610612754,2,0,2024-02-27T00:11:13Z,110000,False,53.0,46.0,1,left,MISS T. Haliburton 6' driving finger roll Layup - blocked,"[1630169, 1630567]",1610612754.0,IND,driving finger roll,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,6.99,Missed,,,,,,Barnes,1630567.0,,,,,,,,,,,
12,PT11M17.00S,2024-02-27T00:11:10.0Z,1,REGULAR,block,,[],1630567,,,1610612754,2,0,2024-02-27T00:11:12Z,120000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2024-02-27T00:11:13.0Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612761,2,0,2024-02-27T00:11:13Z,130000,False,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612761.0,TOR,,,,Poeltl,J. Poeltl,,,,,In The Paint (Non-RA),0-8 Center,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT11M10.00S,2024-02-27T00:11:16.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629018,82.34231274638634,4.901960784313726,1610612761,2,3,2024-02-27T00:11:22Z,140000,False,-225.0,113.0,1,right,G. Trent Jr. 25' 3PT running pullup (3 PTS) (R. Barrett 1 AST),"[1629018, 1629628]",1610612761.0,TOR,running pullup,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Left Center,25.25,Made,3.0,,,,,,,R. Barrett,1629628.0,1.0,,,,,,,,
16,PT10M53.00S,2024-02-27T00:11:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629614,11.908672798948752,39.21568627450981,1610612754,4,3,2024-02-27T00:11:38Z,160000,False,54.0,59.0,1,left,A. Nembhard 8' driving floating bank Jump Shot (4 PTS) (T. Haliburton 1 AST),"[1629614, 1630169]",1610612754.0,IND,driving floating bank,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,8.02,Made,4.0,,,,,,,T. Haliburton,1630169.0,1.0,,,,,,,,
17,PT10M40.00S,2024-02-27T00:11:46.7Z,1,REGULAR,3pt,Jump Shot,[],1630193,66.44218134034165,26.715686274509803,1610612761,4,3,2024-02-27T00:11:52Z,170000,False,-116.0,263.0,1,right,MISS I. Quickley 28' 3PT,[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,28.75,Missed,,,,,,,,,,,,,,,,,,
18,PT10M37.00S,2024-02-27T00:11:49.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,4,3,2024-02-27T00:11:52Z,180000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,,,,17.0,1.0,1.0,0.0,,,,,,,,,,,,,
19,PT10M29.00S,2024-02-27T00:11:58.6Z,1,REGULAR,3pt,Jump Shot,[],1630169,30.962549277266753,24.019607843137255,1610612754,4,3,2024-02-27T00:14:17Z,190000,False,130.0,239.0,1,left,MISS T. Haliburton 27' step back 3PT,[1630169],1610612754.0,IND,step back,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,27.16,Missed,,,,,,,,,,,,,,,,,,
20,PT10M26.00S,2024-02-27T00:12:01.6Z,1,REGULAR,rebound,defensive,[],1630193,,,1610612761,4,3,2024-02-27T00:12:58Z,200000,False,,,0,,I. Quickley REBOUND (Off:0 Def:1),[1630193],1610612761.0,TOR,,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Right Center,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT10M02.00S,2024-02-27T00:12:39.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612761,4,3,2024-02-27T00:12:48Z,230000,False,,,0,,TOR shot clock Team TURNOVER,[],1610612761.0,TOR,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
24,PT09M57.00S,2024-02-27T00:12:57.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629614,11.514454664914586,54.65686274509803,1610612754,4,3,2024-02-27T00:13:01Z,240000,False,-23.0,56.0,1,left,MISS A. Nembhard 6' pullup Shot,[1629614],1610612754.0,IND,pullup,,,Nembhard,A. Nembhard,,,,,In The Paint (Non-RA),0-8 Center,6.04,Missed,,,,,,,,,,,,,,,,,,
