actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-24T02:42:59.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-24T02:42:59Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-01-24T02:43:03.6Z,1,REGULAR,jumpball,recovered,[],1631157,,,1610612749,0,0,2026-01-24T02:43:03Z,40000,False,,,0,,Jump Ball M. Turner vs. Z. Nnaji: Tip to R. Rollins,"[1631157, 1626167, 1630192]",1610612749.0,MIL,startperiod,R. Rollins,1631157.0,Rollins,R. Rollins,Turner,1626167.0,Nnaji,1630192.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-01-24T02:43:15.6Z,1,REGULAR,violation,kicked ball,[],1630192,,,1610612749,0,0,2026-01-24T02:43:42Z,70000,False,,,0,,Z. Nnaji kicked ball VIOLATION,[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,1193.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2026-01-24T02:43:42.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,93.38042049934296,50.245098039215684,1610612749,2,0,2026-01-24T02:43:46Z,80000,False,1.0,10.0,1,right,M. Turner cutting Layup (2 PTS) (G. Antetokounmpo 1 AST),"[1626167, 203507]",1610612749.0,MIL,cutting,,,Turner,M. Turner,,,,,,Restricted Area,0-8 Center,0.98,Made,2.0,G. Antetokounmpo,203507.0,1.0,,,,,,,,,,,,,
10,PT11M17.00S,2026-01-24T02:44:04.1Z,1,REGULAR,3pt,Jump Shot,[],1630192,20.71287779237845,7.352941176470589,1610612743,2,3,2026-01-24T02:44:09Z,100000,False,213.0,142.0,1,left,Z. Nnaji 25' 3PT  (3 PTS) (A. Gordon 1 AST),"[1630192, 203932]",1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,Above the Break 3,24+ Right Center,25.63,Made,3.0,A. Gordon,203932.0,1.0,,,,,,,,,,,,,
12,PT11M05.00S,2026-01-24T02:44:15.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628398,83.65637319316689,48.03921568627451,1610612749,2,3,2026-01-24T02:44:52Z,120000,False,-10.0,101.0,1,right,MISS K. Kuzma 10' driving floating Shot,[1628398],1610612749.0,MIL,driving floating,,,Kuzma,K. Kuzma,,,,,,In The Paint (Non-RA),8-16 Center,10.16,Missed,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2026-01-24T02:44:16.8Z,1,REGULAR,rebound,defensive,[],1630192,,,1610612743,2,3,2026-01-24T02:45:18Z,130000,False,,,0,,Z. Nnaji REBOUND (Off:0 Def:1),[1630192],1610612743.0,DEN,,,,Nnaji,Z. Nnaji,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT10M54.00S,2026-01-24T02:44:26.7Z,1,REGULAR,3pt,Jump Shot,[],203932,27.94021024967148,17.15686274509804,1610612743,2,6,2026-01-24T02:44:32Z,140000,False,164.0,210.0,1,left,A. Gordon 26' 3PT  (3 PTS) (J. Pickett 1 AST),"[203932, 1629618]",1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,Above the Break 3,24+ Right Center,26.67,Made,3.0,J. Pickett,1629618.0,1.0,,,,,,,,,,,,,
16,PT10M41.00S,2026-01-24T02:44:40.8Z,1,REGULAR,turnover,bad pass,[],1631157,,,1610612749,2,6,2026-01-24T02:44:47Z,160000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 203932]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,1.0,Gordon,203932.0,,,,,,
17,PT10M41.00S,2026-01-24T02:44:40.8Z,1,REGULAR,steal,,[],203932,,,1610612743,2,6,2026-01-24T02:44:44Z,170000,False,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,
