actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-21T01:10:52.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-21T01:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M51.00S,2025-11-21T01:11:01.0Z,1,REGULAR,jumpball,recovered,[],202331,,,1610612755,0,0,2025-11-21T01:11:01Z,40000,False,,,0,,Jump Ball A. Drummond vs. M. Turner: Tip to P. George,"[202331, 203083, 1626167]",1610612755.0,PHI,startperiod,P. George,202331.0,George,P. George,Drummond,203083.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-11-21T01:11:12.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202331,91.67214191852825,48.28431372549019,1610612755,0,2,2025-11-21T01:13:05Z,70000,False,-9.0,26.0,1,right,P. George driving Layup (2 PTS),[202331],1610612755.0,PHI,driving,,,George,P. George,,,,,Restricted Area,0-8 Center,2.72,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M14.00S,2025-11-21T01:11:38.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631157,7.5722733245729295,46.32352941176471,1610612749,2,2,2025-11-21T01:11:42Z,80000,False,18.0,19.0,1,left,R. Rollins driving floating bank Jump Shot (2 PTS),[1631157],1610612749.0,MIL,driving floating bank,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,2.62,Made,2.0,,,,,,,,,,,,,,,,,
9,PT10M52.00S,2025-11-21T01:11:59.7Z,1,REGULAR,3pt,Jump Shot,[],202331,73.98160315374507,80.41513480392157,1610612755,2,5,2025-11-21T01:13:15Z,90000,False,152.0,192.0,1,right,P. George 24' 3PT pullup (5 PTS),[202331],1610612755.0,PHI,pullup,,,George,P. George,,,,,Above the Break 3,24+ Right Center,24.5,Made,5.0,,,,,,,,,,,,,,,,,
10,PT10M31.00S,2025-11-21T01:12:21.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1626171,7.835085413929041,54.65686274509803,1610612749,2,5,2025-11-21T01:14:52Z,100000,False,-23.0,21.0,1,left,MISS B. Portis driving floating bank Shot,[1626171],1610612749.0,MIL,driving floating bank,,,Portis,B. Portis,,,,,Restricted Area,0-8 Center,3.14,Missed,,,,,,,,,,,,,,,,,,
11,PT10M31.00S,2025-11-21T01:12:21.1Z,1,REGULAR,rebound,offensive,[],1631157,,,1610612749,2,5,2025-11-21T01:17:46Z,110000,False,,,0,,R. Rollins REBOUND (Off:1 Def:0),[1631157],1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,
12,PT10M26.00S,2025-11-21T01:12:25.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1626171,22.421156373193167,47.05882352941176,1610612749,4,5,2025-11-21T01:18:16Z,120000,False,15.0,158.0,1,left,B. Portis 15' Jump Shot (2 PTS) (R. Rollins 1 AST),"[1626171, 1631157]",1610612749.0,MIL,,,,Portis,B. Portis,,,,,Mid-Range,8-16 Center,15.9,Made,2.0,,,,,R. Rollins,1631157.0,1.0,,,,,,,,,,
13,PT10M12.00S,2025-11-21T01:12:39.1Z,1,REGULAR,3pt,Jump Shot,[],202331,66.44218134034165,47.05882352941176,1610612755,4,8,2025-11-21T01:12:46Z,130000,False,-15.0,263.0,1,right,P. George 26' 3PT  (8 PTS) (T. Maxey 1 AST),"[202331, 1630178]",1610612755.0,PHI,,,,George,P. George,,,,,Above the Break 3,24+ Center,26.33,Made,8.0,,,,,T. Maxey,1630178.0,1.0,,,,,,,,,,
15,PT10M03.00S,2025-11-21T01:12:54.8Z,1,REGULAR,foul,personal,[],203083,,,1610612749,4,8,2025-11-21T01:13:33Z,150000,False,,,0,,A. Drummond loose ball personal FOUL (1 PF),"[203083, 1626171]",1610612755.0,PHI,loose ball,,,Drummond,A. Drummond,,,,,Restricted Area,0-8 Center,,,,,,,,,,,204058.0,1.0,0.0,Portis,1626171.0,,,,,
