actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-19T01:12:19.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-19T01:12:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-19T01:12:20.8Z,1,REGULAR,jumpball,recovered,[],1630193,,,1610612761,0,0,2025-12-19T01:12:20Z,40000,False,,,0,,Jump Ball S. Barnes vs. M. Turner: Tip to I. Quickley,"[1630193, 1630567, 1626167]",1610612761.0,TOR,startperiod,I. Quickley,1630193.0,Quickley,I. Quickley,Barnes,1630567.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-19T01:12:32.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,7.703679369250986,45.34313725490196,1610612761,0,2,2025-12-19T01:12:37Z,70000,False,23.0,20.0,1,left,O. Agbaji driving Layup (2 PTS) (B. Ingram 1 AST),"[1630534, 1627742]",1610612761.0,TOR,driving,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,3.06,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
9,PT11M22.00S,2025-12-19T01:12:53.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,91.93495400788436,50.73529411764706,1610612749,0,2,2025-12-19T01:13:02Z,90000,False,4.0,23.0,1,right,MISS M. Turner Layup,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,2.36,Missed,,,,,,,,,,,,,,,,,,
11,PT11M14.00S,2025-12-19T01:13:01.4Z,1,REGULAR,rebound,offensive,[],1626167,,,1610612749,0,2,2025-12-19T01:13:02Z,110000,False,,,0,,M. Turner REBOUND (Off:1 Def:0),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,
12,PT11M14.00S,2025-12-19T01:13:01.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1626167,94.40999984741211,50.0,1610612749,2,2,2025-12-19T01:13:01Z,120000,False,0.0,0.0,1,right,M. Turner tip Layup (2 PTS),[1626167],1610612749.0,MIL,tip,,,Turner,M. Turner,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2025-12-19T01:13:02.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630534,7.966491458607096,50.98039215686274,1610612761,2,2,2025-12-19T01:13:10Z,130000,False,-5.0,22.0,1,left,MISS O. Agbaji cutting Layup,[1630534],1610612761.0,TOR,cutting,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,2.29,Missed,,,,,,,,,,,,,,,,,,
14,PT11M11.00S,2025-12-19T01:13:05.5Z,1,REGULAR,rebound,defensive,[],1630579,,,1610612749,2,2,2025-12-19T01:13:05Z,140000,False,,,0,,J. Sims REBOUND (Off:0 Def:1),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,Restricted Area,0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M56.00S,2025-12-19T01:13:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631260,85.49605781865965,62.5,1610612749,2,2,2025-12-19T01:26:33Z,150000,False,62.0,84.0,1,right,MISS A. Green 10' Jump Shot - blocked,"[1631260, 1630567]",1610612749.0,MIL,,,,Green,A. Green,,,,,In The Paint (Non-RA),8-16 Right,10.45,Missed,,,,,,,,,Barnes,1630567.0,,,,,,,,
16,PT10M56.00S,2025-12-19T01:13:21.6Z,1,REGULAR,block,,[],1630567,,,1610612749,2,2,2025-12-19T01:13:25Z,160000,False,,,0,,S. Barnes BLOCK (1 BLK),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
