actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-03-09T00:09:58.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-03-09T00:09:58Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-03-09T00:10:00.9Z,1,REGULAR,jumpball,recovered,[],1630591,,,1610612753,0,0,2026-03-09T00:10:00Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. M. Turner: Tip to J. Suggs,"[1630591, 1628976, 1626167]",1610612753.0,ORL,startperiod,J. Suggs,1630591.0,Suggs,J. Suggs,Carter Jr.,1628976.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2026-03-09T00:10:15.1Z,1,REGULAR,foul,personal,['2freethrow'],1631157,,,1610612753,0,0,2026-03-09T00:10:24Z,70000,False,,,0,,R. Rollins shooting personal FOUL (1 PF) (Bane 2 FT),"[1631157, 1630217]",1610612749.0,MIL,shooting,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),8-16 Center,201245.0,1.0,0.0,Bane,1630217.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2026-03-09T00:10:35.0Z,1,REGULAR,freethrow,1 of 2,[],1630217,,,1610612753,0,1,2026-03-09T00:10:35Z,90000,False,,,0,,D. Bane Free Throw 1 of 2 (1 PTS),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M47.00S,2026-03-09T00:10:48.9Z,1,REGULAR,freethrow,2 of 2,[],1630217,,,1610612753,0,2,2026-03-09T00:10:48Z,100000,False,,,0,,D. Bane Free Throw 2 of 2 (2 PTS),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M30.00S,2026-03-09T00:11:07.3Z,1,REGULAR,turnover,lost ball,[],1631260,,,1610612749,0,2,2026-03-09T00:11:14Z,110000,False,,,0,,A. Green lost ball TURNOVER (1 TO),"[1631260, 1630217]",1610612749.0,MIL,,,,Green,A. Green,,,,,Mid-Range,16-24 Right Center,,,,,,,,1.0,Bane,1630217.0,,,,,,,,,,
12,PT11M30.00S,2026-03-09T00:11:07.3Z,1,REGULAR,steal,,[],1630217,,,1610612753,0,2,2026-03-09T00:11:10Z,120000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M06.00S,2026-03-09T00:11:29.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628976,68.67608409986859,73.77450980392157,1610612753,0,2,2026-03-09T00:11:35Z,130000,False,119.0,242.0,1,right,MISS W. Carter Jr. 26' 3PT,[1628976],1610612753.0,ORL,,,,Carter Jr.,W. Carter Jr.,,,,,Above the Break 3,24+ Right Center,,,,,,Missed,,,,,26.95,,,,,,,,,
14,PT11M04.00S,2026-03-09T00:11:31.7Z,1,REGULAR,rebound,offensive,[],1641783,,,1610612753,0,2,2026-03-09T00:11:35Z,140000,False,,,0,,T. da Silva REBOUND (Off:1 Def:0),[1641783],1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,13.0,1.0,0.0,1.0,,,,,
15,PT11M00.00S,2026-03-09T00:11:37.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1641783,88.5676741130092,96.34650735294117,1610612753,0,5,2026-03-09T00:11:46Z,150000,False,232.0,55.0,1,right,T. da Silva 3PT  (3 PTS) (J. Suggs 1 AST),"[1641783, 1630591]",1610612753.0,ORL,,,,da Silva,T. da Silva,,,,,Right Corner 3,24+ Right,,,,,,Made,3.0,,,,23.81,,,,,J. Suggs,1630591.0,1.0,,
