actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal
18,PT10M32.00S,2025-11-25T01:11:52.3Z,1,REGULAR,foul,personal,['2freethrow'],1630579,,,1610612757,0,0,2025-11-25T01:12:02Z,180000,False,,,0,,J. Sims shooting personal FOUL (1 PF) (Grant 2 FT),"[1630579, 203924]",1610612749.0,MIL,shooting,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,201245.0,1.0,0.0,Grant,203924.0,,,,
20,PT10M32.00S,2025-11-25T01:12:15.4Z,1,REGULAR,freethrow,1 of 2,[],203924,,,1610612757,0,1,2025-11-25T01:12:34Z,200000,False,,,0,,J. Grant Free Throw 1 of 2 (1 PTS),[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Made,,,,,,,,,,,,,,,1.0,,,
21,PT10M32.00S,2025-11-25T01:12:15.4Z,1,REGULAR,freethrow,2 of 2,[],203924,,,1610612757,0,1,2025-11-25T01:12:34Z,210000,False,,,0,,MISS J. Grant Free Throw 2 of 2,[203924],1610612757.0,POR,,,,Grant,J. Grant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
22,PT10M29.00S,2025-11-25T01:12:18.4Z,1,REGULAR,rebound,defensive,[],1628398,,,1610612749,0,1,2025-11-25T01:12:34Z,220000,False,,,0,,K. Kuzma REBOUND (Off:0 Def:2),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT10M21.00S,2025-11-25T01:12:40.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,7.703679369250986,40.931372549019606,1610612749,0,1,2025-11-25T01:12:45Z,230000,False,45.0,20.0,1,left,MISS K. Kuzma driving Layup,[1628398],1610612749.0,MIL,driving,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,4.95,Missed,,,,,,,,,,,,,,,,,,
24,PT10M18.00S,2025-11-25T01:12:43.9Z,1,REGULAR,rebound,defensive,[],1642270,,,1610612757,0,1,2025-11-25T01:12:45Z,240000,False,,,0,,D. Clingan REBOUND (Off:0 Def:2),[1642270],1610612757.0,POR,,,,Clingan,D. Clingan,,,,,In The Paint (Non-RA),0-8 Center,,,23.0,2.0,2.0,0.0,,,,,,,,,,,,,,
25,PT10M11.00S,2025-11-25T01:12:50.6Z,1,REGULAR,3pt,Jump Shot,[],1642270,69.85873850197109,76.22549019607843,1610612757,0,4,2025-11-25T01:12:56Z,250000,False,131.0,231.0,1,right,D. Clingan 26' 3PT  (3 PTS) (T. Camara 1 AST),"[1642270, 1641739]",1610612757.0,POR,,,,Clingan,D. Clingan,,,,,Above the Break 3,24+ Right Center,26.54,Made,,,,,,,,,,,,,,,3.0,T. Camara,1641739.0,1.0
27,PT09M49.00S,2025-11-25T01:13:12.8Z,1,REGULAR,3pt,Jump Shot,[],1631260,29.25427069645204,79.90196078431373,1610612749,0,4,2025-11-25T01:13:19Z,270000,False,-150.0,222.0,1,left,MISS A. Green 26' 3PT,[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,26.81,Missed,,,,,,,,,,,,,,,,,,
28,PT09M49.00S,2025-11-25T01:13:12.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612757,0,4,2025-11-25T01:13:19Z,280000,False,,,0,,TEAM defensive REBOUND,[],1610612757.0,POR,,,,,,,,,,Above the Break 3,24+ Left Center,,,27.0,,,,,,,,,,,,,,,,,
29,PT09M49.00S,2025-11-25T01:13:21.2Z,1,REGULAR,foul,personal,[],1630579,,,1610612757,0,4,2025-11-25T01:13:32Z,290000,False,,,0,,J. Sims loose ball personal FOUL (2 PF),"[1630579, 1630166]",1610612749.0,MIL,loose ball,,,Sims,J. Sims,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,1628487.0,2.0,0.0,Avdija,1630166.0,,,,
