actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-10-23T00:13:51.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-23T00:13:51Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M53.00S,2025-10-23T00:13:57.8Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612764,0,0,2025-10-23T00:13:57Z,40000,False,,,0,,Jump Ball A. Sarr vs. M. Turner: Tip to C. McCollum,"[203468, 1642259, 1626167]",1610612764.0,WAS,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Sarr,1642259.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2025-10-23T00:14:05.5Z,1,REGULAR,foul,personal,[],1631260,,,1610612764,0,0,2025-10-23T00:14:24Z,70000,False,,,0,,A. Green personal FOUL (1 PF),"[1631260, 203468]",1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,101283.0,1.0,0.0,McCollum,203468.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2025-10-23T00:14:26.0Z,1,REGULAR,2pt,Jump Shot,[],203114,94.95729303547962,75.98039215686273,1610612764,0,0,2025-10-23T00:15:16Z,90000,False,130.0,-5.0,1,right,MISS K. Middleton 13' turnaround fadeaway Shot,[203114],1610612764.0,WAS,turnaround fadeaway,,,Middleton,K. Middleton,,,,,Mid-Range,8-16 Right,,,,,,13.0,Missed,,,,,,,,,,,,,
10,PT11M38.00S,2025-10-23T00:14:30.4Z,1,REGULAR,rebound,offensive,[],1642259,,,1610612764,0,0,2025-10-23T00:14:30Z,100000,False,,,0,,A. Sarr REBOUND (Off:1 Def:0),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Mid-Range,8-16 Right,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
11,PT11M37.00S,2025-10-23T00:14:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1642259,91.14651773981603,48.77450980392157,1610612764,0,0,2025-10-23T00:14:41Z,110000,False,-6.0,31.0,1,right,MISS A. Sarr putback Layup - blocked,"[1642259, 1626167]",1610612764.0,WAS,putback,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,3.13,Missed,,,,,Turner,1626167.0,,,,,,,
12,PT11M37.00S,2025-10-23T00:14:31.3Z,1,REGULAR,block,,[],1626167,,,1610612764,0,0,2025-10-23T00:14:35Z,120000,False,,,0,,M. Turner BLOCK (1 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M32.00S,2025-10-23T00:14:36.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2025-10-23T00:14:41Z,130000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M30.00S,2025-10-23T00:14:37.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1626167,26.888961892247043,11.029411764705882,1610612749,0,0,2025-10-23T00:16:31Z,140000,False,195.0,200.0,1,left,MISS M. Turner 27' running 3PT,[1626167],1610612749.0,MIL,running,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,,,,,,27.95,Missed,,,,,,,,,,,,,
15,PT11M27.00S,2025-10-23T00:14:40.1Z,1,REGULAR,rebound,defensive,[],203114,,,1610612764,0,0,2025-10-23T00:14:48Z,150000,False,,,0,,K. Middleton REBOUND (Off:0 Def:1),[203114],1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Right Center,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,
16,PT11M22.00S,2025-10-23T00:14:45.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642267,82.7365308804205,50.49019607843137,1610612764,0,0,2025-10-23T00:14:56Z,160000,False,2.0,110.0,1,right,MISS B. Carrington 10' driving floating Shot,[1642267],1610612764.0,WAS,driving floating,,,Carrington,B. Carrington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,10.98,Missed,,,,,,,,,,,,,
17,PT11M19.00S,2025-10-23T00:14:48.7Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2025-10-23T00:14:56Z,170000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:2),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,16.0,2.0,2.0,0.0,,,,,,,,,
18,PT11M06.00S,2025-10-23T00:15:01.9Z,1,REGULAR,3pt,Jump Shot,[],1631260,6.783837056504599,96.32352941176471,1610612749,3,0,2025-10-23T00:15:07Z,180000,False,-232.0,11.0,1,left,A. Green 3PT  (3 PTS) (M. Turner 1 AST),"[1631260, 1626167]",1610612749.0,MIL,,,,Green,A. Green,,,,,Left Corner 3,24+ Left,,,,,,23.19,Made,,,,,,,3.0,M. Turner,1626167.0,1.0,,,
20,PT10M50.00S,2025-10-23T00:15:17.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1642259,93.38042049934296,51.470588235294116,1610612764,3,2,2025-10-23T00:15:22Z,200000,False,7.0,10.0,1,right,A. Sarr cutting DUNK (2 PTS) (K. Middleton 1 AST),"[1642259, 203114]",1610612764.0,WAS,cutting,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,1.22,Made,,,,,,,2.0,K. Middleton,203114.0,1.0,,,
22,PT10M30.00S,2025-10-23T00:15:37.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,13.61695137976347,4.411764705882353,1610612749,6,2,2025-10-23T00:15:42Z,220000,False,228.0,75.0,1,left,M. Turner 24' 3PT  (3 PTS) (K. Porter Jr. 1 AST),"[1626167, 1629645]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Right Corner 3,24+ Right,,,,,,24.01,Made,,,,,,,3.0,K. Porter Jr.,1629645.0,1.0,,,
24,PT10M21.00S,2025-10-23T00:15:46.2Z,1,REGULAR,3pt,Jump Shot,[],203468,71.04139290407359,7.107843137254902,1610612764,6,2,2025-10-23T00:15:51Z,240000,False,-214.0,220.0,1,right,MISS C. McCollum 30' pullup 3PT,[203468],1610612764.0,WAS,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,,,,,,30.7,Missed,,,,,,,,,,,,,
25,PT10M18.00S,2025-10-23T00:15:49.2Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,6,2,2025-10-23T00:15:51Z,250000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:3),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Left Center,,,,,,,,24.0,3.0,3.0,0.0,,,,,,,,,
26,PT10M08.00S,2025-10-23T00:15:59.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,8.623521681997373,45.83333333333333,1610612749,6,2,2025-10-23T00:16:05Z,260000,False,21.0,29.0,1,left,MISS M. Turner driving Layup - blocked,"[1626167, 1642273]",1610612749.0,MIL,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,3.54,Missed,,,,,George,1642273.0,,,,,,,
27,PT10M08.00S,2025-10-23T00:15:59.6Z,1,REGULAR,block,,[],1642273,,,1610612749,6,2,2025-10-23T00:16:02Z,270000,False,,,0,,K. George BLOCK (1 BLK),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT10M04.00S,2025-10-23T00:16:03.6Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,6,2,2025-10-23T00:16:05Z,280000,False,,,0,,A. Sarr REBOUND (Off:1 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,,,26.0,2.0,1.0,1.0,,,,,,,,,
29,PT10M01.00S,2025-10-23T00:16:10.6Z,1,REGULAR,foul,personal,[],203507,,,1610612764,6,2,2025-10-23T00:16:27Z,290000,False,,,0,,G. Antetokounmpo personal FOUL (1 PF),"[203507, 1642267]",1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Above the Break 3,24+ Right Center,200832.0,1.0,0.0,Carrington,1642267.0,,,,,,,,,,,,,,,
31,PT09M46.00S,2025-10-23T00:16:39.6Z,1,REGULAR,2pt,Jump Shot,[],1642267,83.26215505913272,32.35294117647059,1610612764,6,4,2025-10-23T00:16:44Z,310000,False,-88.0,105.0,1,right,B. Carrington 13' turnaround fadeaway Jump Shot (2 PTS),[1642267],1610612764.0,WAS,turnaround fadeaway,,,Carrington,B. Carrington,,,,,Mid-Range,8-16 Left,,,,,,13.7,Made,,,,,,,2.0,,,,,,
32,PT09M26.00S,2025-10-23T00:16:59.9Z,1,REGULAR,3pt,Jump Shot,[],1631260,16.245072273324574,3.9215686274509802,1610612749,9,4,2025-10-23T00:17:05Z,320000,False,230.0,100.0,1,left,A. Green 25' 3PT  (6 PTS) (G. Antetokounmpo 1 AST),"[1631260, 203507]",1610612749.0,MIL,,,,Green,A. Green,,,,,Above the Break 3,24+ Right Center,,,,,,25.12,Made,,,,,,,6.0,G. Antetokounmpo,203507.0,1.0,,,
34,PT09M12.00S,2025-10-23T00:17:14.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642267,90.48948751642575,46.32352941176471,1610612764,9,4,2025-10-23T00:17:22Z,340000,False,-18.0,37.0,1,right,MISS B. Carrington driving Layup - blocked,"[1642267, 1626167]",1610612764.0,WAS,driving,,,Carrington,B. Carrington,,,,,Restricted Area,0-8 Center,,,,,,4.12,Missed,,,,,Turner,1626167.0,,,,,,,
35,PT09M12.00S,2025-10-23T00:17:14.4Z,1,REGULAR,block,,[],1626167,,,1610612764,9,4,2025-10-23T00:17:17Z,350000,False,,,0,,M. Turner BLOCK (2 BLK),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
36,PT09M09.00S,2025-10-23T00:17:17.4Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,9,4,2025-10-23T00:17:22Z,360000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:1),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,,,
37,PT09M09.00S,2025-10-23T00:17:21.1Z,1,REGULAR,foul,personal,[],203114,,,1610612749,9,4,2025-10-23T00:19:03Z,370000,False,,,0,,K. Middleton personal FOUL (1 PF),"[203114, 203507]",1610612764.0,WAS,,,,Middleton,K. Middleton,,,,,In The Paint (Non-RA),0-8 Center,1627961.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,
39,PT08M58.00S,2025-10-23T00:17:48.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626167,7.178055190538765,51.470588235294116,1610612749,11,4,2025-10-23T00:17:55Z,390000,False,-7.0,15.0,1,left,M. Turner driving DUNK (5 PTS) (G. Antetokounmpo 2 AST),"[1626167, 203507]",1610612749.0,MIL,driving,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,1.67,Made,,,,,,,5.0,G. Antetokounmpo,203507.0,2.0,,,
41,PT08M46.00S,2025-10-23T00:18:01.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1642259,93.9060446780552,55.63725490196079,1610612764,11,4,2025-10-23T00:20:23Z,410000,False,28.0,5.0,1,right,MISS A. Sarr driving floating Shot,[1642259],1610612764.0,WAS,driving floating,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,2.86,Missed,,,,,,,,,,,,,
42,PT08M43.00S,2025-10-23T00:18:04.7Z,1,REGULAR,rebound,defensive,[],1629018,,,1610612749,11,4,2025-10-23T00:18:08Z,420000,False,,,0,,G. Trent Jr. REBOUND (Off:0 Def:2),[1629018],1610612749.0,MIL,,,,Trent Jr.,G. Trent Jr.,,,,,Restricted Area,0-8 Center,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,
43,PT08M33.00S,2025-10-23T00:18:14.5Z,1,REGULAR,3pt,Jump Shot,[],1629645,28.991458607095925,77.20588235294117,1610612749,14,4,2025-10-23T00:18:20Z,430000,False,-136.0,220.0,1,left,K. Porter Jr. 25' 3PT  (3 PTS) (M. Turner 2 AST),"[1629645, 1626167]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,25.86,Made,,,,,,,3.0,M. Turner,1626167.0,2.0,,,
45,PT08M32.00S,2025-10-23T00:18:21.5Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612764,14,4,2025-10-23T00:18:21Z,450000,False,,,0,,WAS Timeout,[],1610612764.0,WAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M14.00S,2025-10-23T00:21:34.5Z,1,REGULAR,3pt,Jump Shot,[],203114,67.7562417871222,47.30392156862745,1610612764,14,7,2025-10-23T00:21:43Z,460000,False,-13.0,251.0,1,right,K. Middleton 25' 3PT step back (3 PTS) (A. Sarr 1 AST),"[203114, 1642259]",1610612764.0,WAS,step back,,,Middleton,K. Middleton,,,,,Above the Break 3,24+ Center,,,,,,25.1,Made,,,,,,,3.0,A. Sarr,1642259.0,1.0,,,
48,PT07M53.00S,2025-10-23T00:21:55.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203507,5.863994743758213,43.38235294117647,1610612749,16,7,2025-10-23T00:22:01Z,480000,False,33.0,3.0,1,left,G. Antetokounmpo driving finger roll Layup (2 PTS),[203507],1610612749.0,MIL,driving finger roll,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,3.32,Made,,,,,,,2.0,,,,,,
