actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-01T01:10:32.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-01T01:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-01T01:10:35.6Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612764,0,0,2026-01-01T01:10:35Z,40000,False,,,0,,Jump Ball A. Sarr vs. M. Turner: Tip to C. McCollum,"[203468, 1642259, 1626167]",1610612764.0,WAS,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Sarr,1642259.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-01-01T01:10:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642259,91.40932982917214,41.66666666666667,1610612764,0,0,2026-01-01T01:10:53Z,70000,False,-42.0,28.0,1,right,MISS A. Sarr cutting Layup,[1642259],1610612764.0,WAS,cutting,,,Sarr,A. Sarr,,,,,In The Paint (Non-RA),0-8 Center,5.04,Missed,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2026-01-01T01:10:51.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2026-01-01T01:10:53Z,80000,False,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-01-01T01:11:04.5Z,1,REGULAR,foul,personal,['2freethrow'],203114,,,1610612749,0,0,2026-01-01T01:11:15Z,90000,False,,,0,,K. Middleton shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[203114, 203507]",1610612764.0,WAS,shooting,,,Middleton,K. Middleton,,,,,Restricted Area,0-8 Center,,,,,,,1628951.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
11,PT11M30.00S,2026-01-01T01:11:39.2Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,1,0,2026-01-01T01:11:39Z,110000,False,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M30.00S,2026-01-01T01:11:58.0Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,2,0,2026-01-01T01:11:58Z,120000,False,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M19.00S,2026-01-01T01:12:12.5Z,1,REGULAR,turnover,out-of-bounds,[],1641731,,,1610612764,2,0,2026-01-01T01:12:19Z,130000,False,,,0,,B. Coulibaly bad pass out-of-bounds TURNOVER (1 TO),[1641731],1610612764.0,WAS,bad pass,,,Coulibaly,B. Coulibaly,,,,,Mid-Range,16-24 Left Center,,,,,,,201639.0,,,,,,1.0,,,,,,,
14,PT11M05.00S,2026-01-01T01:12:33.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1631260,31.750985545335087,76.9607843137255,1610612749,2,0,2026-01-01T01:13:56Z,140000,False,-135.0,246.0,1,left,MISS A. Green 28' pullup bank 3PT,[1631260],1610612749.0,MIL,pullup bank,,,Green,A. Green,,,,,Above the Break 3,24+ Left Center,28.05,Missed,,,,,,,,,,,,,,,,,,
15,PT11M00.00S,2026-01-01T01:12:38.4Z,1,REGULAR,rebound,defensive,[],1642259,,,1610612764,2,0,2026-01-01T01:12:39Z,150000,False,,,0,,A. Sarr REBOUND (Off:0 Def:1),[1642259],1610612764.0,WAS,,,,Sarr,A. Sarr,,,,,Above the Break 3,24+ Left Center,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
