actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-06T01:10:39.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T01:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-06T01:10:42.2Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2025-12-06T01:10:42Z,40000,False,,,0,,Jump Ball A. Drummond vs. M. Turner: Tip to T. Maxey,"[1630178, 203083, 1626167]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Drummond,203083.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2025-12-06T01:10:49.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,82.9993429697766,54.166666666666664,1610612755,0,2,2025-12-06T01:10:58Z,70000,False,21.0,107.0,1,right,T. Maxey 10' driving floating Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),8-16 Center,10.93,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2025-12-06T01:11:08.0Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612749,0,2,2025-12-06T01:11:15Z,80000,False,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1630178]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Maxey,1630178.0,,,,,,,,,,,,,,
9,PT11M30.00S,2025-12-06T01:11:08.0Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,2,2025-12-06T01:11:11Z,90000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2025-12-06T01:11:25.2Z,1,REGULAR,foul,personal,[],1631157,,,1610612755,0,2,2025-12-06T01:11:43Z,100000,False,,,0,,R. Rollins personal FOUL (1 PF),"[1631157, 1630178]",1610612749.0,MIL,,,,Rollins,R. Rollins,,,,,Above the Break 3,24+ Right Center,,,,,,,101283.0,1.0,0.0,Maxey,1630178.0,,,,,,,,,
12,PT11M08.00S,2025-12-06T01:11:49.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,65.39093298291722,40.68627450980392,1610612755,0,2,2025-12-06T01:11:58Z,120000,False,-47.0,273.0,1,right,MISS T. Maxey 27' 3PT,[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Center,27.68,Missed,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2025-12-06T01:11:53.5Z,1,REGULAR,rebound,defensive,[],1629645,,,1610612749,0,2,2025-12-06T01:11:58Z,130000,False,,,0,,K. Porter Jr. REBOUND (Off:0 Def:1),[1629645],1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,
14,PT11M01.00S,2025-12-06T01:11:56.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1631157,5.469776609724048,50.245098039215684,1610612749,2,2,2025-12-06T01:12:02Z,140000,False,-1.0,-1.0,1,left,R. Rollins running DUNK (2 PTS) (K. Porter Jr. 1 AST),"[1631157, 1629645]",1610612749.0,MIL,running,,,Rollins,R. Rollins,,,,,Restricted Area,0-8 Center,0.16,Made,2.0,,,,,,,,,,,,,K. Porter Jr.,1629645.0,1.0,,
16,PT10M44.00S,2025-12-06T01:12:13.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1631230,84.23127463863338,46.959252450980394,1610612755,2,2,2025-12-06T01:12:29Z,160000,False,-15.0,96.0,1,right,MISS D. Barlow 9' driving floating Shot,[1631230],1610612755.0,PHI,driving floating,,,Barlow,D. Barlow,,,,,In The Paint (Non-RA),8-16 Center,9.69,Missed,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2025-12-06T01:12:15.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612749,2,2,2025-12-06T01:12:29Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612749.0,MIL,,,,,,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,16.0,,,,,,,,
19,PT10M28.00S,2025-12-06T01:12:36.4Z,1,REGULAR,2pt,Jump Shot,[],1631157,14.273981603153747,71.32352941176471,1610612749,2,2,2025-12-06T01:12:43Z,190000,False,-107.0,82.0,1,left,MISS R. Rollins 13' step back Shot,[1631157],1610612749.0,MIL,step back,,,Rollins,R. Rollins,,,,,Mid-Range,8-16 Left,13.43,Missed,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2025-12-06T01:12:40.4Z,1,REGULAR,rebound,defensive,[],203083,,,1610612755,2,2,2025-12-06T01:12:43Z,200000,False,,,0,,A. Drummond REBOUND (Off:0 Def:1),[203083],1610612755.0,PHI,,,,Drummond,A. Drummond,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,
21,PT10M08.00S,2025-12-06T01:12:55.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631230,93.64323258869908,50.245098039215684,1610612755,2,4,2025-12-06T01:13:00Z,210000,False,1.0,7.0,1,right,D. Barlow alley-oop DUNK (2 PTS) (A. Drummond 1 AST),"[1631230, 203083]",1610612755.0,PHI,alley-oop,,,Barlow,D. Barlow,,,,,Restricted Area,0-8 Center,0.74,Made,2.0,,,,,,,,,,,,,A. Drummond,203083.0,1.0,,
23,PT09M43.00S,2025-12-06T01:13:23.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631157,10.463206307490145,41.66666666666667,1610612749,2,4,2025-12-06T01:18:02Z,230000,False,42.0,46.0,1,left,MISS R. Rollins 6' driving finger roll Layup,[1631157],1610612749.0,MIL,driving finger roll,,,Rollins,R. Rollins,,,,,In The Paint (Non-RA),0-8 Center,6.2,Missed,,,,,,,,,,,,,,,,,,
24,PT09M42.00S,2025-12-06T01:13:24.7Z,1,REGULAR,rebound,offensive,[],1630579,,,1610612749,2,4,2025-12-06T01:27:10Z,240000,False,,,0,,J. Sims REBOUND (Off:1 Def:0),[1630579],1610612749.0,MIL,,,,Sims,J. Sims,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,23.0,1.0,0.0,1.0,,,,,
27,PT09M41.00S,2025-12-06T01:13:39.5Z,1,REGULAR,turnover,shot clock,['team'],0,,,1610612749,2,4,2025-12-06T01:13:51Z,270000,False,,,0,,MIL shot clock Team TURNOVER,[],1610612749.0,MIL,,,,,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M18.00S,2025-12-06T01:14:05.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642845,72.09264126149803,11.76470588235294,1610612755,2,7,2025-12-06T01:14:22Z,280000,False,-191.0,210.0,1,right,V. Edgecombe 28' 3PT  (3 PTS) (D. Barlow 1 AST),"[1642845, 1631230]",1610612755.0,PHI,,,,Edgecombe,V. Edgecombe,,,,,Above the Break 3,24+ Left Center,28.39,Made,3.0,,,,,,,,,,,,,D. Barlow,1631230.0,1.0,,
31,PT09M16.00S,2025-12-06T01:14:10.8Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612749,2,7,2025-12-06T01:18:39Z,310000,False,,,0,,K. Porter Jr. bad pass TURNOVER (2 TO),"[1629645, 1630178]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,2.0,Maxey,1630178.0,,,,,,,,,,,,,,
32,PT09M16.00S,2025-12-06T01:14:10.8Z,1,REGULAR,steal,,[],1630178,,,1610612755,2,7,2025-12-06T01:14:15Z,320000,False,,,0,,T. Maxey STEAL (2 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
33,PT09M14.00S,2025-12-06T01:14:17.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630178,69.56307490144546,76.7156862745098,1610612755,2,7,2025-12-06T01:19:24Z,330000,False,134.0,234.0,1,right,MISS T. Maxey 26' pullup 3PT,[1630178],1610612755.0,PHI,pullup,,,Maxey,T. Maxey,,,,,Above the Break 3,24+ Right Center,26.91,Missed,,,,,,,,,,,,,,,,,,
