actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-04T01:12:32.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-04T01:12:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2026-02-04T01:12:46.0Z,1,REGULAR,jumpball,recovered,[],1628398,,,1610612749,0,0,2026-02-04T01:12:46Z,40000,False,,,0,,Jump Ball M. Turner vs. J. Smith: Tip to K. Kuzma,"[1628398, 1626167, 1630188]",1610612749.0,MIL,startperiod,K. Kuzma,1628398.0,Kuzma,K. Kuzma,Turner,1626167.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2026-02-04T01:12:55.8Z,1,REGULAR,foul,offensive,[],1626167,,,1610612749,0,0,2026-02-04T01:14:21Z,70000,False,,,0,,M. Turner offensive FOUL (1 PF),"[1626167, 1629632]",1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,203054.0,1.0,0.0,White,1629632.0,,,,,,,,,,,,,,,
9,PT11M49.00S,2026-02-04T01:12:55.8Z,1,REGULAR,turnover,offensive foul,[],1626167,,,1610612749,0,0,2026-02-04T01:12:55Z,90000,False,,,0,,M. Turner offensive foul TURNOVER (1 TO),[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Left Center,203054.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M38.00S,2026-02-04T01:13:16.7Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630188,31.09395532194481,65.68627450980392,1610612741,0,3,2026-02-04T01:13:26Z,100000,False,-78.0,240.0,1,left,J. Smith 25' 3PT  (3 PTS) (C. White 1 AST),"[1630188, 1629632]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Above the Break 3,24+ Center,,,,,,,25.23,Made,3.0,C. White,1629632.0,1.0,,,,,,,,
12,PT11M17.00S,2026-02-04T01:13:39.8Z,1,REGULAR,foul,personal,['2freethrow'],1641824,,,1610612749,0,3,2026-02-04T01:14:02Z,120000,False,,,0,,M. Buzelis shooting personal FOUL (1 PF) (Kuzma 2 FT),"[1641824, 1628398]",1610612741.0,CHI,shooting,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,1628171.0,1.0,0.0,Kuzma,1628398.0,,,,,,,,,,,,,,,
14,PT11M17.00S,2026-02-04T01:14:08.5Z,1,REGULAR,freethrow,1 of 2,[],1628398,,,1610612749,1,3,2026-02-04T01:14:08Z,140000,False,,,0,,K. Kuzma Free Throw 1 of 2 (1 PTS),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
15,PT11M17.00S,2026-02-04T01:14:24.7Z,1,REGULAR,freethrow,2 of 2,[],1628398,,,1610612749,2,3,2026-02-04T01:14:24Z,150000,False,,,0,,K. Kuzma Free Throw 2 of 2 (2 PTS),[1628398],1610612749.0,MIL,,,,Kuzma,K. Kuzma,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,
63,PT11M07.00S,2026-02-04T01:14:26.5Z,1,REGULAR,turnover,lost ball,[],1630188,,,1610612741,2,3,2026-02-04T01:22:24Z,170000,False,,,0,,J. Smith lost ball TURNOVER (1 TO),"[1630188, 1629599]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,1.0,,,,,,,Coffey,1629599.0,,,,,,
64,PT11M07.00S,2026-02-04T01:14:26.5Z,1,REGULAR,steal,,[],1629599,,,1610612749,2,3,2026-02-04T01:22:24Z,180000,False,,,0,,A. Coffey STEAL (1 STL),[1629599],1610612749.0,MIL,,,,Coffey,A. Coffey,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
