actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-05T23:10:43.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-05T23:10:43Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-05T23:10:46.8Z,1,REGULAR,jumpball,recovered,[],201142,,,1610612751,0,0,2021-11-05T23:10:46Z,40000,,,0,,Jump Ball B. Griffin vs. I. Stewart: Tip to K. Durant,"[201142, 201933, 1630191]",1610612751.0,BKN,startperiod,K. Durant,201142.0,Durant,K. Durant,Griffin,201933.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2021-11-05T23:11:04.0Z,1,REGULAR,2pt,Jump Shot,[],203925,3.465834428383701,70.34313725490196,1610612751,0,2,2021-11-05T23:11:12Z,70000,-102.0,-20.0,1,left,J. Harris 10' pullup Jump Shot (2 PTS) (J. Harden 1 AST),"[203925, 201935]",1610612751.0,BKN,pullup,,,Harris,J. Harris,,,,,10.36,Made,2.0,J. Harden,201935.0,1.0,,,,,,,,,,,,,,,
8,PT11M15.00S,2021-11-05T23:11:26.9Z,1,REGULAR,3pt,Jump Shot,[],203924,90.5880420499343,4.166666666666657,1610612765,0,2,2021-11-05T23:11:31Z,80000,-229.0,36.0,1,right,MISS J. Grant 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,23.2,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2021-11-05T23:11:26.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,2,2021-11-05T23:11:31Z,90000,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,
10,PT11M15.00S,2021-11-05T23:11:31.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,2,2021-11-05T23:11:31Z,100000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT10M52.00S,2021-11-05T23:11:56.1Z,1,REGULAR,2pt,Jump Shot,[],201142,26.067674113009204,69.6078431372549,1610612751,0,2,2021-11-05T23:13:08Z,110000,-98.0,193.0,1,left,MISS K. Durant 21' pullup Shot,[201142],1610612751.0,BKN,pullup,,,Durant,K. Durant,,,,,21.6,Missed,,,,,,,,,,,,,,,,,,,
12,PT10M50.00S,2021-11-05T23:11:58.1Z,1,REGULAR,rebound,defensive,[],1628367,,,1610612765,0,2,2021-11-05T23:12:00Z,120000,,,0,,J. Jackson REBOUND (Off:0 Def:1),[1628367],1610612765.0,DET,,,,Jackson,J. Jackson,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT10M41.00S,2021-11-05T23:12:08.4Z,1,REGULAR,2pt,Jump Shot,[],1628367,73.50525624178712,59.80392156862745,1610612765,0,2,2021-11-05T23:12:14Z,130000,49.0,197.0,1,right,MISS J. Jackson 20' step back Shot,[1628367],1610612765.0,DET,step back,,,Jackson,J. Jackson,,,,,20.26,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2021-11-05T23:12:11.7Z,1,REGULAR,rebound,defensive,[],1628971,,,1610612751,0,2,2021-11-05T23:12:11Z,140000,,,0,,B. Brown REBOUND (Off:0 Def:1),[1628971],1610612751.0,BKN,,,,Brown,B. Brown,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,
