actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-12T00:11:24.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-12T00:11:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-02-12T00:11:29.4Z,1,REGULAR,jumpball,recovered,[],1630163,,,1610612766,0,0,2022-02-12T00:11:29Z,40000,,,0,,Jump Ball M. Plumlee vs. I. Stewart: Tip to L. Ball,"[1630163, 203486, 1630191]",1610612766.0,CHA,startperiod,L. Ball,1630163.0,Ball,L. Ball,Plumlee,203486.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-02-12T00:11:41.1Z,1,REGULAR,turnover,out-of-bounds,[],1626179,,,1610612766,0,0,2022-02-12T00:11:57Z,70000,,,0,,T. Rozier step out-of-bounds TURNOVER (1 TO),[1626179],1610612766.0,CHA,step,,,Rozier,T. Rozier,,,,,1201.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M30.00S,2022-02-12T00:12:08.1Z,1,REGULAR,turnover,lost ball,[],1630595,,,1610612765,0,0,2022-02-12T00:12:14Z,80000,,,0,,C. Cunningham lost ball TURNOVER (1 TO),"[1630595, 1630163]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,1.0,Ball,1630163.0,,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-02-12T00:12:08.1Z,1,REGULAR,steal,,[],1630163,,,1610612766,0,0,2022-02-12T00:12:11Z,90000,,,0,,L. Ball STEAL (1 STL),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M25.00S,2022-02-12T00:12:13.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,92.95335085413929,50.73529411764706,1610612766,0,2,2022-02-12T00:13:35Z,100000,4.0,14.0,1,right,K. Oubre Jr. running DUNK (2 PTS) (L. Ball 1 AST),"[1626162, 1630163]",1610612766.0,CHA,running,,,Oubre Jr.,K. Oubre Jr.,,,,,,,,,1.42,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,
12,PT11M08.00S,2022-02-12T00:12:29.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,10.167542706964511,51.470588235294116,1610612765,2,2,2022-02-12T00:13:27Z,120000,-7.0,43.0,1,left,S. Bey driving finger roll Layup (2 PTS),[1630180],1610612765.0,DET,driving finger roll,,,Bey,S. Bey,,,,,,,,,4.37,Made,2.0,,,,,,,,,,,,,
13,PT10M53.00S,2022-02-12T00:12:46.5Z,1,REGULAR,turnover,out-of-bounds,[],1628970,,,1610612766,2,2,2022-02-12T00:12:56Z,130000,,,0,,M. Bridges bad pass out-of-bounds TURNOVER (1 TO),[1628970],1610612766.0,CHA,bad pass,,,Bridges,M. Bridges,,,,,202007.0,1.0,,,,,,,,,,,,,,,,,,
14,PT10M37.00S,2022-02-12T00:13:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630191,7.013797634691201,56.127450980392155,1610612765,4,2,2022-02-12T00:13:10Z,140000,-31.0,13.0,1,left,I. Stewart Layup (2 PTS) (J. Grant 1 AST),"[1630191, 203924]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,3.34,Made,2.0,J. Grant,203924.0,1.0,,,,,,,,,,
16,PT10M22.00S,2022-02-12T00:13:20.8Z,1,REGULAR,3pt,Jump Shot,[],1630163,68.11760840998686,33.57843137254902,1610612766,4,5,2022-02-12T00:13:25Z,160000,-82.0,247.0,1,right,L. Ball 26' 3PT  (3 PTS) (M. Plumlee 1 AST),"[1630163, 203486]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,,,,,26.05,Made,3.0,M. Plumlee,203486.0,1.0,,,,,,,,,,
