actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-12-30T00:10:10.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-30T00:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-12-30T00:10:13.6Z,1,REGULAR,jumpball,recovered,[],1629656,,,1610612752,0,0,2021-12-30T00:10:13Z,40000,,,0,,Jump Ball M. Robinson vs. L. Garza: Tip to Q. Grimes,"[1629656, 1629011, 1630568]",1610612752.0,NYK,startperiod,Q. Grimes,1629656.0,Grimes,Q. Grimes,Robinson,1629011.0,Garza,1630568.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2021-12-30T00:10:28.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629011,93.5611038107753,49.77787990196079,1610612752,0,0,2021-12-30T00:10:36Z,70000,-1.0,8.0,1,right,MISS M. Robinson Layup,[1629011],1610612752.0,NYK,,,,Robinson,M. Robinson,,,,,0.81,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2021-12-30T00:10:30.7Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,0,2021-12-30T00:10:36Z,80000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2021-12-30T00:10:52.4Z,1,REGULAR,2pt,Jump Shot,[],1630180,21.73127463863338,60.294117647058826,1610612765,0,0,2021-12-30T00:10:58Z,90000,-51.0,152.0,1,left,MISS S. Bey 16' fadeaway Shot,[1630180],1610612765.0,DET,fadeaway,,,Bey,S. Bey,,,,,16.03,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M13.00S,2021-12-30T00:10:56.4Z,1,REGULAR,rebound,defensive,[],203944,,,1610612752,0,0,2021-12-30T00:10:58Z,100000,,,0,,J. Randle REBOUND (Off:0 Def:1),[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M05.00S,2021-12-30T00:11:04.8Z,1,REGULAR,2pt,Jump Shot,[],203944,85.85742444152432,14.215686274509807,1610612752,0,0,2021-12-30T00:11:10Z,110000,-179.0,80.0,1,right,MISS J. Randle 19' Jump Shot,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,19.61,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M02.00S,2021-12-30T00:11:07.8Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,0,2021-12-30T00:11:10Z,120000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT10M51.00S,2021-12-30T00:11:18.7Z,1,REGULAR,3pt,Jump Shot,[],1628476,32.11235216819975,65.19607843137254,1610612765,0,0,2021-12-30T00:11:25Z,130000,-76.0,249.0,1,left,MISS D. Walton Jr. 26' 3PT,[1628476],1610612765.0,DET,,,,Walton Jr.,D. Walton Jr.,,,,,26.07,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2021-12-30T00:11:22.7Z,1,REGULAR,rebound,defensive,[],1629656,,,1610612752,0,0,2021-12-30T00:11:25Z,140000,,,0,,Q. Grimes REBOUND (Off:0 Def:1),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
15,PT10M38.00S,2021-12-30T00:11:31.2Z,1,REGULAR,turnover,bad pass,[],202689,,,1610612752,0,0,2021-12-30T00:11:37Z,150000,,,0,,K. Walker bad pass TURNOVER (1 TO),"[202689, 1630568]",1610612752.0,NYK,,,,Walker,K. Walker,,,,,,,,,,,1.0,Garza,1630568.0,,,,,,,,,,,,
16,PT10M38.00S,2021-12-30T00:11:31.2Z,1,REGULAR,steal,,[],1630568,,,1610612765,0,0,2021-12-30T00:34:47Z,160000,,,0,,L. Garza STEAL (1 STL),[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M32.00S,2021-12-30T00:11:37.4Z,1,REGULAR,turnover,lost ball,[],1628977,,,1610612765,0,0,2021-12-30T00:11:43Z,170000,,,0,,H. Diallo lost ball TURNOVER (1 TO),"[1628977, 1629656]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,1.0,Grimes,1629656.0,,,,,,,,,,,,
18,PT10M32.00S,2021-12-30T00:11:37.4Z,1,REGULAR,steal,,[],1629656,,,1610612752,0,0,2021-12-30T00:11:40Z,180000,,,0,,Q. Grimes STEAL (1 STL),[1629656],1610612752.0,NYK,,,,Grimes,Q. Grimes,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2021-12-30T00:11:43.5Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629628,91.90210249671485,56.61764705882353,1610612752,0,0,2021-12-30T00:12:16Z,190000,33.0,24.0,1,right,MISS R. Barrett driving finger roll Layup,[1629628],1610612752.0,NYK,driving finger roll,,,Barrett,R. Barrett,,,,,4.07,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M22.00S,2021-12-30T00:11:46.5Z,1,REGULAR,rebound,defensive,[],1630568,,,1610612765,0,0,2021-12-30T00:11:46Z,200000,,,0,,L. Garza REBOUND (Off:0 Def:1),[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
21,PT10M10.00S,2021-12-30T00:11:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630180,22.38830486202366,91.66666666666667,1610612765,0,0,2021-12-30T00:12:04Z,210000,-208.0,158.0,1,left,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M09.00S,2021-12-30T00:11:59.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612752,0,0,2021-12-30T00:12:04Z,220000,,,0,,TEAM defensive REBOUND,[],1610612752.0,NYK,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,
23,PT10M09.00S,2021-12-30T00:12:05.5Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,0,0,2021-12-30T00:12:05Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M53.00S,2021-12-30T00:12:28.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203944,82.9664914586071,51.470588235294116,1610612752,0,0,2021-12-30T00:12:35Z,240000,7.0,108.0,1,right,MISS J. Randle 10' fadeaway Shot,[203944],1610612752.0,NYK,fadeaway,,,Randle,J. Randle,,,,,10.79,Missed,,,,,,,,,,,,,,,,,,,
25,PT09M51.00S,2021-12-30T00:12:30.7Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,0,2021-12-30T00:12:35Z,250000,,,0,,H. Diallo REBOUND (Off:0 Def:2),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,,
26,PT09M32.00S,2021-12-30T00:12:50.1Z,1,REGULAR,3pt,Jump Shot,[],1630180,6.750985545335084,5.637254901960787,1610612765,0,0,2021-12-30T00:12:57Z,260000,222.0,11.0,1,left,MISS S. Bey 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,22.21,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M28.00S,2021-12-30T00:12:54.1Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612752,0,0,2021-12-30T00:12:57Z,270000,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
28,PT09M22.00S,2021-12-30T00:13:00.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629011,92.82194480946123,52.69607843137255,1610612752,0,2,2021-12-30T00:13:07Z,280000,13.0,15.0,1,right,M. Robinson alley-oop DUNK (2 PTS) (R. Barrett 1 AST),"[1629011, 1629628]",1610612752.0,NYK,alley-oop,,,Robinson,M. Robinson,,,,,2.02,Made,,,,,,,,2.0,R. Barrett,1629628.0,1.0,,,,,,,,
