actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-03-13T19:11:08.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-13T19:11:08Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-13T19:11:11.3Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612765,0,0,2022-03-13T19:11:11Z,40000,,,0,,Jump Ball M. Bagley III vs. I. Zubac: Tip to C. Joseph,"[202709, 1628963, 1627826]",1610612765.0,DET,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Bagley III,1628963.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-13T19:11:24.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,93.34756898817345,45.833333333333336,1610612765,0,0,2022-03-13T19:11:29Z,70000,-21.0,10.0,1,right,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,2.31,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-03-13T19:11:26.1Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,0,0,2022-03-13T19:11:29Z,80000,,,0,,R. Jackson REBOUND (Off:0 Def:1),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-13T19:11:37.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,10.167542706964511,45.58823529411765,1610612746,0,2,2022-03-13T19:11:41Z,90000,22.0,43.0,1,left,I. Zubac turnaround Hook (2 PTS),[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,4.84,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M03.00S,2022-03-13T19:12:04.6Z,1,REGULAR,3pt,Jump Shot,[],203924,68.51182654402103,29.90196078431373,1610612765,0,2,2022-03-13T19:12:08Z,100000,-100.0,243.0,1,right,MISS J. Grant 26' 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,26.34,Missed,,,,,,,,,,,,,,,,,,
11,PT11M00.00S,2022-03-13T19:12:07.0Z,1,REGULAR,rebound,defensive,[],202704,,,1610612746,0,2,2022-03-13T19:12:07Z,110000,,,0,,R. Jackson REBOUND (Off:0 Def:2),[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,,,10.0,2.0,2.0,0.0,,,,,,,,,,,,,,
12,PT10M48.00S,2022-03-13T19:12:19.3Z,1,REGULAR,3pt,Jump Shot,[],201587,7.802233902759525,1.9607843137254974,1610612746,0,2,2022-03-13T19:12:23Z,120000,240.0,21.0,1,left,MISS N. Batum 24' 3PT,[201587],1610612746.0,LAC,,,,Batum,N. Batum,,,,,24.11,Missed,,,,,,,,,,,,,,,,,,
13,PT10M46.00S,2022-03-13T19:12:21.3Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,2,2022-03-13T19:12:23Z,130000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT10M34.00S,2022-03-13T19:12:33.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202709,92.95335085413929,55.14705882352941,1610612765,0,2,2022-03-13T19:12:38Z,140000,26.0,14.0,1,right,MISS C. Joseph driving Layup,[202709],1610612765.0,DET,driving,,,Joseph,C. Joseph,,,,,2.91,Missed,,,,,,,,,,,,,,,,,,
15,PT10M32.00S,2022-03-13T19:12:35.9Z,1,REGULAR,rebound,offensive,[],1628963,,,1610612765,0,2,2022-03-13T19:12:38Z,150000,,,0,,M. Bagley III REBOUND (Off:1 Def:0),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,,,,,,
16,PT10M31.00S,2022-03-13T19:12:36.3Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1628963,91.50788436268068,54.90196078431372,1610612765,0,2,2022-03-13T19:12:40Z,160000,25.0,27.0,1,right,MISS M. Bagley III turnaround Hook,[1628963],1610612765.0,DET,turnaround,,,Bagley III,M. Bagley III,,,,,3.67,Missed,,,,,,,,,,,,,,,,,,
17,PT10M31.00S,2022-03-13T19:12:36.3Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,2,2022-03-13T19:12:40Z,170000,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M16.00S,2022-03-13T19:12:51.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627826,9.510512483574246,45.833333333333336,1610612746,0,2,2022-03-13T19:12:55Z,180000,21.0,37.0,1,left,MISS I. Zubac turnaround Hook,[1627826],1610612746.0,LAC,turnaround,,,Zubac,I. Zubac,,,,,4.24,Missed,,,,,,,,,,,,,,,,,,
19,PT10M13.00S,2022-03-13T19:12:54.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,2,2022-03-13T19:12:55Z,190000,,,0,,C. Cunningham REBOUND (Off:0 Def:2),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,,,,,
20,PT10M05.00S,2022-03-13T19:13:05.4Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,0,2,2022-03-13T19:13:05Z,200000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PT09M55.00S,2022-03-13T19:13:25.9Z,1,REGULAR,2pt,Jump Shot,[],1630595,82.44086727989487,76.7156862745098,1610612765,0,2,2022-03-13T19:14:07Z,210000,134.0,113.0,1,right,MISS C. Cunningham 17' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,17.47,Missed,,,,,,,,,,,,,,,,,,
22,PT09M53.00S,2022-03-13T19:13:27.9Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,2,2022-03-13T19:13:31Z,220000,,,0,,I. Zubac REBOUND (Off:0 Def:2),[1627826],1610612746.0,LAC,,,,Zubac,I. Zubac,,,,,,,21.0,2.0,2.0,0.0,,,,,,,,,,,,,,
23,PT09M36.00S,2022-03-13T19:13:45.0Z,1,REGULAR,3pt,Jump Shot,[],202704,37.36859395532195,64.4607843137255,1610612746,0,2,2022-03-13T19:13:48Z,230000,-72.0,299.0,1,left,MISS R. Jackson 30' 3PT,[202704],1610612746.0,LAC,,,,Jackson,R. Jackson,,,,,30.74,Missed,,,,,,,,,,,,,,,,,,
24,PT09M34.00S,2022-03-13T19:13:47.0Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,2,2022-03-13T19:13:48Z,240000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT09M24.00S,2022-03-13T19:13:59.6Z,1,REGULAR,turnover,traveling,[],1628963,,,1610612765,0,2,2022-03-13T19:14:08Z,250000,,,0,,M. Bagley III traveling TURNOVER (1 TO),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,,2004.0,1.0,,,,,,,,,,,
26,PT09M07.00S,2022-03-13T19:14:27.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],202694,25.936268068331145,48.529411764705884,1610612746,0,2,2022-03-13T19:14:31Z,260000,7.0,191.0,1,left,MISS M. Morris Sr. 19' pullup Shot,[202694],1610612746.0,LAC,pullup,,,Morris Sr.,M. Morris Sr.,,,,,19.14,Missed,,,,,,,,,,,,,,,,,,
