actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2022-01-16T18:11:27.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-16T18:11:27Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,PT12M00.00S,2022-01-16T18:11:31.8Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2022-01-16T19:33:28Z,35000,,,0,,Jump Ball I. Stewart vs. D. Ayton: Tip to Team (DET),"[1630191, 1629028]",1610612765.0,DET,startperiod,Team (DET),Stewart,1630191.0,Ayton,1629028.0,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-01-16T18:11:36.0Z,1,REGULAR,violation,jumpball,[],1629028,,,1610612765,0,0,2022-01-16T19:33:28Z,40000,,,0,,D. Ayton jumpball VIOLATION,[1629028],1610612756.0,PHX,,,,,,,1628172.0,Ayton,D. Ayton,,,,,,,,,,,,,,,,,,,,,
5,PT11M44.00S,2022-01-16T18:12:01.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,14.799605781865965,65.68627450980392,1610612765,0,0,2022-01-16T18:12:08Z,50000,-78.0,87.0,1,left,MISS S. Bey 11' floating Shot,[1630180],1610612765.0,DET,floating,,,,,,,Bey,S. Bey,11.68,Missed,,,,,,,,,,,,,,,,,,,
6,PT11M41.00S,2022-01-16T18:12:04.4Z,1,REGULAR,rebound,defensive,[],203109,,,1610612756,0,0,2022-01-16T18:12:08Z,60000,,,0,,J. Crowder REBOUND (Off:0 Def:1),[203109],1610612756.0,PHX,,,,,,,,Crowder,J. Crowder,,,5.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
7,PT11M23.00S,2022-01-16T18:12:22.6Z,1,REGULAR,3pt,Jump Shot,[],1628969,71.43561103810775,78.43137254901961,1610612756,0,0,2022-01-16T18:12:28Z,70000,142.0,216.0,1,right,MISS M. Bridges 25' 3PT,[1628969],1610612756.0,PHX,,,,,,,,Bridges,M. Bridges,25.86,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M20.00S,2022-01-16T18:12:25.6Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,0,2022-01-16T18:12:28Z,80000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,,,,,Stewart,I. Stewart,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M13.00S,2022-01-16T18:12:32.3Z,1,REGULAR,2pt,Jump Shot,[],1630595,16.90210249671485,25.49019607843137,1610612765,2,0,2022-01-16T18:12:36Z,90000,123.0,106.0,1,left,C. Cunningham 16' pullup Jump Shot (2 PTS),[1630595],1610612765.0,DET,pullup,,,,,,,Cunningham,C. Cunningham,16.23,Made,,,,,2.0,,,,,,,,,,,,,,
10,PT11M00.00S,2022-01-16T18:12:45.3Z,1,REGULAR,2pt,Jump Shot,[],1626164,75.50919842312747,30.392156862745097,1610612756,2,2,2022-01-16T18:12:50Z,100000,-98.0,178.0,1,right,D. Booker 20' Jump Shot (2 PTS) (C. Paul 1 AST),"[1626164, 101108]",1610612756.0,PHX,,,,,,,,Booker,D. Booker,20.29,Made,,,,,2.0,C. Paul,101108.0,1.0,,,,,,,,,,,
12,PT10M41.00S,2022-01-16T18:13:05.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,8.09789750328515,51.9607843137255,1610612765,4,2,2022-01-16T18:13:14Z,120000,-10.0,24.0,1,left,C. Cunningham driving Layup (4 PTS),[1630595],1610612765.0,DET,driving,,,,,,,Cunningham,C. Cunningham,2.56,Made,,,,,4.0,,,,,,,,,,,,,,
