actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-27T19:41:24.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-27T19:41:24Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-27T19:41:27.7Z,1,REGULAR,jumpball,recovered,[],202692,,,1610612752,0,0,2022-03-27T19:41:27Z,40000,,,0,,Jump Ball M. Robinson vs. M. Bagley III: Tip to A. Burks,"[202692, 1629011, 1628963]",1610612752.0,NYK,startperiod,A. Burks,202692.0,Burks,A. Burks,Robinson,1629011.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-03-27T19:41:43.9Z,1,REGULAR,foul,personal,['2freethrow'],1628963,,,1610612752,0,0,2022-03-27T19:41:57Z,70000,,,0,,M. Bagley III shooting personal FOUL (1 PF) (Barrett 2 FT),"[1628963, 1629628]",1610612765.0,DET,shooting,,,Bagley III,M. Bagley III,,,,,1627529.0,1.0,0.0,Barrett,1629628.0,,,,,,,,,,,,,,,,
9,PT11M41.00S,2022-03-27T19:42:09.9Z,1,REGULAR,freethrow,1 of 2,[],1629628,,,1610612752,0,1,2022-03-27T19:42:10Z,90000,,,0,,R. Barrett Free Throw 1 of 2 (1 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
10,PT11M41.00S,2022-03-27T19:42:23.0Z,1,REGULAR,freethrow,2 of 2,[],1629628,,,1610612752,0,2,2022-03-27T19:42:23Z,100000,,,0,,R. Barrett Free Throw 2 of 2 (2 PTS),[1629628],1610612752.0,NYK,,,,Barrett,R. Barrett,,,,,,,,,,Made,2.0,,,,,,,,,,,,,,
11,PT11M28.00S,2022-03-27T19:42:37.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628963,5.699737187910642,54.411764705882355,1610612765,2,2,2022-03-27T19:43:32Z,110000,-22.0,1.0,1,left,M. Bagley III alley-oop DUNK (2 PTS) (C. Cunningham 1 AST),"[1628963, 1630595]",1610612765.0,DET,alley-oop,,,Bagley III,M. Bagley III,,,,,,,,,,Made,2.0,2.21,C. Cunningham,1630595.0,1.0,,,,,,,,,,
13,PT11M10.00S,2022-03-27T19:42:57.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612752,2,2,2022-03-27T19:42:57Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M04.00S,2022-03-27T19:43:14.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203095,88.09132720105124,55.63725490196079,1610612752,2,4,2022-03-27T19:43:19Z,140000,28.0,59.0,1,right,E. Fournier 6' driving floating Jump Shot (2 PTS),[203095],1610612752.0,NYK,driving floating,,,Fournier,E. Fournier,,,,,,,,,,Made,2.0,6.58,,,,,,,,,,,,,
15,PT10M39.00S,2022-03-27T19:43:39.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628963,13.18988173455979,46.81372549019608,1610612765,4,4,2022-03-27T19:43:43Z,150000,16.0,71.0,1,left,M. Bagley III 7' Jump Shot (4 PTS),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,Made,4.0,7.32,,,,,,,,,,,,,
16,PT10M21.00S,2022-03-27T19:44:00.3Z,1,REGULAR,2pt,Layup,[],203095,96.89553219448095,66.91176470588235,1610612752,4,4,2022-03-27T19:44:20Z,160000,85.0,-23.0,1,right,MISS E. Fournier 8' driving Layup - blocked,"[203095, 1630595]",1610612752.0,NYK,driving,,,Fournier,E. Fournier,,,,,,,,,,Missed,,8.77,,,,Cunningham,1630595.0,,,,,,,,
