actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2021-11-16T00:10:50.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-16T00:10:50Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-16T00:10:54.0Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612758,0,0,2021-11-16T00:10:54Z,40000,,,0,,Jump Ball R. Holmes vs. I. Stewart: Tip to T. Haliburton,"[1630169, 1626158, 1630191]",1610612758.0,SAC,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Holmes,1626158.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2021-11-16T00:11:13.2Z,1,REGULAR,2pt,Jump Shot,[],1628368,79.02431011826545,32.1078431372549,1610612758,0,0,2021-11-16T00:11:20Z,70000,-89.0,145.0,1,right,MISS D. Fox 17' pullup Shot,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,17.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M33.00S,2021-11-16T00:11:17.2Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,0,2021-11-16T00:11:20Z,80000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M13.00S,2021-11-16T00:11:36.6Z,1,REGULAR,3pt,Jump Shot,[],1630180,31.192509855453352,27.696078431372555,1610612765,3,0,2021-11-16T00:11:45Z,90000,112.0,241.0,1,left,S. Bey 26' 3PT pullup (3 PTS) (I. Stewart 1 AST),"[1630180, 1630191]",1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,26.53,Made,,,,,3.0,I. Stewart,1630191.0,1.0,,,,,,,,,,
11,PT10M57.00S,2021-11-16T00:11:52.2Z,1,REGULAR,3pt,Jump Shot,[],1628368,67.19776609724047,65.19607843137254,1610612758,3,0,2021-11-16T00:11:58Z,110000,76.0,256.0,1,right,MISS D. Fox 26' 3PT,[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,26.69,Missed,,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2021-11-16T00:11:56.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,3,0,2021-11-16T00:11:58Z,120000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT10M50.00S,2021-11-16T00:12:03.8Z,1,REGULAR,2pt,Jump Shot,[],1630180,19.103153745072277,83.57843137254902,1610612765,3,0,2021-11-16T00:15:11Z,130000,-168.0,127.0,1,left,MISS S. Bey 21' Jump Shot,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,21.06,Missed,,,,,,,,,,,,,,,,,,
34,PT10M48.00S,2021-11-16T00:12:05.8Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,3,0,2021-11-16T00:15:11Z,145000,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M35.00S,2021-11-16T00:12:28.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203084,90.5880420499343,50.49019607843137,1610612758,3,2,2021-11-16T00:13:59Z,160000,2.0,36.0,1,right,H. Barnes driving floating Jump Shot (2 PTS),[203084],1610612758.0,SAC,driving floating,,,Barnes,H. Barnes,,,,,3.61,Made,,,,,2.0,,,,,,,,,,,,,
58,PT10M24.00S,2021-11-16T00:12:38.8Z,1,REGULAR,foul,personal,[],1628368,,,1610612765,3,2,2021-11-16T00:18:58Z,162500,,,0,,D. Fox personal FOUL (1 PF),"[1628368, 1630595]",1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,,,,,,,,,2534.0,1.0,0.0,Cunningham,1630595.0,,,,,
17,PT10M08.00S,2021-11-16T00:13:10.7Z,1,REGULAR,3pt,Jump Shot,[],203924,27.644546649145866,81.37254901960785,1610612765,3,2,2021-11-16T00:19:32Z,170000,-157.0,207.0,1,left,MISS J. Grant 26' pullup 3PT,[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,26.01,Missed,,,,,,,,,,,,,,,,,,
18,PT10M03.00S,2021-11-16T00:13:15.7Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612758,3,2,2021-11-16T00:13:15Z,180000,,,0,,D. Fox REBOUND (Off:0 Def:2),[1628368],1610612758.0,SAC,,,,Fox,D. Fox,,,,,,,17.0,2.0,2.0,0.0,,,,,,,,,,,,,,
19,PT09M56.00S,2021-11-16T00:13:22.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629002,93.34756898817345,96.07843137254902,1610612758,3,5,2021-11-16T00:13:28Z,190000,230.0,10.0,1,right,C. Metu 3PT  (3 PTS) (T. Haliburton 1 AST),"[1629002, 1630169]",1610612758.0,SAC,,,,Metu,C. Metu,,,,,23.06,Made,,,,,3.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,
21,PT09M44.00S,2021-11-16T00:13:34.0Z,1,REGULAR,2pt,Jump Shot,[],1630191,25.54204993429697,29.411764705882348,1610612765,5,5,2021-11-16T00:20:21Z,210000,103.0,188.0,1,left,I. Stewart 21' Jump Shot (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,21.4,Made,,,,,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,
23,PT09M37.00S,2021-11-16T00:13:49.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612758,5,5,2021-11-16T00:13:49Z,230000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PT09M28.00S,2021-11-16T00:14:00.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630169,88.61695137976346,44.36274509803921,1610612758,5,5,2021-11-16T00:21:23Z,240000,-28.0,55.0,1,right,MISS T. Haliburton 6' driving floating Shot - blocked,"[1630169, 1630165]",1610612758.0,SAC,driving floating,,,Haliburton,T. Haliburton,,,,,6.14,Missed,,,,,,,,,,,,,,Hayes,1630165.0,,,
25,PT09M28.00S,2021-11-16T00:14:00.2Z,1,REGULAR,block,,[],1630165,,,1610612758,5,5,2021-11-16T00:14:03Z,250000,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,
26,PT09M24.00S,2021-11-16T00:14:04.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,5,5,2021-11-16T00:14:05Z,260000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,,,,,
27,PT09M19.00S,2021-11-16T00:14:09.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630191,7.276609724047319,54.65686274509804,1610612765,7,5,2021-11-16T00:21:50Z,270000,-23.0,16.0,1,left,I. Stewart Hook (4 PTS) (S. Bey 1 AST),"[1630191, 1630180]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,2.82,Made,,,,,4.0,S. Bey,1630180.0,1.0,,,,,,,,,,
29,PT09M06.00S,2021-11-16T00:14:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203084,89.79960578186596,44.85294117647059,1610612758,7,7,2021-11-16T00:22:11Z,290000,-26.0,43.0,1,right,H. Barnes driving Layup (4 PTS),[203084],1610612758.0,SAC,driving,,,Barnes,H. Barnes,,,,,5.04,Made,,,,,4.0,,,,,,,,,,,,,
30,PT08M55.00S,2021-11-16T00:14:33.2Z,1,REGULAR,3pt,Jump Shot,[],1630595,29.878449408672807,73.2843137254902,1610612765,10,7,2021-11-16T00:22:40Z,300000,-116.0,228.0,1,left,C. Cunningham 25' 3PT pullup (3 PTS),[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,25.64,Made,,,,,3.0,,,,,,,,,,,,,
31,PT08M38.00S,2021-11-16T00:14:50.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628368,93.08475689881735,56.127450980392155,1610612758,10,9,2021-11-16T01:18:28Z,310000,31.0,13.0,1,right,D. Fox driving floating bank Jump Shot (2 PTS) (T. Haliburton 2 AST),"[1628368, 1630169]",1610612758.0,SAC,driving floating bank,,,Fox,D. Fox,,,,,3.31,Made,,,,,2.0,T. Haliburton,1630169.0,2.0,,,,,,,,,,
