actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-08T00:10:58.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-08T00:10:58Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-03-08T00:11:01.9Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2022-03-08T00:11:01Z,40000,,,0,,Jump Ball C. Capela vs. I. Stewart: Tip to T. Young,"[1629027, 203991, 1630191]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Capela,203991.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-03-08T00:11:12.7Z,1,REGULAR,3pt,Jump Shot,[],203992,89.4053876478318,96.81372549019608,1610612737,0,0,2022-03-08T00:11:18Z,70000,234.0,47.0,1,right,MISS B. Bogdanovic 3PT,[203992],1610612737.0,ATL,,,,Bogdanovic,B. Bogdanovic,,,,,23.88,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-08T00:11:16.9Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,0,0,2022-03-08T00:11:16Z,80000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2022-03-08T00:11:29.5Z,1,REGULAR,3pt,Jump Shot,[],1630180,7.013797634691201,98.77450980392157,1610612765,3,0,2022-03-08T00:11:34Z,90000,-244.0,13.0,1,left,S. Bey 24' 3PT  (3 PTS) (C. Cunningham 1 AST),"[1630180, 1630595]",1610612765.0,DET,,,,Bey,S. Bey,,,,,24.43,Made,,,,,3.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,
11,PT11M08.00S,2022-03-08T00:11:49.1Z,1,REGULAR,3pt,Jump Shot,[],1629027,72.05978975032852,77.69607843137254,1610612737,3,3,2022-03-08T00:11:55Z,110000,138.0,210.0,1,right,T. Young 25' 3PT step back (3 PTS),[1629027],1610612737.0,ATL,step back,,,Young,T. Young,,,,,25.16,Made,,,,,3.0,,,,,,,,,,,,,,
12,PT10M46.00S,2022-03-08T00:12:12.9Z,1,REGULAR,foul,personal,['2freethrow'],1629631,,,1610612765,3,3,2022-03-08T00:12:25Z,120000,,,0,,D. Hunter shooting personal FOUL (1 PF) (Bey 2 FT),"[1629631, 1630180]",1610612737.0,ATL,shooting,,,Hunter,D. Hunter,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Bey,1630180.0,,,,,,
14,PT10M46.00S,2022-03-08T00:12:39.0Z,1,REGULAR,freethrow,1 of 2,[],1630180,,,1610612765,3,3,2022-03-08T00:12:39Z,140000,,,0,,MISS S. Bey Free Throw 1 of 2,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2022-03-08T00:12:39.0Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612765,3,3,2022-03-08T00:12:39Z,150000,,,0,,TEAM offensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,
16,PT10M46.00S,2022-03-08T00:12:55.5Z,1,REGULAR,freethrow,2 of 2,[],1630180,,,1610612765,4,3,2022-03-08T00:12:55Z,160000,,,0,,S. Bey Free Throw 2 of 2 (4 PTS),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,Made,,,,,4.0,,,,,,,,,,,,,,
