actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,value
41,PT08M31.00S,2022-03-21T23:20:30.3Z,1,REGULAR,steal,,[],1630570,,,1610612757,9,10,2022-03-21T23:20:32Z,410000,,,0,,T. Watford STEAL (1 STL),[1630570],1610612757.0,POR,,,,Watford,T. Watford,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M28.00S,2022-03-21T23:20:33.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630570,91.77069645203679,52.450980392156865,1610612757,9,12,2022-03-21T23:25:59Z,420000,12.0,25.0,1,right,T. Watford running Layup (2 PTS),[1630570],1610612757.0,POR,running,,,Watford,T. Watford,,,,,,,,2.78,Made,2.0,,,,,,,,,,,,,,,
43,PT08M22.00S,2022-03-21T23:20:48.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,1610612765,9,12,2022-03-21T23:21:38Z,430000,,,0,,TEAM delay-of-game VIOLATION,[],1610612757.0,POR,,,,,,,,,,,,,,,,,,,,201638.0,,,,,,,,,,
44,PT08M11.00S,2022-03-21T23:20:59.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,9.247700394218143,42.892156862745104,1610612765,9,12,2022-03-21T23:21:43Z,440000,36.0,34.0,1,left,MISS C. Cunningham driving Layup - blocked,"[1630595, 1629604]",1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,,,,4.94,Missed,,,,,,,,,,,Elleby,1629604.0,,,,
45,PT08M11.00S,2022-03-21T23:20:59.1Z,1,REGULAR,block,,[],1629604,,,1610612765,9,12,2022-03-21T23:21:02Z,450000,,,0,,C. Elleby BLOCK (1 BLK),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M07.00S,2022-03-21T23:21:03.1Z,1,REGULAR,rebound,defensive,[],1629604,,,1610612757,9,12,2022-03-21T23:30:04Z,460000,,,0,,C. Elleby REBOUND (Off:1 Def:2),[1629604],1610612757.0,POR,,,,Elleby,C. Elleby,,,,,,,,,,,44.0,3.0,2.0,1.0,,,,,,,,,,,
47,PT08M07.00S,2022-03-21T23:21:05.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630314,90.71944809461235,46.07843137254902,1610612757,9,14,2022-03-21T23:27:53Z,470000,-20.0,35.0,1,right,B. Williams running Layup (4 PTS),[1630314],1610612757.0,POR,running,,,Williams,B. Williams,,,,,,,,3.99,Made,4.0,,,,,,,,,,,,,,,
48,PT08M07.00S,2022-03-21T23:21:10.2Z,1,REGULAR,foul,personal,['1freethrow'],1630165,,,1610612757,9,14,2022-03-21T23:21:22Z,480000,,,0,,K. Hayes shooting personal FOUL (2 PF) (Williams 1 FT),"[1630165, 1630314]",1610612765.0,DET,shooting,,,Hayes,K. Hayes,,,,,,,,,,,,,,,201638.0,2.0,0.0,Williams,1630314.0,,,,,,
50,PT08M07.00S,2022-03-21T23:21:27.2Z,1,REGULAR,substitution,out,[],1630165,,,1610612757,9,14,2022-03-21T23:21:43Z,500000,,,0,,SUB out: K. Hayes,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M07.00S,2022-03-21T23:21:27.2Z,1,REGULAR,substitution,in,[],1630240,,,1610612757,9,14,2022-03-21T23:21:43Z,510000,,,0,,SUB in: S. Lee,[1630240],1610612765.0,DET,,,,Lee,S. Lee,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT08M07.00S,2022-03-21T23:21:47.1Z,1,REGULAR,freethrow,1 of 1,[],1630314,,,1610612757,9,15,2022-03-21T23:21:47Z,520000,,,0,,B. Williams Free Throw 1 of 1 (5 PTS),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,Made,5.0,,,,,,,,,,,,,,,
53,PT07M47.00S,2022-03-21T23:22:06.3Z,1,REGULAR,3pt,Jump Shot,[],1630180,7.276609724047319,94.6078431372549,1610612765,9,15,2022-03-21T23:22:12Z,530000,-223.0,16.0,1,left,MISS S. Bey 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,22.36,Missed,,,,,,,,,,,,,,,,
54,PT07M43.00S,2022-03-21T23:22:10.9Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,9,15,2022-03-21T23:22:10Z,540000,,,0,,I. Stewart REBOUND (Off:2 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,53.0,2.0,0.0,2.0,,,,,,,,,,,
55,PT07M37.00S,2022-03-21T23:22:16.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628963,8.196452036793687,62.00980392156863,1610612765,9,15,2022-03-21T23:22:21Z,550000,-60.0,25.0,1,left,MISS M. Bagley III 6' Layup,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,6.48,Missed,,,,,,,,,,,,,,,,
57,PT07M34.00S,2022-03-21T23:22:19.9Z,1,REGULAR,rebound,defensive,[],1630314,,,1610612757,9,15,2022-03-21T23:22:21Z,570000,,,0,,B. Williams REBOUND (Off:0 Def:1),[1630314],1610612757.0,POR,,,,Williams,B. Williams,,,,,,,,,,,55.0,1.0,1.0,0.0,,,,,,,,,,,
58,PT07M33.00S,2022-03-21T23:22:21.5Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630314,93.2161629434954,50.0,1610612757,9,17,2022-03-21T23:22:27Z,580000,0.0,11.0,1,right,B. Williams running Layup (7 PTS) (J. Winslow 1 AST),"[1630314, 1626159]",1610612757.0,POR,running,,,Williams,B. Williams,,,,,,,,1.13,Made,7.0,,,,,,,,,,,,J. Winslow,1626159.0,1.0,
60,PT07M33.00S,2022-03-21T23:22:34.6Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,9,17,2022-03-21T23:22:34Z,600000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT07M11.00S,2022-03-21T23:25:36.4Z,1,REGULAR,3pt,Jump Shot,[],1630595,28.827201051248352,79.65686274509804,1610612765,9,17,2022-03-21T23:25:50Z,610000,-148.0,218.0,1,left,MISS C. Cunningham 26' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,26.41,Missed,,,,,,,,,,,,,,,,
