actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-31T23:10:57.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-31T23:10:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-31T23:11:00.8Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2022-03-31T23:11:00Z,40000,,,0,,Jump Ball J. Embiid vs. M. Bagley III: Tip to T. Maxey,"[1630178, 203954, 1628963]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Bagley III,1628963.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-03-31T23:11:13.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203954,88.2227332457293,55.3921568627451,1610612755,0,0,2022-03-31T23:11:19Z,70000,27.0,58.0,1,right,MISS J. Embiid 6' driving Hook,[203954],1610612755.0,PHI,driving,,,Embiid,J. Embiid,,,,,6.42,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-31T23:11:16.6Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,0,2022-03-31T23:11:19Z,80000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2022-03-31T23:11:36.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,0,0,2022-03-31T23:11:36Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-03-31T23:12:00.2Z,1,REGULAR,3pt,Jump Shot,[],1630180,4.517082785808142,94.6078431372549,1610612765,0,0,2022-03-31T23:12:46Z,100000,-223.0,-10.0,1,left,MISS S. Bey step back 3PT,[1630180],1610612765.0,DET,step back,,,Bey,S. Bey,,,,,22.32,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-03-31T23:12:03.2Z,1,REGULAR,rebound,defensive,[],1630178,,,1610612755,0,0,2022-03-31T23:12:05Z,110000,,,0,,T. Maxey REBOUND (Off:0 Def:1),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
12,PT11M08.00S,2022-03-31T23:12:11.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630178,91.11366622864652,55.14705882352941,1610612755,0,2,2022-03-31T23:12:17Z,120000,26.0,31.0,1,right,T. Maxey driving finger roll Layup (2 PTS) (M. Thybulle 1 AST),"[1630178, 1629680]",1610612755.0,PHI,driving finger roll,,,Maxey,T. Maxey,,,,,4.03,Made,,,,,2.0,M. Thybulle,1629680.0,1.0,,,,,,,,,,,
14,PT10M57.00S,2022-03-31T23:12:23.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,7.276609724047319,52.94117647058824,1610612765,2,2,2022-03-31T23:12:27Z,140000,-15.0,16.0,1,left,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,2.17,Made,,,,,2.0,,,,,,,,,,,,,,
15,PT10M46.00S,2022-03-31T23:12:33.1Z,1,REGULAR,3pt,Jump Shot,[],202699,66.67214191852825,69.11764705882354,1610612755,2,5,2022-03-31T23:12:37Z,150000,96.0,261.0,1,right,T. Harris 27' 3PT  (3 PTS) (J. Embiid 1 AST),"[202699, 203954]",1610612755.0,PHI,,,,Harris,T. Harris,,,,,27.78,Made,,,,,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,,
