actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-21T23:10:21.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-21T23:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-21T23:10:24.4Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,0,0,2021-11-21T23:10:24Z,40000,,,0,,Jump Ball D. Jordan vs. I. Stewart: Tip to R. Westbrook,"[201566, 201599, 1630191]",1610612747.0,LAL,startperiod,R. Westbrook,201566.0,Westbrook,R. Westbrook,Jordan,201599.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-11-21T23:10:43.0Z,1,REGULAR,foul,personal,[],1630191,,,1610612747,0,0,2021-11-21T23:10:57Z,70000,,,0,,I. Stewart personal FOUL (1 PF),"[1630191, 201599]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,1627963.0,1.0,0.0,Jordan,201599.0,,,,,,,,,,,,,,,,
9,PT11M35.00S,2021-11-21T23:11:09.9Z,1,REGULAR,foul,offensive,[],201599,,,1610612747,0,0,2021-11-21T23:11:39Z,90000,,,0,,D. Jordan offensive FOUL (1 PF),"[201599, 203924]",1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,1162.0,1.0,0.0,Grant,203924.0,,,,,,,,,,,,,,,,
11,PT11M35.00S,2021-11-21T23:11:09.9Z,1,REGULAR,turnover,offensive foul,[],201599,,,1610612747,0,0,2021-11-21T23:11:09Z,110000,,,0,,D. Jordan offensive foul TURNOVER (1 TO),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,1162.0,,,,,1.0,,,,,,,,,,,,,,,
12,PT11M17.00S,2021-11-21T23:11:37.6Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612765,0,0,2021-11-21T23:11:42Z,120000,,,0,,J. Grant bad pass TURNOVER (1 TO),"[203924, 203076]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,1.0,Davis,203076.0,,,,,,,,,,,,,
13,PT11M17.00S,2021-11-21T23:11:37.6Z,1,REGULAR,steal,,[],203076,,,1610612747,0,0,2021-11-21T23:11:39Z,130000,,,0,,A. Davis STEAL (1 STL),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT11M12.00S,2021-11-21T23:11:45.1Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612747,0,0,2021-11-21T23:11:45Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M07.00S,2021-11-21T23:11:59.2Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203076,75.21353482260184,36.76470588235294,1610612747,0,0,2021-11-21T23:12:36Z,150000,-66.0,180.0,1,right,MISS A. Davis 19' pullup Shot,[203076],1610612747.0,LAL,pullup,,,Davis,A. Davis,,,,,,,,,,,,,19.23,Missed,,,,,,,,,,,
16,PT11M05.00S,2021-11-21T23:12:01.2Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2021-11-21T23:12:03Z,160000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
17,PT11M00.00S,2021-11-21T23:12:06.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202709,24.885019710906704,13.725490196078425,1610612765,0,0,2021-11-21T23:12:13Z,170000,181.0,181.0,1,left,MISS C. Joseph 25' 3PT,[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,25.65,Missed,,,,,,,,,,,
18,PT10M57.00S,2021-11-21T23:12:09.3Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,0,0,2021-11-21T23:12:09Z,180000,,,0,,D. Jordan REBOUND (Off:0 Def:1),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,
19,PT10M51.00S,2021-11-21T23:12:15.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",2544,89.01116951379764,41.666666666666664,1610612747,0,2,2021-11-21T23:12:24Z,190000,-42.0,51.0,1,right,L. James 6' fadeaway Jump Shot (2 PTS),[2544],1610612747.0,LAL,fadeaway,,,James,L. James,,,,,,,,,,,,,6.57,Made,,,,,2.0,,,,,,
20,PT10M35.00S,2021-11-21T23:12:30.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,5.962549277266746,52.450980392156865,1610612765,2,2,2021-11-21T23:12:36Z,200000,-12.0,4.0,1,left,I. Stewart Layup (2 PTS) (J. Grant 1 AST),"[1630191, 203924]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,1.28,Made,,,,,2.0,J. Grant,203924.0,1.0,,,
22,PT10M26.00S,2021-11-21T23:12:40.1Z,1,REGULAR,2pt,Jump Shot,[],201566,80.6011826544021,78.92156862745098,1610612747,2,4,2021-11-21T23:12:45Z,220000,145.0,130.0,1,right,R. Westbrook 19' pullup Jump Shot (2 PTS),[201566],1610612747.0,LAL,pullup,,,Westbrook,R. Westbrook,,,,,,,,,,,,,19.43,Made,,,,,2.0,,,,,,
23,PT10M14.00S,2021-11-21T23:12:51.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,5.305519053876466,55.14705882352941,1610612765,4,4,2021-11-21T23:12:56Z,230000,-26.0,-3.0,1,left,C. Cunningham driving Layup (2 PTS),[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,,,,,,,,,2.58,Made,,,,,2.0,,,,,,
24,PT10M08.00S,2021-11-21T23:12:58.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",203076,91.50788436268068,49.26470588235294,1610612747,4,6,2021-11-21T23:13:05Z,240000,-4.0,27.0,1,right,A. Davis running DUNK (2 PTS) (R. Westbrook 1 AST),"[203076, 201566]",1610612747.0,LAL,running,,,Davis,A. Davis,,,,,,,,,,,,,2.75,Made,,,,,2.0,R. Westbrook,201566.0,1.0,,,
26,PT09M50.00S,2021-11-21T23:13:16.1Z,1,REGULAR,3pt,Jump Shot,[],203924,5.699737187910642,4.411764705882348,1610612765,4,6,2021-11-21T23:13:20Z,260000,228.0,1.0,1,left,MISS J. Grant 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,22.79,Missed,,,,,,,,,,,
27,PT09M48.00S,2021-11-21T23:13:18.5Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,4,6,2021-11-21T23:13:18Z,270000,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,
28,PT09M47.00S,2021-11-21T23:13:19.6Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1630191,8.853482260183966,50.98039215686275,1610612765,4,6,2021-11-21T23:13:23Z,280000,-5.0,31.0,1,left,MISS I. Stewart Hook,[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,3.11,Missed,,,,,,,,,,,
29,PT09M45.00S,2021-11-21T23:13:21.6Z,1,REGULAR,rebound,defensive,[],201599,,,1610612747,4,6,2021-11-21T23:13:23Z,290000,,,0,,D. Jordan REBOUND (Off:0 Def:2),[201599],1610612747.0,LAL,,,,Jordan,D. Jordan,,,,,,,,,,,,,,,28.0,2.0,2.0,0.0,,,,,,,
30,PT09M36.00S,2021-11-21T23:14:24.5Z,1,REGULAR,jumpball,recovered,[],201566,,,1610612747,4,6,2021-11-21T23:14:24Z,300000,,,0,,Jump Ball L. James vs. C. Joseph: Tip to R. Westbrook,"[201566, 2544, 202709]",1610612747.0,LAL,heldball,R. Westbrook,201566.0,Westbrook,R. Westbrook,James,2544.0,Joseph,202709.0,,,,,,,,,,,,,,,,,,,,,
