actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-03-25T23:08:53.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-25T23:08:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-03-25T23:08:57.0Z,1,REGULAR,jumpball,recovered,[],1629060,,,1610612764,0,0,2022-03-25T23:08:57Z,40000,,,0,,Jump Ball K. Porzingis vs. I. Stewart: Tip to R. Hachimura,"[1629060, 204001, 1630191]",1610612764.0,WAS,startperiod,R. Hachimura,1629060.0,Hachimura,R. Hachimura,Porzingis,204001.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-25T23:09:08.6Z,1,REGULAR,3pt,Jump Shot,[],204001,64.1754270696452,69.6078431372549,1610612764,0,0,2022-03-25T23:09:12Z,70000,98.0,284.0,1,right,MISS K. Porzingis 30' 3PT,[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,30.07,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-03-25T23:09:11.6Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,0,0,2022-03-25T23:09:12Z,80000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
10,PT11M28.00S,2022-03-25T23:09:23.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,8.984888304862025,54.90196078431372,1610612765,0,0,2022-03-25T23:09:29Z,100000,-25.0,32.0,1,left,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,Cunningham,C. Cunningham,,,,,4.03,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2022-03-25T23:09:27.8Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,0,0,2022-03-25T23:09:27Z,110000,,,0,,C. Cunningham REBOUND (Off:1 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-03-25T23:09:39.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],202709,4.648488830486201,32.59803921568627,1610612765,0,0,2022-03-25T23:09:45Z,120000,87.0,-9.0,1,left,MISS C. Joseph 8' step back Shot,[202709],1610612765.0,DET,step back,,,Joseph,C. Joseph,,,,,8.74,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-03-25T23:09:42.8Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,0,0,2022-03-25T23:09:42Z,130000,,,0,,C. Cunningham REBOUND (Off:2 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,12.0,2.0,0.0,2.0,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-03-25T23:09:42.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630595,5.590000152587891,50.0,1610612765,0,0,2022-03-25T23:09:42Z,140000,0.0,0.0,1,left,MISS C. Cunningham tip Layup,[1630595],1610612765.0,DET,tip,,,Cunningham,C. Cunningham,,,,,0.0,Missed,,,,,,,,,,,,,,,,,,,
15,PT11M09.00S,2022-03-25T23:09:43.6Z,1,REGULAR,rebound,defensive,[],203484,,,1610612764,0,0,2022-03-25T23:09:43Z,150000,,,0,,K. Caldwell-Pope REBOUND (Off:0 Def:1),[203484],1610612764.0,WAS,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
16,PT10M57.00S,2022-03-25T23:09:55.3Z,1,REGULAR,3pt,Jump Shot,[],1629060,72.1419185282523,19.339767156862735,1610612764,0,0,2022-03-25T23:10:01Z,160000,-153.0,209.0,1,right,MISS R. Hachimura 25' 3PT,[1629060],1610612764.0,WAS,,,,Hachimura,R. Hachimura,,,,,25.95,Missed,,,,,,,,,,,,,,,,,,,
17,PT10M55.00S,2022-03-25T23:09:57.3Z,1,REGULAR,rebound,offensive,[],203107,,,1610612764,0,0,2022-03-25T23:10:01Z,170000,,,0,,T. Satoransky REBOUND (Off:1 Def:0),[203107],1610612764.0,WAS,,,,Satoransky,T. Satoransky,,,,,,,16.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
18,PT10M43.00S,2022-03-25T23:10:08.9Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],203484,76.65900131406045,74.50980392156863,1610612764,0,2,2022-03-25T23:10:21Z,180000,123.0,167.0,1,right,K. Caldwell-Pope 20' pullup Jump Shot (2 PTS),[203484],1610612764.0,WAS,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,20.7,Made,,,,,2.0,,,,,,,,,,,,,,
19,PT10M29.00S,2022-03-25T23:10:22.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,7.408015768725363,97.05882352941177,1610612765,0,2,2022-03-25T23:10:27Z,190000,-235.0,17.0,1,left,MISS S. Bey 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,23.59,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M27.00S,2022-03-25T23:10:24.8Z,1,REGULAR,rebound,defensive,[],204001,,,1610612764,0,2,2022-03-25T23:10:27Z,200000,,,0,,K. Porzingis REBOUND (Off:0 Def:1),[204001],1610612764.0,WAS,,,,Porzingis,K. Porzingis,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
