actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-30T23:10:18.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-30T23:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-01-30T23:10:22.1Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2022-01-30T23:10:22Z,40000,,,0,,Jump Ball J. Allen vs. I. Stewart: Tip to D. Garland,"[1629636, 1628386, 1630191]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-01-30T23:10:41.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,93.61038107752957,52.94117647058824,1610612739,0,2,2022-01-30T23:10:49Z,70000,15.0,8.0,1,right,I. Okoro cutting Layup (2 PTS) (J. Allen 1 AST),"[1630171, 1628386]",1610612739.0,CLE,cutting,,,Okoro,I. Okoro,,,,,1.65,Made,2.0,J. Allen,1628386.0,1.0,,,,,,,,,,,,,,,
9,PT11M21.00S,2022-01-30T23:11:00.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,0,2,2022-01-30T23:11:00Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2022-01-30T23:11:26.1Z,1,REGULAR,2pt,Jump Shot,[],1630180,7.802233902759525,10.784313725490193,1610612765,0,2,2022-01-30T23:11:30Z,100000,196.0,21.0,1,left,MISS S. Bey 19' Jump Shot,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,19.72,Missed,,,,,,,,,,,,,,,,,,,
11,PT11M08.00S,2022-01-30T23:11:29.0Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,2,2022-01-30T23:11:29Z,110000,,,0,,E. Mobley REBOUND (Off:0 Def:1),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,
12,PT10M59.00S,2022-01-30T23:11:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,93.61038107752957,45.833333333333336,1610612739,0,4,2022-01-30T23:11:42Z,120000,-21.0,8.0,1,right,J. Allen Layup (2 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,2.21,Made,2.0,,,,,,,,,,,,,,,,,,
13,PT10M48.00S,2022-01-30T23:11:49.9Z,1,REGULAR,2pt,Jump Shot,[],1628977,18.183311432325894,78.67647058823529,1610612765,0,4,2022-01-30T23:11:53Z,130000,-143.0,118.0,1,left,MISS H. Diallo 18' pullup Shot,[1628977],1610612765.0,DET,pullup,,,Diallo,H. Diallo,,,,,18.6,Missed,,,,,,,,,,,,,,,,,,,
14,PT10M45.00S,2022-01-30T23:11:52.9Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,4,2022-01-30T23:11:53Z,140000,,,0,,E. Mobley REBOUND (Off:0 Def:2),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,13.0,2.0,2.0,0.0,,,,,,,,,,,
15,PT10M35.00S,2022-01-30T23:12:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629636,94.53022339027595,55.3921568627451,1610612739,0,6,2022-01-30T23:12:46Z,150000,27.0,-1.0,1,right,D. Garland driving finger roll Layup (2 PTS),[1629636],1610612739.0,CLE,driving finger roll,,,Garland,D. Garland,,,,,2.7,Made,2.0,,,,,,,,,,,,,,,,,,
16,PT10M26.00S,2022-01-30T23:12:18.1Z,1,REGULAR,violation,kicked ball,[],1629731,,,1610612765,0,6,2022-01-30T23:12:26Z,160000,,,0,,D. Wade kicked ball VIOLATION,[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,,,,,,,,,,,2003.0,,,,,,,,,,
17,PT10M14.00S,2022-01-30T23:12:51.2Z,1,REGULAR,3pt,Jump Shot,[],1628977,5.042706964520377,97.54901960784314,1610612765,0,6,2022-01-30T23:12:55Z,170000,-238.0,-5.0,1,left,MISS H. Diallo 3PT,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,23.78,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M10.00S,2022-01-30T23:12:55.2Z,1,REGULAR,rebound,defensive,[],1630596,,,1610612739,0,6,2022-01-30T23:12:55Z,180000,,,0,,E. Mobley REBOUND (Off:0 Def:3),[1630596],1610612739.0,CLE,,,,Mobley,E. Mobley,,,,,,,,,,,17.0,3.0,3.0,0.0,,,,,,,,,,,
19,PT10M07.00S,2022-01-30T23:12:58.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629731,75.47634691195795,12.009803921568633,1610612739,0,9,2022-01-30T23:14:10Z,190000,-190.0,178.0,1,right,D. Wade 26' 3PT running (3 PTS) (E. Mobley 1 AST),"[1629731, 1630596]",1610612739.0,CLE,running,,,Wade,D. Wade,,,,,26.04,Made,3.0,E. Mobley,1630596.0,1.0,,,,,,,,,,,,,,,
20,PT10M00.00S,2022-01-30T23:13:09.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,0,9,2022-01-30T23:13:09Z,200000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2022-01-30T23:16:13.0Z,1,REGULAR,foul,offensive,[],202709,,,1610612765,0,9,2022-01-30T23:16:22Z,210000,,,0,,C. Joseph offensive FOUL (1 PF),"[202709, 1629636]",1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,1628171.0,1.0,0.0,Garland,1629636.0,,,,,,
24,PT09M49.00S,2022-01-30T23:16:13.0Z,1,REGULAR,turnover,offensive foul,[],202709,,,1610612765,0,9,2022-01-30T23:16:13Z,230000,,,0,,C. Joseph offensive foul TURNOVER (1 TO),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,1628171.0,,,,,1.0,,,,,
25,PT09M38.00S,2022-01-30T23:16:37.9Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1629636,93.61038107752957,80.14705882352942,1610612739,0,9,2022-01-30T23:16:41Z,240000,151.0,8.0,1,right,MISS D. Garland 15' pullup Shot,[1629636],1610612739.0,CLE,pullup,,,Garland,D. Garland,,,,,15.09,Missed,,,,,,,,,,,,,,,,,,,
26,PT09M35.00S,2022-01-30T23:16:40.9Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,0,9,2022-01-30T23:16:41Z,250000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,,,,
27,PT09M29.00S,2022-01-30T23:16:46.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,19.760183968462556,94.36274509803921,1610612765,0,9,2022-01-30T23:16:51Z,260000,-222.0,133.0,1,left,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,25.87,Missed,,,,,,,,,,,,,,,,,,,
28,PT09M26.00S,2022-01-30T23:16:49.5Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612739,0,9,2022-01-30T23:16:51Z,270000,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612739.0,CLE,,,,Okoro,I. Okoro,,,,,,,,,,,27.0,1.0,1.0,0.0,,,,,,,,,,,
29,PT09M21.00S,2022-01-30T23:16:56.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630171,94.53022339027595,53.92156862745098,1610612739,0,9,2022-01-30T23:17:00Z,280000,20.0,-1.0,1,right,MISS I. Okoro driving Layup - blocked,"[1630171, 1630595]",1610612739.0,CLE,driving,,,Okoro,I. Okoro,,,,,1.96,Missed,,,,,,,,,,,,,,,Cunningham,1630595.0,,,
30,PT09M21.00S,2022-01-30T23:16:56.1Z,1,REGULAR,block,,[],1630595,,,1610612739,0,9,2022-01-30T23:16:58Z,290000,,,0,,C. Cunningham BLOCK (1 BLK),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,,,,,,,
31,PT09M21.00S,2022-01-30T23:16:56.1Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612739,0,9,2022-01-30T23:17:00Z,300000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,
32,PT09M21.00S,2022-01-30T23:17:01.3Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612739,0,9,2022-01-30T23:17:01Z,310000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
