actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-12-12T23:10:30.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-12T23:10:30Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-12-12T23:10:49.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2021-12-12T23:10:49Z,40000,,,0,,Jump Ball I. Stewart vs. L. Aldridge: Tip to Team (DET),"[1630191, 200746]",1610612765.0,DET,startperiod,Team (DET),Stewart,1630191.0,Aldridge,200746.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2021-12-12T23:11:26.1Z,1,REGULAR,2pt,Jump Shot,[],1630180,6.176084099868589,9.290747549019613,1610612765,0,0,2021-12-12T23:11:39Z,70000,204.0,6.0,1,left,MISS S. Bey 20' Jump Shot,[1630180],1610612765.0,DET,,,,,,,20.36,Missed,Bey,S. Bey,,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2021-12-12T23:11:29.1Z,1,REGULAR,rebound,defensive,[],201988,,,1610612751,0,0,2021-12-12T23:11:39Z,80000,,,0,,P. Mills REBOUND (Off:0 Def:1),[201988],1610612751.0,BKN,,,,,,,,,Mills,P. Mills,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
53,PT11M36.00S,2021-12-12T23:11:32.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627761,88.61695137976346,48.529411764705884,1610612751,0,0,2021-12-12T23:26:35Z,85000,-7.0,55.0,1,right,MISS D. Bembry running Layup - blocked,"[1627761, 1630165]",1610612751.0,BKN,running,,,,,,5.5,Missed,Bembry,D. Bembry,,,,,Hayes,1630165.0,,,,,,,,,,,,,
54,PT11M36.00S,2021-12-12T23:11:32.8Z,1,REGULAR,block,,[],1630165,,,1610612751,0,0,2021-12-12T23:19:41Z,87500,,,0,,K. Hayes BLOCK (1 BLK),[1630165],1610612765.0,DET,,,,,,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,,,,
55,PT11M36.00S,2021-12-12T23:11:32.8Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612751,0,0,2021-12-12T23:20:37Z,88750,,,0,,TEAM offensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,,53.0,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2021-12-12T23:11:39.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612751,0,0,2021-12-12T23:20:12Z,90000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,PT11M30.00S,2021-12-12T23:11:49.4Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],200746,75.34494086727989,40.931372549019606,1610612751,0,2,2021-12-12T23:20:12Z,100000,-45.0,179.0,1,right,L. Aldridge 18' Jump Shot (2 PTS) (K. Durant 1 AST),"[200746, 201142]",1610612751.0,BKN,,,,,,,18.49,Made,Aldridge,L. Aldridge,,,,,,,2.0,K. Durant,201142.0,1.0,,,,,,,,,
12,PT11M08.00S,2021-12-12T23:12:12.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630595,6.356767411300922,42.40196078431373,1610612765,0,2,2021-12-12T23:14:11Z,120000,38.0,7.0,1,left,MISS C. Cunningham driving Layup,[1630595],1610612765.0,DET,driving,,,,,,3.87,Missed,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,,,
13,PT11M05.00S,2021-12-12T23:12:15.2Z,1,REGULAR,rebound,defensive,[],200746,,,1610612751,0,2,2021-12-12T23:12:16Z,130000,,,0,,L. Aldridge REBOUND (Off:0 Def:1),[200746],1610612751.0,BKN,,,,,,,,,Aldridge,L. Aldridge,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
