actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,value,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-02-26T17:10:36.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-26T17:10:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-02-26T17:10:38.8Z,1,REGULAR,jumpball,recovered,[],201143,,,1610612738,0,0,2022-02-26T17:10:38Z,40000,,,0,,Jump Ball R. Williams III vs. I. Stewart: Tip to A. Horford,"[201143, 1629057, 1630191]",1610612738.0,BOS,startperiod,A. Horford,201143.0,Horford,A. Horford,Williams III,1629057.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-02-26T17:10:57.0Z,1,REGULAR,foul,personal,[],1630595,,,1610612738,0,0,2022-02-26T17:11:08Z,70000,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1628369]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,1179.0,1.0,0.0,Tatum,1628369.0,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-02-26T17:11:12.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629057,93.9060446780552,54.166666666666664,1610612738,0,0,2022-02-26T17:11:17Z,90000,21.0,5.0,1,right,MISS R. Williams III alley-oop Layup,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,2.13,Missed,,,,,,,,,,,,,,
10,PT11M34.00S,2022-02-26T17:11:15.3Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,0,0,2022-02-26T17:11:17Z,100000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M16.00S,2022-02-26T17:11:32.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,8.886333771353483,50.73529411764706,1610612765,0,0,2022-02-26T17:12:02Z,110000,-4.0,31.0,1,left,MISS S. Bey driving floating Shot,[1630180],1610612765.0,DET,driving floating,,,Bey,S. Bey,,,,,,,,,,3.12,Missed,,,,,,,,,,,,,,
12,PT11M13.00S,2022-02-26T17:11:35.7Z,1,REGULAR,rebound,defensive,[],203935,,,1610612738,0,0,2022-02-26T17:11:38Z,120000,,,0,,M. Smart REBOUND (Off:0 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M06.00S,2022-02-26T17:11:43.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203935,89.61892247043363,46.33118872549019,1610612738,0,0,2022-02-26T17:11:50Z,130000,-18.0,45.0,1,right,MISS M. Smart driving floating Shot,[203935],1610612738.0,BOS,driving floating,,,Smart,M. Smart,,,,,,,,,,4.87,Missed,,,,,,,,,,,,,,
14,PT11M05.00S,2022-02-26T17:11:44.1Z,1,REGULAR,rebound,offensive,[],203935,,,1610612738,0,0,2022-02-26T17:11:50Z,140000,,,0,,M. Smart REBOUND (Off:1 Def:1),[203935],1610612738.0,BOS,,,,Smart,M. Smart,,,,,,,,,,,,13.0,2.0,1.0,1.0,,,,,,,,,,
15,PT10M59.00S,2022-02-26T17:11:50.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1629057,94.82588699080158,41.42156862745098,1610612738,0,0,2022-02-26T17:13:07Z,150000,-43.0,-4.0,1,right,MISS R. Williams III alley-oop Layup,[1629057],1610612738.0,BOS,alley-oop,,,Williams III,R. Williams III,,,,,,,,,,4.31,Missed,,,,,,,,,,,,,,
