actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-01-15T00:10:08.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-15T00:10:09Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-15T00:10:12.7Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2022-01-15T00:10:12Z,40000,,,0,,Jump Ball I. Stewart vs. S. Barnes: Tip to K. Hayes,"[1630165, 1630191, 1630567]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Stewart,1630191.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M36.00S,2022-01-15T00:10:32.3Z,1,REGULAR,3pt,Jump Shot,[],1628977,25.673455978975028,17.40196078431373,1610612765,0,0,2022-01-15T00:10:39Z,70000,163.0,189.0,1,left,MISS H. Diallo 24' 3PT,[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,24.94,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2022-01-15T00:10:33.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612761,0,0,2022-01-15T00:10:39Z,80000,,,0,,TEAM defensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-01-15T00:10:40.8Z,1,REGULAR,foul,personal,[],1630191,,,1610612761,0,0,2022-01-15T00:10:49Z,90000,,,0,,I. Stewart loose ball personal FOUL (1 PF),"[1630191, 203920]",1610612765.0,DET,loose ball,,,Stewart,I. Stewart,,,,,,,,1628484.0,1.0,0.0,Birch,203920.0,,,,,,,,,,,,,
11,PT11M18.00S,2022-01-15T00:11:01.9Z,1,REGULAR,2pt,Jump Shot,[],1627783,76.65900131406045,48.0392156862745,1610612761,0,0,2022-01-15T00:11:07Z,110000,-10.0,167.0,1,right,MISS P. Siakam 16' Jump Shot,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,16.72,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2022-01-15T00:11:05.9Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2022-01-15T00:16:56Z,120000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,11.0,,,,,,1.0,1.0,0.0,,,,,,,,,,
13,PT11M01.00S,2022-01-15T00:11:18.6Z,1,REGULAR,2pt,Jump Shot,[],1628977,7.013797634691201,27.941176470588232,1610612765,2,0,2022-01-15T00:11:25Z,130000,110.0,13.0,1,left,H. Diallo 11' floating Jump Shot (2 PTS) (I. Stewart 1 AST),"[1628977, 1630191]",1610612765.0,DET,floating,,,Diallo,H. Diallo,,,,,11.11,Made,,,,,,,,,,2.0,I. Stewart,1630191.0,1.0,,,,,,
15,PT10M45.00S,2022-01-15T00:11:35.2Z,1,REGULAR,3pt,Jump Shot,[],1627783,68.11760840998686,68.13725490196079,1610612761,2,0,2022-01-15T00:11:41Z,150000,91.0,247.0,1,right,MISS P. Siakam 26' 3PT,[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,26.33,Missed,,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2022-01-15T00:11:38.2Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,2,0,2022-01-15T00:11:41Z,160000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2022-01-15T00:11:41.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,2,0,2022-01-15T00:11:41Z,170000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
