actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-03-05T00:10:33.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-05T00:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-03-05T00:10:35.6Z,1,REGULAR,jumpball,recovered,[],1630169,,,1610612754,0,0,2022-03-05T00:10:35Z,40000,,,0,,Jump Ball I. Jackson vs. I. Stewart: Tip to T. Haliburton,"[1630169, 1630543, 1630191]",1610612754.0,IND,startperiod,T. Haliburton,1630169.0,Haliburton,T. Haliburton,Jackson,1630543.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-03-05T00:10:48.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627741,94.66162943495401,46.07843137254902,1610612754,0,2,2022-03-05T00:10:54Z,70000,-20.0,-2.0,1,right,B. Hield driving Layup (2 PTS) (T. Haliburton 1 AST),"[1627741, 1630169]",1610612754.0,IND,driving,,,Hield,B. Hield,,,,,1.97,Made,2.0,T. Haliburton,1630169.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2022-03-05T00:11:02.6Z,1,REGULAR,2pt,Jump Shot,[],202709,20.811432325886997,24.75490196078431,1610612765,0,2,2022-03-05T00:11:06Z,90000,126.0,143.0,1,left,MISS C. Joseph 19' pullup Shot,[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,19.08,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M27.00S,2022-03-05T00:11:05.4Z,1,REGULAR,rebound,defensive,[],1627741,,,1610612754,0,2,2022-03-05T00:11:05Z,100000,,,0,,B. Hield REBOUND (Off:0 Def:1),[1627741],1610612754.0,IND,,,,Hield,B. Hield,,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M20.00S,2022-03-05T00:11:13.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630543,94.13600525624179,44.607843137254896,1610612754,0,2,2022-03-05T00:12:35Z,110000,-27.0,3.0,1,right,MISS I. Jackson Layup - blocked,"[1630543, 203924]",1610612754.0,IND,,,,Jackson,I. Jackson,,,,,2.71,Missed,,,,,,,,,Grant,203924.0,,,,,,,,,
12,PT11M20.00S,2022-03-05T00:11:13.6Z,1,REGULAR,block,,[],203924,,,1610612754,0,2,2022-03-05T00:11:16Z,120000,,,0,,J. Grant BLOCK (1 BLK),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M20.00S,2022-03-05T00:11:13.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612754,0,2,2022-03-05T00:11:18Z,130000,,,0,,TEAM offensive REBOUND,[],1610612754.0,IND,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,
14,PT11M20.00S,2022-03-05T00:11:18.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612754,0,2,2022-03-05T00:11:18Z,140000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M13.00S,2022-03-05T00:11:31.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627741,91.77069645203679,53.18627450980392,1610612754,0,2,2022-03-05T00:12:40Z,150000,16.0,25.0,1,right,MISS B. Hield driving Layup - blocked,"[1627741, 1630191]",1610612754.0,IND,driving,,,Hield,B. Hield,,,,,2.95,Missed,,,,,,,,,Stewart,1630191.0,,,,,,,,,
