actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-03-10T00:10:42.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-03-10T00:10:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-03-10T00:10:44.8Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612765,0,0,2022-03-10T00:10:44Z,40000,,,0,,Jump Ball M. Bagley III vs. N. Vucevic: Tip to C. Joseph,"[202709, 1628963, 202696]",1610612765.0,DET,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Bagley III,1628963.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-03-10T00:11:01.1Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,0,0,2022-03-10T00:11:06Z,70000,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 203897]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,1.0,LaVine,203897.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2022-03-10T00:11:01.1Z,1,REGULAR,steal,,[],203897,,,1610612741,0,0,2022-03-10T00:11:03Z,80000,,,0,,Z. LaVine STEAL (1 STL),[203897],1610612741.0,CHI,,,,LaVine,Z. LaVine,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2022-03-10T00:11:05.6Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203897,6.8823915900131425,45.833333333333336,1610612741,0,2,2022-03-10T00:20:55Z,90000,21.0,12.0,1,left,Z. LaVine running finger roll Layup (2 PTS),[203897],1610612741.0,CHI,running finger roll,,,LaVine,Z. LaVine,,,,,,,,2.41,Made,2.0,,,,,,,,,,,,,,
10,PT11M22.00S,2022-03-10T00:11:19.2Z,1,REGULAR,2pt,Jump Shot,[],203924,75.607752956636,68.13725490196079,1610612765,2,2,2022-03-10T00:11:23Z,100000,91.0,177.0,1,right,J. Grant 19' pullup Jump Shot (2 PTS),[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,,,,19.87,Made,2.0,,,,,,,,,,,,,,
11,PT11M03.00S,2022-03-10T00:11:38.3Z,1,REGULAR,3pt,Jump Shot,[],201942,30.929697766097235,74.50980392156863,1610612741,2,2,2022-03-10T00:11:42Z,110000,-123.0,238.0,1,left,MISS D. DeRozan 26' 3PT,[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,,26.79,Missed,,,,,,,,,,,,,,,
12,PT11M00.00S,2022-03-10T00:11:41.3Z,1,REGULAR,rebound,defensive,[],1628963,,,1610612765,2,2,2022-03-10T00:11:42Z,120000,,,0,,M. Bagley III REBOUND (Off:0 Def:1),[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT10M44.00S,2022-03-10T00:11:57.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202709,91.37647831800263,50.73529411764706,1610612765,4,2,2022-03-10T00:12:06Z,130000,4.0,29.0,1,right,C. Joseph floating Jump Shot (2 PTS) (C. Cunningham 1 AST),"[202709, 1630595]",1610612765.0,DET,floating,,,Joseph,C. Joseph,,,,,,,,2.88,Made,2.0,,,,,C. Cunningham,1630595.0,1.0,,,,,,,
15,PT10M26.00S,2022-03-10T00:12:15.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201942,17.000657030223394,40.68627450980392,1610612741,4,4,2022-03-10T00:12:22Z,150000,47.0,107.0,1,left,D. DeRozan 11' turnaround Jump Shot (2 PTS) (N. Vucevic 1 AST),"[201942, 202696]",1610612741.0,CHI,turnaround,,,DeRozan,D. DeRozan,,,,,,,,11.7,Made,2.0,,,,,N. Vucevic,202696.0,1.0,,,,,,,
16,PT10M14.00S,2022-03-10T00:12:26.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,89.27398160315374,49.26470588235294,1610612765,6,4,2022-03-10T00:12:32Z,160000,-4.0,48.0,1,right,C. Cunningham driving floating Jump Shot (2 PTS),[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,,,,4.84,Made,2.0,,,,,,,,,,,,,,
17,PT09M53.00S,2022-03-10T00:12:48.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,6.4881734559789805,45.833333333333336,1610612741,6,6,2022-03-10T00:12:53Z,170000,21.0,8.0,1,left,Z. LaVine driving Layup (4 PTS),[203897],1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,,,,2.25,Made,4.0,,,,,,,,,,,,,,
18,PT09M30.00S,2022-03-10T00:13:11.3Z,1,REGULAR,3pt,Jump Shot,[],1628963,93.74178712220763,97.54901960784314,1610612765,6,6,2022-03-10T00:13:14Z,180000,238.0,6.0,1,right,MISS M. Bagley III 3PT,[1628963],1610612765.0,DET,,,,Bagley III,M. Bagley III,,,,,,,,23.78,Missed,,,,,,,,,,,,,,,
19,PT09M27.00S,2022-03-10T00:13:13.6Z,1,REGULAR,rebound,defensive,[],1630245,,,1610612741,6,6,2022-03-10T00:13:13Z,190000,,,0,,A. Dosunmu REBOUND (Off:0 Def:1),[1630245],1610612741.0,CHI,,,,Dosunmu,A. Dosunmu,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,
20,PT09M14.00S,2022-03-10T00:13:27.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,9.247700394218143,52.69607843137255,1610612741,6,8,2022-03-10T00:13:31Z,200000,-13.0,34.0,1,left,N. Vucevic turnaround Hook (2 PTS),[202696],1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,,,3.7,Made,2.0,,,,,,,,,,,,,,
22,PT08M57.00S,2022-03-10T00:13:44.6Z,1,REGULAR,3pt,Jump Shot,[],1630180,75.73915900131406,12.990196078431367,1610612765,6,8,2022-03-10T00:13:48Z,220000,-185.0,176.0,1,right,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,25.51,Missed,,,,,,,,,,,,,,,
23,PT08M54.00S,2022-03-10T00:13:47.6Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,6,8,2022-03-10T00:13:48Z,230000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,
24,PT08M45.00S,2022-03-10T00:13:56.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202696,10.298948751642584,54.65686274509804,1610612741,6,10,2022-03-10T00:14:00Z,240000,-23.0,44.0,1,left,N. Vucevic turnaround Hook (4 PTS) (A. Dosunmu 1 AST),"[202696, 1630245]",1610612741.0,CHI,turnaround,,,Vucevic,N. Vucevic,,,,,,,,5.01,Made,4.0,,,,,A. Dosunmu,1630245.0,1.0,,,,,,,
