actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-10-20T23:13:32.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-10-20T23:13:32Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-10-20T23:13:35.9Z,1,REGULAR,jumpball,recovered,[],1630165,,,1610612765,0,0,2021-10-20T23:13:35Z,40000,,,0,,Jump Ball I. Stewart vs. N. Vucevic: Tip to K. Hayes,"[1630165, 1630191, 202696]",1610612765.0,DET,startperiod,K. Hayes,1630165.0,Hayes,K. Hayes,Stewart,1630191.0,Vucevic,202696.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2021-10-20T23:13:53.7Z,1,REGULAR,2pt,Jump Shot,[],1628402,93.87319316688567,80.14705882352942,1610612765,0,0,2021-10-20T23:13:59Z,70000,151.0,5.0,1,right,MISS F. Jackson 15' pullup Shot,[1628402],1610612765.0,DET,pullup,,,Jackson,F. Jackson,,,,,15.08,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2021-10-20T23:13:56.7Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2021-10-20T23:13:59Z,80000,,,0,,N. Vucevic REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vucevic,N. Vucevic,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M28.00S,2021-10-20T23:14:04.8Z,1,REGULAR,3pt,Jump Shot,[],1628366,25.804862023653087,88.97058823529412,1610612741,0,0,2021-10-20T23:14:12Z,90000,-195.0,190.0,1,left,MISS L. Ball 27' 3PT,[1628366],1610612741.0,CHI,,,,Ball,L. Ball,,,,,27.23,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M23.00S,2021-10-20T23:14:09.8Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,0,0,2021-10-20T23:14:12Z,100000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
11,PT11M12.00S,2021-10-20T23:14:20.3Z,1,REGULAR,2pt,Jump Shot,[],203924,83.36070959264126,70.34313725490196,1610612765,0,0,2021-10-20T23:14:25Z,110000,102.0,104.0,1,right,MISS J. Grant 14' fadeaway Shot,[203924],1610612765.0,DET,fadeaway,,,Grant,J. Grant,,,,,14.54,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M10.00S,2021-10-20T23:14:22.3Z,1,REGULAR,rebound,defensive,[],201942,,,1610612741,0,0,2021-10-20T23:14:25Z,120000,,,0,,D. DeRozan REBOUND (Off:0 Def:1),[201942],1610612741.0,CHI,,,,DeRozan,D. DeRozan,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
13,PT11M06.00S,2021-10-20T23:14:27.5Z,1,REGULAR,foul,personal,[],1630180,,,1610612741,0,0,2021-10-20T23:14:52Z,130000,,,0,,S. Bey personal FOUL (1 PF),"[1630180, 201942]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,1628159.0,1.0,0.0,DeRozan,201942.0,,,,,,,,,,
15,PT10M58.00S,2021-10-20T23:14:49.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203897,5.962549277266746,58.57843137254902,1610612741,0,2,2021-10-20T23:14:56Z,150000,-43.0,4.0,1,left,Z. LaVine driving Layup (2 PTS) (N. Vucevic 1 AST),"[203897, 202696]",1610612741.0,CHI,driving,,,LaVine,Z. LaVine,,,,,4.3,Made,,,,,,,,,,2.0,N. Vucevic,202696.0,1.0,,,,,,
