actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,playerName,playerNameI,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-02T00:12:48.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-02T00:12:48Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-02T00:13:04.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2022-02-02T00:13:04Z,40000,,,0,,Jump Ball I. Stewart vs. J. Valanciunas: Tip to Team (DET),"[1630191, 202685]",1610612765.0,DET,startperiod,Team (DET),Stewart,1630191.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M57.00S,2022-02-02T00:13:12.0Z,1,REGULAR,violation,jumpball,[],202685,,,1610612765,0,0,2022-02-02T00:13:21Z,70000,,,0,,J. Valanciunas jumpball VIOLATION,[202685],1610612740.0,NOP,,,,,,,202053.0,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-02-02T00:13:28.1Z,1,REGULAR,2pt,Jump Shot,[],203924,72.32260183968462,55.14705882352941,1610612765,2,0,2022-02-02T00:13:33Z,80000,26.0,208.0,1,right,J. Grant 20' Jump Shot (2 PTS) (I. Stewart 1 AST),"[203924, 1630191]",1610612765.0,DET,,,,,,,,Grant,J. Grant,20.93,Made,2.0,I. Stewart,1630191.0,1.0,,,,,,,,,,,,,,
10,PT11M31.00S,2022-02-02T00:13:43.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,6.356767411300922,44.607843137254896,1610612740,2,0,2022-02-02T00:13:49Z,100000,27.0,7.0,1,left,MISS B. Ingram driving Layup,[1627742],1610612740.0,NOP,driving,,,,,,,Ingram,B. Ingram,2.8,Missed,,,,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-02-02T00:13:46.7Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,2,0,2022-02-02T00:13:46Z,110000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,,,,,Grant,J. Grant,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M18.00S,2022-02-02T00:13:56.7Z,1,REGULAR,2pt,Jump Shot,[],203924,76.65900131406045,72.79411764705883,1610612765,2,0,2022-02-02T00:14:00Z,120000,114.0,167.0,1,right,MISS J. Grant 20' Jump Shot,[203924],1610612765.0,DET,,,,,,,,Grant,J. Grant,20.21,Missed,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2022-02-02T00:13:58.7Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,0,2022-02-02T00:14:00Z,130000,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,,,,,Ingram,B. Ingram,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT11M10.00S,2022-02-02T00:14:09.1Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,2,0,2022-02-02T00:14:22Z,140000,,,0,,J. Valanciunas offensive FOUL (1 PF),"[202685, 1630180]",1610612740.0,NOP,,,,,,,202053.0,Valanciunas,J. Valanciunas,,,,,,,,,,,1.0,0.0,Bey,1630180.0,,,,,,
16,PT11M10.00S,2022-02-02T00:14:09.1Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,2,0,2022-02-02T00:14:09Z,160000,,,0,,J. Valanciunas offensive foul TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,,,,202053.0,Valanciunas,J. Valanciunas,,,,,,,,,,,,,,,1.0,,,,,
