actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2022-02-05T00:11:36.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-05T00:11:36Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2022-02-05T00:11:39.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612738,0,0,2022-02-05T00:11:39Z,40000,,,0,,Jump Ball R. Williams III vs. I. Stewart: Tip to M. Smart,"[203935, 1629057, 1630191]",1610612738.0,BOS,startperiod,M. Smart,203935.0,Smart,M. Smart,Williams III,1629057.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-02-05T00:11:55.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627759,92.32917214191852,42.8921568627451,1610612738,0,2,2022-02-05T00:12:02Z,70000,-36.0,20.0,1,right,J. Brown Hook (2 PTS) (A. Horford 1 AST),"[1627759, 201143]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,4.06,Made,2.0,A. Horford,201143.0,1.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2022-02-05T00:12:01.6Z,1,REGULAR,foul,personal,['1freethrow'],1628977,,,1610612738,0,2,2022-02-05T00:12:11Z,90000,,,0,,H. Diallo shooting personal FOUL (1 PF) (Brown 1 FT),"[1628977, 1627759]",1610612765.0,DET,shooting,,,Diallo,H. Diallo,,,,,,,,,,,1198.0,1.0,0.0,Brown,1627759.0,,,,,,,,,,
11,PT11M42.00S,2022-02-05T00:12:16.9Z,1,REGULAR,freethrow,1 of 1,[],1627759,,,1610612738,0,2,2022-02-05T00:12:16Z,110000,,,0,,MISS J. Brown Free Throw 1 of 1,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,,Missed,,,,,,,,,,,,,,,,,,,
12,PT11M38.00S,2022-02-05T00:12:18.4Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,2,2022-02-05T00:12:18Z,120000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
13,PT11M20.00S,2022-02-05T00:12:37.1Z,1,REGULAR,3pt,Jump Shot,[],1630180,19.136005256241788,95.09803921568627,1610612765,0,2,2022-02-05T00:12:41Z,130000,-225.0,127.0,1,left,MISS S. Bey 25' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,25.9,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M17.00S,2022-02-05T00:12:40.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,2,2022-02-05T00:12:41Z,140000,,,0,,J. Tatum REBOUND (Off:0 Def:1),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,
15,PT11M10.00S,2022-02-05T00:12:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628369,86.67871222076215,56.127450980392155,1610612738,0,4,2022-02-05T00:12:54Z,150000,31.0,73.0,1,right,J. Tatum 7' driving floating Jump Shot (2 PTS) (M. Smart 1 AST),"[1628369, 203935]",1610612738.0,BOS,driving floating,,,Tatum,J. Tatum,,,,,7.89,Made,2.0,M. Smart,203935.0,1.0,,,,,,,,,,,,,,,
17,PT11M01.00S,2022-02-05T00:12:56.1Z,1,REGULAR,2pt,Jump Shot,[],202709,21.23850197109067,28.186274509803923,1610612765,0,4,2022-02-05T00:12:59Z,170000,109.0,147.0,1,left,MISS C. Joseph 18' pullup Shot,[202709],1610612765.0,DET,pullup,,,Joseph,C. Joseph,,,,,18.31,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M58.00S,2022-02-05T00:12:59.1Z,1,REGULAR,rebound,defensive,[],1628369,,,1610612738,0,4,2022-02-05T00:12:59Z,180000,,,0,,J. Tatum REBOUND (Off:0 Def:2),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,,,,,,,,,,,,17.0,2.0,2.0,0.0,,,,,,
19,PT10M54.00S,2022-02-05T00:13:03.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628369,67.36202365308804,53.431372549019606,1610612738,0,7,2022-02-05T00:13:08Z,190000,17.0,254.0,1,right,J. Tatum 25' 3PT  (5 PTS),[1628369],1610612738.0,BOS,,,,Tatum,J. Tatum,,,,,25.49,Made,5.0,,,,,,,,,,,,,,,,,,
20,PT10M34.00S,2022-02-05T00:13:23.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,13.354139290407357,51.71568627450981,1610612765,2,7,2022-02-05T00:13:40Z,200000,-9.0,73.0,1,left,S. Bey 7' pullup Jump Shot (2 PTS),[1630180],1610612765.0,DET,pullup,,,Bey,S. Bey,,,,,7.35,Made,2.0,,,,,,,,,,,,,,,,,,
21,PT10M25.00S,2022-02-05T00:13:32.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627759,88.51839684625493,37.745098039215684,1610612738,2,7,2022-02-05T00:13:38Z,210000,-61.0,55.0,1,right,MISS J. Brown 8' Hook,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,8.26,Missed,,,,,,,,,,,,,,,,,,,
22,PT10M20.00S,2022-02-05T00:13:37.4Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,7,2022-02-05T00:13:37Z,220000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT10M18.00S,2022-02-05T00:13:42.2Z,1,REGULAR,foul,offensive,[],1630191,,,1610612765,2,7,2022-02-05T00:13:57Z,230000,,,0,,I. Stewart offensive FOUL (1 PF),"[1630191, 203935]",1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,201638.0,1.0,0.0,Smart,203935.0,,,,,,,,,,
25,PT10M18.00S,2022-02-05T00:13:42.2Z,1,REGULAR,turnover,offensive foul,[],1630191,,,1610612765,2,7,2022-02-05T00:13:42Z,250000,,,0,,I. Stewart offensive foul TURNOVER (1 TO),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,201638.0,,,,,,,,,1.0,,,,,
26,PT10M02.00S,2022-02-05T00:14:12.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628369,67.36202365308804,40.44117647058824,1610612738,2,7,2022-02-05T00:15:26Z,260000,-48.0,254.0,1,right,MISS J. Tatum 25' pullup 3PT,[1628369],1610612738.0,BOS,pullup,,,Tatum,J. Tatum,,,,,25.88,Missed,,,,,,,,,,,,,,,,,,,
27,PT09M58.00S,2022-02-05T00:14:16.0Z,1,REGULAR,rebound,defensive,[],202709,,,1610612765,2,7,2022-02-05T00:14:16Z,270000,,,0,,C. Joseph REBOUND (Off:0 Def:1),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,,,,,
28,PT09M50.00S,2022-02-05T00:14:24.2Z,1,REGULAR,2pt,Jump Shot,[],203924,28.07161629434954,61.029411764705884,1610612765,4,7,2022-02-05T00:14:29Z,280000,-55.0,211.0,1,left,J. Grant 21' pullup Jump Shot (2 PTS),[203924],1610612765.0,DET,pullup,,,Grant,J. Grant,,,,,21.85,Made,2.0,,,,,,,,,,,,,,,,,,
29,PT09M25.00S,2022-02-05T00:14:48.8Z,1,REGULAR,3pt,Jump Shot,[],1627759,97.05978975032852,4.6568627450980395,1610612738,4,7,2022-02-05T00:14:53Z,290000,-227.0,-25.0,1,right,MISS J. Brown 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,22.81,Missed,,,,,,,,,,,,,,,,,,,
30,PT09M21.00S,2022-02-05T00:14:52.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,4,7,2022-02-05T00:14:53Z,300000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,29.0,2.0,2.0,0.0,,,,,,
31,PT09M18.00S,2022-02-05T00:14:57.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628977,14.848883048620237,48.104319852941174,1610612765,4,7,2022-02-05T00:18:46Z,310000,9.0,87.0,1,left,MISS H. Diallo 8' floating Shot - blocked,"[1628977, 1629057]",1610612765.0,DET,floating,,,Diallo,H. Diallo,,,,,8.76,Missed,,,,,,,,,,,,,,,Williams III,1629057.0,,,
32,PT09M18.00S,2022-02-05T00:14:57.6Z,1,REGULAR,block,,[],1629057,,,1610612765,4,7,2022-02-05T00:15:01Z,320000,,,0,,R. Williams III BLOCK (1 BLK),[1629057],1610612738.0,BOS,,,,Williams III,R. Williams III,,,,,,,,,,,,,,,,,,,,,,,,,
33,PT09M16.00S,2022-02-05T00:14:59.6Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,4,7,2022-02-05T00:18:46Z,330000,,,0,,I. Stewart REBOUND (Off:1 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,31.0,3.0,2.0,1.0,,,,,,
34,PT09M15.00S,2022-02-05T00:15:02.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630191,6.783837056504599,50.49019607843137,1610612765,6,7,2022-02-05T00:18:58Z,340000,-2.0,11.0,1,left,I. Stewart putback Layup (2 PTS),[1630191],1610612765.0,DET,putback,,,Stewart,I. Stewart,,,,,1.16,Made,2.0,,,,,,,,,,,,,,,,,,
