actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2022-02-04T00:10:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-04T00:10:53Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-04T00:10:56.1Z,1,REGULAR,jumpball,recovered,[],202709,,,1610612765,0,0,2022-02-04T00:10:56Z,40000,,,0,,Jump Ball I. Stewart vs. K. Towns: Tip to C. Joseph,"[202709, 1630191, 1626157]",1610612765.0,DET,startperiod,C. Joseph,202709.0,Joseph,C. Joseph,Stewart,1630191.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2022-02-04T00:11:12.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,5.436925098554539,52.94117647058824,1610612765,2,0,2022-02-04T00:11:18Z,70000,-15.0,-1.0,1,left,J. Grant driving reverse Layup (2 PTS) (S. Bey 1 AST),"[203924, 1630180]",1610612765.0,DET,driving reverse,,,Grant,J. Grant,,,,,1.48,Made,2.0,S. Bey,1630180.0,1.0,,,,,,,,,,,,,,,
9,PT11M16.00S,2022-02-04T00:11:35.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201976,89.01116951379764,50.0,1610612750,2,0,2022-02-04T00:12:29Z,90000,0.0,51.0,1,right,MISS P. Beverley driving floating Shot - blocked,"[201976, 202709]",1610612750.0,MIN,driving floating,,,Beverley,P. Beverley,,,,,5.08,Missed,,,,,Joseph,202709.0,,,,,,,,,,,,,
10,PT11M16.00S,2022-02-04T00:11:35.2Z,1,REGULAR,block,,[],202709,,,1610612750,2,0,2022-02-04T00:16:43Z,100000,,,0,,C. Joseph BLOCK (1 BLK),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M13.00S,2022-02-04T00:11:38.2Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612750,2,0,2022-02-04T00:11:41Z,110000,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,
12,PT11M13.00S,2022-02-04T00:11:39.7Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', '2ndchance']",1629020,91.19579500657031,55.06280637254902,1610612750,2,0,2022-02-04T00:13:06Z,120000,25.0,30.0,1,right,MISS J. Vanderbilt Hook,[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,3.95,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M11.00S,2022-02-04T00:11:41.7Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,0,2022-02-04T00:13:06Z,130000,,,0,,I. Stewart REBOUND (Off:0 Def:1),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
49,PT11M06.00S,2022-02-04T00:11:49.3Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612765,2,0,2022-02-04T00:17:26Z,165000,,,0,,J. Grant bad pass TURNOVER (1 TO),"[203924, 1630162]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,1.0,Edwards,1630162.0,,,,,,
50,PT11M06.00S,2022-02-04T00:11:49.3Z,1,REGULAR,steal,,[],1630162,,,1610612750,2,0,2022-02-04T00:17:26Z,167500,,,0,,A. Edwards STEAL (1 STL),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M59.00S,2022-02-04T00:11:52.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630183,81.65243101182654,4.901960784313729,1610612750,2,0,2022-02-04T00:17:26Z,170000,-225.0,120.0,1,right,MISS J. McDaniels 25' 3PT,[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,25.54,Missed,,,,,,,,,,,,,,,,,,,
18,PT10M59.00S,2022-02-04T00:11:52.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612750,2,0,2022-02-04T00:12:12Z,180000,,,0,,TEAM offensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,
19,PT10M58.00S,2022-02-04T00:12:01.5Z,1,REGULAR,foul,personal,[],1630180,,,1610612750,2,0,2022-02-04T00:14:41Z,190000,,,0,,S. Bey loose ball personal FOUL (1 PF),"[1630180, 1629020]",1610612765.0,DET,loose ball,,,Bey,S. Bey,,,,,,,,,,,,,,,,,,,,1627534.0,1.0,0.0,Vanderbilt,1629020.0,
21,PT10M57.00S,2022-02-04T00:12:20.4Z,1,REGULAR,foul,offensive,[],1630162,,,1610612750,2,0,2022-02-04T00:12:36Z,210000,,,0,,A. Edwards offensive FOUL (1 PF),"[1630162, 1630191]",1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Stewart,1630191.0,
23,PT10M57.00S,2022-02-04T00:12:20.4Z,1,REGULAR,turnover,offensive foul,[],1630162,,,1610612750,2,0,2022-02-04T00:12:20Z,230000,,,0,,A. Edwards offensive foul TURNOVER (1 TO),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,,,,,1.0,,,201245.0,,,,,
24,PT10M41.00S,2022-02-04T00:12:43.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630180,5.831143232588701,53.431372549019606,1610612765,2,0,2022-02-04T00:12:49Z,240000,-17.0,2.0,1,left,MISS S. Bey Layup,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,1.74,Missed,,,,,,,,,,,,,,,,,,,
25,PT10M40.00S,2022-02-04T00:12:44.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612750,2,0,2022-02-04T00:12:49Z,250000,,,0,,TEAM defensive REBOUND,[],1610612750.0,MIN,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,
26,PT10M40.00S,2022-02-04T00:12:48.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,2,0,2022-02-04T00:12:48Z,260000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PT10M22.00S,2022-02-04T00:13:12.9Z,1,REGULAR,3pt,Jump Shot,[],1630183,93.87319316688567,97.54901960784314,1610612750,2,3,2022-02-04T00:13:16Z,270000,238.0,5.0,1,right,J. McDaniels 3PT  (3 PTS) (P. Beverley 1 AST),"[1630183, 201976]",1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,23.78,Made,3.0,P. Beverley,201976.0,1.0,,,,,,,,,,,,,,,
29,PT10M09.00S,2022-02-04T00:13:26.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202709,15.160972404730614,54.411764705882355,1610612765,2,3,2022-02-04T00:13:33Z,290000,-22.0,90.0,1,left,MISS C. Joseph 9' fadeaway Shot,[202709],1610612765.0,DET,fadeaway,,,Joseph,C. Joseph,,,,,9.27,Missed,,,,,,,,,,,,,,,,,,,
30,PT10M07.00S,2022-02-04T00:13:28.7Z,1,REGULAR,rebound,defensive,[],1630183,,,1610612750,2,3,2022-02-04T00:13:33Z,300000,,,0,,J. McDaniels REBOUND (Off:0 Def:1),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,,,
31,PT09M58.00S,2022-02-04T00:13:37.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629020,91.37647831800263,49.754901960784316,1610612750,2,5,2022-02-04T00:13:44Z,310000,-1.0,29.0,1,right,J. Vanderbilt driving Hook (2 PTS) (K. Towns 1 AST),"[1629020, 1626157]",1610612750.0,MIN,driving,,,Vanderbilt,J. Vanderbilt,,,,,2.86,Made,2.0,K. Towns,1626157.0,1.0,,,,,,,,,,,,,,,
33,PT09M41.00S,2022-02-04T00:13:53.8Z,1,REGULAR,3pt,Jump Shot,[],1630180,31.32391590013141,70.58823529411765,1610612765,2,5,2022-02-04T00:13:57Z,330000,-103.0,242.0,1,left,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,,
34,PT09M39.00S,2022-02-04T00:13:55.8Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,2,5,2022-02-04T00:13:57Z,340000,,,0,,A. Edwards REBOUND (Off:0 Def:1),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,,
35,PT09M36.00S,2022-02-04T00:14:02.5Z,1,REGULAR,foul,personal,['2freethrow'],203585,,,1610612750,2,5,2022-02-04T00:14:12Z,350000,,,0,,R. McGruder shooting personal FOUL (1 PF) (Edwards 2 FT),"[203585, 1630162]",1610612765.0,DET,shooting,,,McGruder,R. McGruder,,,,,,,,,,,,,,,,,,,,201245.0,1.0,0.0,Edwards,1630162.0,
37,PT09M36.00S,2022-02-04T00:14:26.4Z,1,REGULAR,freethrow,1 of 2,[],1630162,,,1610612750,2,6,2022-02-04T00:14:26Z,370000,,,0,,A. Edwards Free Throw 1 of 2 (1 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
38,PT09M36.00S,2022-02-04T00:14:41.1Z,1,REGULAR,freethrow,2 of 2,[],1630162,,,1610612750,2,7,2022-02-04T00:14:41Z,380000,,,0,,A. Edwards Free Throw 2 of 2 (2 PTS),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
39,PT09M25.00S,2022-02-04T00:14:54.4Z,1,REGULAR,3pt,Jump Shot,[],203924,7.145203679369246,96.56862745098039,1610612765,2,7,2022-02-04T00:14:59Z,390000,-233.0,15.0,1,left,MISS J. Grant 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,23.33,Missed,,,,,,,,,,,,,,,,,,,
40,PT09M22.00S,2022-02-04T00:14:57.4Z,1,REGULAR,rebound,defensive,[],1630162,,,1610612750,2,7,2022-02-04T00:14:59Z,400000,,,0,,A. Edwards REBOUND (Off:0 Def:2),[1630162],1610612750.0,MIN,,,,Edwards,A. Edwards,,,,,,,,,,,,,39.0,2.0,2.0,0.0,,,,,,,,,
41,PT09M14.00S,2022-02-04T00:15:05.3Z,1,REGULAR,2pt,Jump Shot,[],1630162,80.33837056504599,30.882352941176478,1610612750,2,7,2022-02-04T00:15:09Z,410000,-96.0,132.0,1,right,MISS A. Edwards 16' pullup Shot,[1630162],1610612750.0,MIN,pullup,,,Edwards,A. Edwards,,,,,16.32,Missed,,,,,,,,,,,,,,,,,,,
42,PT09M11.00S,2022-02-04T00:15:07.8Z,1,REGULAR,rebound,defensive,[],1630191,,,1610612765,2,7,2022-02-04T00:15:07Z,420000,,,0,,I. Stewart REBOUND (Off:0 Def:2),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,
43,PT09M05.00S,2022-02-04T00:15:14.1Z,1,REGULAR,turnover,bad pass,[],203924,,,1610612765,2,7,2022-02-04T00:15:19Z,430000,,,0,,J. Grant bad pass TURNOVER (2 TO),"[203924, 201976]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,,2.0,Beverley,201976.0,,,,,,
44,PT09M05.00S,2022-02-04T00:15:14.1Z,1,REGULAR,steal,,[],201976,,,1610612750,2,7,2022-02-04T00:26:27Z,440000,,,0,,P. Beverley STEAL (1 STL),[201976],1610612750.0,MIN,,,,Beverley,P. Beverley,,,,,,,,,,,,,,,,,,,,,,,,,
45,PT09M01.00S,2022-02-04T00:15:22.6Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612750,2,7,2022-02-04T00:15:22Z,450000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PT08M55.00S,2022-02-04T00:15:40.6Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1626157,94.3988173455979,83.08823529411765,1610612750,2,9,2022-02-04T00:15:47Z,460000,165.0,0.0,1,right,K. Towns 16' Jump Shot (2 PTS) (P. Beverley 2 AST),"[1626157, 201976]",1610612750.0,MIN,,,,Towns,K. Towns,,,,,16.54,Made,2.0,P. Beverley,201976.0,2.0,,,,,,,,,,,,,,,
48,PT08M50.00S,2022-02-04T00:15:50.0Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,2,9,2022-02-04T00:15:50Z,480000,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT08M35.00S,2022-02-04T00:18:54.9Z,1,REGULAR,turnover,bad pass,[],1630180,,,1610612765,2,9,2022-02-04T00:18:59Z,490000,,,0,,S. Bey bad pass TURNOVER (1 TO),"[1630180, 1629020]",1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,,,,1.0,Vanderbilt,1629020.0,,,,,,
52,PT08M35.00S,2022-02-04T00:18:54.9Z,1,REGULAR,steal,,[],1629020,,,1610612750,2,9,2022-02-04T00:18:57Z,500000,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612750.0,MIN,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT08M31.00S,2022-02-04T00:18:58.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,93.74178712220763,52.450980392156865,1610612750,2,11,2022-02-04T00:19:04Z,510000,12.0,6.0,1,right,J. Vanderbilt running Layup (4 PTS),[1629020],1610612750.0,MIN,running,,,Vanderbilt,J. Vanderbilt,,,,,1.38,Made,4.0,,,,,,,,,,,,,,,,,,
54,PT08M07.00S,2022-02-04T00:19:22.9Z,1,REGULAR,3pt,Jump Shot,[],203924,9.510512483574246,2.941176470588232,1610612765,5,11,2022-02-04T00:19:27Z,520000,235.0,37.0,1,left,J. Grant 3PT  (5 PTS) (S. Bey 2 AST),"[203924, 1630180]",1610612765.0,DET,,,,Grant,J. Grant,,,,,23.82,Made,5.0,S. Bey,1630180.0,2.0,,,,,,,,,,,,,,,
