actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-01-09T00:10:18.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-09T00:10:18Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-09T00:10:20.9Z,1,REGULAR,jumpball,recovered,[],1628977,,,1610612765,0,0,2022-01-09T00:10:20Z,40000,,,0,,Jump Ball I. Stewart vs. M. Bamba: Tip to H. Diallo,"[1628977, 1630191, 1628964]",1610612765.0,DET,startperiod,H. Diallo,1628977.0,Diallo,H. Diallo,Stewart,1630191.0,Bamba,1628964.0,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-01-09T00:10:35.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,82.30946123521682,40.931372549019606,1610612765,0,0,2022-01-09T00:10:41Z,70000,-45.0,114.0,1,right,MISS C. Cunningham 12' fadeaway Shot,[1630595],1610612765.0,DET,fadeaway,,,Cunningham,C. Cunningham,,,,,12.25,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-01-09T00:10:38.5Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,0,0,2022-01-09T00:10:41Z,80000,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2022-01-09T00:10:58.9Z,1,REGULAR,3pt,Jump Shot,[],1630532,32.637976346911955,39.21568627450981,1610612753,0,0,2022-01-09T00:11:05Z,90000,54.0,254.0,1,left,MISS F. Wagner 25' step back 3PT,[1630532],1610612753.0,ORL,step back,,,Wagner,F. Wagner,,,,,25.99,Missed,,,,,,,,,,,,,,,,,,
10,PT11M15.00S,2022-01-09T00:11:02.9Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,0,2022-01-09T00:11:05Z,100000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M11.00S,2022-01-09T00:11:07.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630180,67.06636005256242,45.34313725490197,1610612765,3,0,2022-01-09T00:11:18Z,110000,-23.0,257.0,1,right,S. Bey 25' 3PT  (3 PTS) (K. Hayes 1 AST),"[1630180, 1630165]",1610612765.0,DET,,,,Bey,S. Bey,,,,,25.82,Made,,,,,3.0,K. Hayes,1630165.0,1.0,,,,,,,,,,
13,PT10M58.00S,2022-01-09T00:11:19.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203914,5.962549277266746,55.3921568627451,1610612753,3,0,2022-01-09T00:15:10Z,130000,-27.0,4.0,1,left,MISS G. Harris driving Layup,[203914],1610612753.0,ORL,driving,,,Harris,G. Harris,,,,,2.72,Missed,,,,,,,,,,,,,,,,,,
14,PT10M56.00S,2022-01-09T00:11:21.2Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,3,0,2022-01-09T00:11:26Z,140000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M52.00S,2022-01-09T00:11:25.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630180,93.61038107752957,54.16666666666667,1610612765,5,0,2022-01-09T00:11:36Z,150000,21.0,8.0,1,right,S. Bey running Layup (5 PTS),[1630180],1610612765.0,DET,running,,,Bey,S. Bey,,,,,2.21,Made,,,,,5.0,,,,,,,,,,,,,
16,PT10M26.00S,2022-01-09T00:11:50.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203914,30.009855453350852,77.94117647058823,1610612753,5,0,2022-01-09T00:12:00Z,160000,-140.0,230.0,1,left,MISS G. Harris 26' 3PT,[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,26.88,Missed,,,,,,,,,,,,,,,,,,
17,PT10M23.00S,2022-01-09T00:11:53.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612765,5,0,2022-01-09T00:12:00Z,170000,,,0,,TEAM defensive REBOUND,[],1610612765.0,DET,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,
18,PT10M23.00S,2022-01-09T00:12:00.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,5,0,2022-01-09T00:12:00Z,180000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,PT10M10.00S,2022-01-09T00:12:17.1Z,1,REGULAR,3pt,Jump Shot,[],1628977,71.53416557161628,18.137254901960787,1610612765,8,0,2022-01-09T00:12:22Z,190000,-159.0,215.0,1,right,H. Diallo 26' 3PT  (3 PTS) (K. Hayes 2 AST),"[1628977, 1630165]",1610612765.0,DET,,,,Diallo,H. Diallo,,,,,26.77,Made,,,,,3.0,K. Hayes,1630165.0,2.0,,,,,,,,,,
21,PT09M52.00S,2022-01-09T00:12:35.1Z,1,REGULAR,3pt,Jump Shot,[],203914,4.911300919842304,97.79411764705883,1610612753,8,3,2022-01-09T00:12:39Z,210000,-239.0,-6.0,1,left,G. Harris 3PT  (3 PTS) (F. Wagner 1 AST),"[203914, 1630532]",1610612753.0,ORL,,,,Harris,G. Harris,,,,,23.91,Made,,,,,3.0,F. Wagner,1630532.0,1.0,,,,,,,,,,
23,PT09M43.00S,2022-01-09T00:12:44.9Z,1,REGULAR,3pt,Jump Shot,[],1630165,77.18462549277267,91.42156862745098,1610612765,8,3,2022-01-09T00:12:48Z,230000,207.0,162.0,1,right,MISS K. Hayes 26' 3PT,[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,26.29,Missed,,,,,,,,,,,,,,,,,,
24,PT09M40.00S,2022-01-09T00:12:47.0Z,1,REGULAR,rebound,offensive,[],1630595,,,1610612765,8,3,2022-01-09T00:12:47Z,240000,,,0,,C. Cunningham REBOUND (Off:1 Def:0),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,23.0,1.0,0.0,1.0,,,,,,,,,,,,,,
25,PT09M33.00S,2022-01-09T00:12:54.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630165,93.87319316688567,3.9215686274509807,1610612765,11,3,2022-01-09T00:12:59Z,250000,-230.0,5.0,1,right,K. Hayes 3PT  (3 PTS) (S. Bey 1 AST),"[1630165, 1630180]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,23.05,Made,,,,,3.0,S. Bey,1630180.0,1.0,,,,,,,,,,
