actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-24T00:10:31.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-24T00:10:31Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-24T00:10:35.3Z,1,REGULAR,jumpball,recovered,[],200782,,,1610612748,0,0,2021-11-24T00:10:35Z,40000,,,0,,Jump Ball B. Adebayo vs. L. Garza: Tip to P. Tucker,"[200782, 1628389, 1630568]",1610612748.0,MIA,startperiod,P. Tucker,200782.0,Tucker,P. Tucker,Adebayo,1628389.0,Garza,1630568.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2021-11-24T00:10:49.5Z,1,REGULAR,foul,personal,[],1630595,,,1610612748,0,0,2021-11-24T00:10:58Z,70000,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1629130]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,1627526.0,1.0,0.0,Robinson,1629130.0,,,,,,,,,,,,,,,,
9,PT11M43.00S,2021-11-24T00:11:09.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629130,91.37647831800263,43.627450980392155,1610612748,0,2,2021-11-24T00:11:17Z,90000,-32.0,29.0,1,right,D. Robinson reverse Layup (2 PTS) (B. Adebayo 1 AST),"[1629130, 1628389]",1610612748.0,MIA,reverse,,,Robinson,D. Robinson,,,,,,,,,,4.28,Made,2.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,
11,PT11M26.00S,2021-11-24T00:11:25.4Z,1,REGULAR,3pt,Jump Shot,[],203924,22.78252299605782,9.558823529411768,1610612765,3,2,2021-11-24T00:11:29Z,110000,202.0,162.0,1,left,J. Grant 25' 3PT  (3 PTS) (C. Cunningham 1 AST),"[203924, 1630595]",1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,25.89,Made,3.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,
13,PT11M05.00S,2021-11-24T00:11:49.9Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612748,3,2,2021-11-24T00:11:49Z,130000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,PT10M59.00S,2021-11-24T00:12:10.0Z,1,REGULAR,2pt,Jump Shot,[],1628389,75.87056504599212,67.64705882352942,1610612748,3,2,2021-11-24T00:20:40Z,140000,88.0,174.0,1,right,MISS B. Adebayo 19' pullup Shot,[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,,,,,,19.53,Missed,,,,,,,,,,,,,,
15,PT10M55.00S,2021-11-24T00:12:14.0Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,3,2,2021-11-24T00:12:16Z,150000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,
16,PT10M47.00S,2021-11-24T00:12:22.2Z,1,REGULAR,3pt,Jump Shot,[],203924,35.00328515111694,72.30392156862744,1610612765,3,2,2021-11-24T00:12:27Z,160000,-112.0,277.0,1,left,MISS J. Grant 29' 3PT,[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,29.81,Missed,,,,,,,,,,,,,,
17,PT10M42.00S,2021-11-24T00:12:27.2Z,1,REGULAR,rebound,defensive,[],202710,,,1610612748,3,2,2021-11-24T00:12:27Z,170000,,,0,,J. Butler REBOUND (Off:0 Def:1),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,,
18,PT10M36.00S,2021-11-24T00:12:34.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628389,92.42772667542707,45.09803921568627,1610612748,3,4,2021-11-24T00:12:52Z,180000,-25.0,19.0,1,right,B. Adebayo Layup (2 PTS) (J. Butler 1 AST),"[1628389, 202710]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,3.08,Made,2.0,J. Butler,202710.0,1.0,,,,,,,,,,
20,PT10M36.00S,2021-11-24T00:12:39.8Z,1,REGULAR,foul,personal,['1freethrow'],1630568,,,1610612748,3,4,2021-11-24T00:12:49Z,200000,,,0,,L. Garza shooting personal FOUL (1 PF) (Adebayo 1 FT),"[1630568, 1628389]",1610612765.0,DET,shooting,,,Garza,L. Garza,,,,,2530.0,1.0,0.0,Adebayo,1628389.0,,,,,,,,,,,,,,,,
22,PT10M36.00S,2021-11-24T00:13:04.6Z,1,REGULAR,freethrow,1 of 1,[],1628389,,,1610612748,3,4,2021-11-24T00:13:10Z,220000,,,0,,MISS B. Adebayo Free Throw 1 of 1,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,,,,Missed,,,,,,,,,,,,,,
23,PT10M32.00S,2021-11-24T00:13:08.6Z,1,REGULAR,rebound,defensive,[],1630568,,,1610612765,3,4,2021-11-24T00:13:10Z,230000,,,0,,L. Garza REBOUND (Off:0 Def:1),[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,,,,
