actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-01-11T00:10:10.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-11T00:10:10Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-01-11T00:10:14.2Z,1,REGULAR,jumpball,recovered,[],1626220,,,1610612762,0,0,2022-01-11T00:10:14Z,40000,,,0,,Jump Ball H. Whiteside vs. I. Stewart: Tip to R. O'Neale,"[1626220, 202355, 1630191]",1610612762.0,UTA,startperiod,R. O'Neale,1626220.0,O'Neale,R. O'Neale,Whiteside,202355.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-01-11T00:10:27.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202355,16.869250985545335,64.95098039215686,1610612762,0,0,2022-01-11T00:10:35Z,70000,-75.0,106.0,1,left,MISS H. Whiteside 12' floating Shot - blocked,"[202355, 1630191]",1610612762.0,UTA,floating,,,Whiteside,H. Whiteside,,,,,12.98,Missed,Stewart,1630191.0,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-01-11T00:10:27.7Z,1,REGULAR,block,,[],1630191,,,1610612762,0,0,2022-01-11T00:10:31Z,80000,,,0,,I. Stewart BLOCK (1 BLK),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2022-01-11T00:10:32.7Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,0,2022-01-11T00:10:35Z,90000,,,0,,H. Diallo REBOUND (Off:0 Def:1),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M26.00S,2022-01-11T00:10:43.7Z,1,REGULAR,2pt,Jump Shot,[],1630595,71.92838370565046,50.73529411764706,1610612765,0,0,2022-01-11T00:10:49Z,100000,4.0,211.0,1,right,MISS C. Cunningham 21' step back Shot,[1630595],1610612765.0,DET,step back,,,Cunningham,C. Cunningham,,,,,21.14,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2022-01-11T00:10:47.7Z,1,REGULAR,rebound,defensive,[],1628378,,,1610612762,0,0,2022-01-11T00:10:49Z,110000,,,0,,D. Mitchell REBOUND (Off:0 Def:1),[1628378],1610612762.0,UTA,,,,Mitchell,D. Mitchell,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M14.00S,2022-01-11T00:10:55.5Z,1,REGULAR,2pt,Jump Shot,[],1628378,20.41721419185282,33.33333333333334,1610612762,0,0,2022-01-11T00:11:00Z,120000,83.0,139.0,1,left,MISS D. Mitchell 16' turnaround fadeaway Shot,[1628378],1610612762.0,UTA,turnaround fadeaway,,,Mitchell,D. Mitchell,,,,,16.24,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2022-01-11T00:10:59.5Z,1,REGULAR,rebound,defensive,[],1628977,,,1610612765,0,0,2022-01-11T00:11:00Z,130000,,,0,,H. Diallo REBOUND (Off:0 Def:2),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,
14,PT11M05.00S,2022-01-11T00:11:04.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630595,67.59198423127464,45.833333333333336,1610612765,0,0,2022-01-11T00:11:09Z,140000,-21.0,252.0,1,right,MISS C. Cunningham 25' 3PT,[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,25.3,Missed,,,,,,,,,,,,,,,,,,
