actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2021-12-18T17:10:21.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-12-18T17:10:21Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2021-12-18T17:10:32.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2021-12-18T17:10:32Z,40000,,,0,,Jump Ball I. Stewart vs. C. Wood: Tip to Team (DET),"[1630191, 1626174]",1610612765.0,DET,startperiod,Team (DET),Stewart,1630191.0,Wood,1626174.0,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M59.00S,2021-12-18T17:10:33.4Z,1,REGULAR,foul,personal,[],1626174,,,1610612765,0,0,2021-12-18T17:24:57Z,70000,,,0,,C. Wood loose ball personal FOUL (1 PF),"[1626174, 1630191]",1610612745.0,HOU,loose ball,,,,,,201246.0,1.0,0.0,Wood,C. Wood,Stewart,1630191.0,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-12-18T17:10:54.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628977,8.196452036793687,51.22549019607843,1610612765,0,0,2021-12-18T17:12:04Z,90000,-6.0,25.0,1,left,MISS H. Diallo cutting Layup,[1628977],1610612765.0,DET,cutting,,,,,,,,,Diallo,H. Diallo,,,2.52,Missed,,,,,,,,,,,,,,
10,PT11M38.00S,2021-12-18T17:10:58.3Z,1,REGULAR,rebound,defensive,[],1630256,,,1610612745,0,0,2021-12-18T17:17:50Z,100000,,,0,,J. Tate REBOUND (Off:0 Def:1),[1630256],1610612745.0,HOU,,,,,,,,,,Tate,J. Tate,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M36.00S,2021-12-18T17:11:00.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",201569,94.66162943495401,53.67647058823529,1610612745,0,2,2021-12-18T17:11:06Z,110000,18.0,-2.0,1,right,E. Gordon driving Layup (2 PTS),[201569],1610612745.0,HOU,driving,,,,,,,,,Gordon,E. Gordon,,,1.85,Made,,,,,2.0,,,,,,,,,
12,PT11M20.00S,2021-12-18T17:11:16.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630180,6.225361366622863,46.568627450980394,1610612765,2,2,2021-12-18T17:11:21Z,120000,17.0,6.0,1,left,S. Bey driving Layup (2 PTS),[1630180],1610612765.0,DET,driving,,,,,,,,,Bey,S. Bey,,,1.82,Made,,,,,2.0,,,,,,,,,
13,PT11M01.00S,2021-12-18T17:11:38.0Z,1,REGULAR,foul,personal,[],1630595,,,1610612745,2,2,2021-12-18T17:12:11Z,130000,,,0,,C. Cunningham personal FOUL (1 PF),"[1630595, 1630528]",1610612765.0,DET,,,,,,,1199.0,1.0,0.0,Cunningham,C. Cunningham,Christopher,1630528.0,,,,,,,,,,,,,,,,
15,PT10M50.00S,2021-12-18T17:12:08.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],201569,93.87319316688567,60.78431372549019,1610612745,2,2,2021-12-18T17:12:17Z,150000,54.0,5.0,1,right,MISS E. Gordon floating Shot,[201569],1610612745.0,HOU,floating,,,,,,,,,Gordon,E. Gordon,,,5.41,Missed,,,,,,,,,,,,,,
16,PT10M48.00S,2021-12-18T17:12:10.2Z,1,REGULAR,rebound,offensive,[],1626174,,,1610612745,2,2,2021-12-18T17:12:10Z,160000,,,0,,C. Wood REBOUND (Off:1 Def:0),[1626174],1610612745.0,HOU,,,,,,,,,,Wood,C. Wood,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
