actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2021-11-18T00:10:59.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-18T00:10:59Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2021-11-18T00:11:02.5Z,1,REGULAR,jumpball,recovered,[],1627734,,,1610612754,0,0,2021-11-18T00:11:02Z,40000,,,0,,Jump Ball M. Turner vs. I. Stewart: Tip to D. Sabonis,"[1627734, 1626167, 1630191]",1610612754.0,IND,startperiod,D. Sabonis,1627734.0,Sabonis,D. Sabonis,Turner,1626167.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2021-11-18T00:11:15.3Z,1,REGULAR,2pt,Jump Shot,[],1629103,88.48554533508542,19.117647058823522,1610612754,0,2,2021-11-18T00:11:21Z,70000,-154.0,56.0,1,right,K. Martin 16' pullup Jump Shot (2 PTS),[1629103],1610612754.0,IND,pullup,,,Martin,K. Martin,,,,,16.41,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M19.00S,2021-11-18T00:11:39.6Z,1,REGULAR,2pt,Jump Shot,[],203924,5.831143232588701,19.85294117647058,1610612765,0,2,2021-11-18T00:12:15Z,80000,151.0,2.0,1,left,MISS J. Grant 15' turnaround fadeaway Shot,[203924],1610612765.0,DET,turnaround fadeaway,,,Grant,J. Grant,,,,,15.07,Missed,,,,,,,,,,,,,,,,,,,
9,PT11M15.00S,2021-11-18T00:11:43.6Z,1,REGULAR,rebound,defensive,[],1627734,,,1610612754,0,2,2021-11-18T00:11:46Z,90000,,,0,,D. Sabonis REBOUND (Off:0 Def:1),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M04.00S,2021-11-18T00:11:55.4Z,1,REGULAR,foul,personal,['2freethrow'],1630180,,,1610612754,0,2,2021-11-18T00:12:12Z,100000,,,0,,S. Bey shooting personal FOUL (1 PF) (Sabonis 2 FT),"[1630180, 1627734]",1610612765.0,DET,shooting,,,Bey,S. Bey,,,,,,,,,,,,202901.0,1.0,0.0,Sabonis,1627734.0,,,,,,,,,
12,PT11M04.00S,2021-11-18T00:12:20.1Z,1,REGULAR,freethrow,1 of 2,[],1627734,,,1610612754,0,3,2021-11-18T00:12:20Z,120000,,,0,,D. Sabonis Free Throw 1 of 2 (1 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
13,PT11M04.00S,2021-11-18T00:12:34.5Z,1,REGULAR,freethrow,2 of 2,[],1627734,,,1610612754,0,4,2021-11-18T00:12:34Z,130000,,,0,,D. Sabonis Free Throw 2 of 2 (2 PTS),[1627734],1610612754.0,IND,,,,Sabonis,D. Sabonis,,,,,,Made,2.0,,,,,,,,,,,,,,,,,,
14,PT10M50.00S,2021-11-18T00:12:50.6Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,0,4,2021-11-18T00:12:59Z,140000,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1626167]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,,,,,,,,,,,1.0,Turner,1626167.0,,,,,,
15,PT10M50.00S,2021-11-18T00:12:50.6Z,1,REGULAR,steal,,[],1626167,,,1610612754,0,4,2021-11-18T00:12:52Z,150000,,,0,,M. Turner STEAL (1 STL),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,,,,,,,,,,,,,,,,,,,,,
