actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-04-08T23:11:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-04-08T23:11:13Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-04-08T23:11:15.9Z,1,REGULAR,jumpball,recovered,[],203507,,,1610612749,0,0,2022-04-08T23:11:16Z,40000,,,0,,Jump Ball B. Lopez vs. I. Stewart: Tip to G. Antetokounmpo,"[203507, 201572, 1630191]",1610612749.0,MIL,startperiod,G. Antetokounmpo,203507.0,Antetokounmpo,G. Antetokounmpo,Lopez,201572.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2022-04-08T23:11:26.3Z,1,REGULAR,2pt,Jump Shot,[],203114,7.539421813403408,21.32352941176471,1610612749,0,0,2022-04-08T23:11:30Z,70000,143.0,18.0,1,left,MISS K. Middleton 14' step back Shot,[203114],1610612749.0,MIL,step back,,,Middleton,K. Middleton,,,,,14.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-04-08T23:11:29.3Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,0,0,2022-04-08T23:11:30Z,80000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M21.00S,2022-04-08T23:11:51.7Z,1,REGULAR,3pt,Jump Shot,[],1630180,65.62089356110381,29.90196078431373,1610612765,0,0,2022-04-08T23:12:20Z,90000,-100.0,271.0,1,right,MISS S. Bey 28' step back 3PT,[1630180],1610612765.0,DET,step back,,,Bey,S. Bey,,,,,28.88,Missed,,,,,,,,,,,,,,,,,,
10,PT11M18.00S,2022-04-08T23:11:54.3Z,1,REGULAR,rebound,defensive,[],203507,,,1610612749,0,0,2022-04-08T23:11:54Z,100000,,,0,,G. Antetokounmpo REBOUND (Off:0 Def:1),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M13.00S,2022-04-08T23:12:01.6Z,1,REGULAR,foul,personal,['2freethrow'],1630587,,,1610612749,0,0,2022-04-08T23:12:12Z,110000,,,0,,I. Livers shooting personal FOUL (1 PF) (Antetokounmpo 2 FT),"[1630587, 203507]",1610612765.0,DET,shooting,,,Livers,I. Livers,,,,,,,,,,,2882.0,1.0,0.0,Antetokounmpo,203507.0,,,,,,,,,
13,PT11M13.00S,2022-04-08T23:12:38.3Z,1,REGULAR,freethrow,1 of 2,[],203507,,,1610612749,0,1,2022-04-08T23:12:38Z,130000,,,0,,G. Antetokounmpo Free Throw 1 of 2 (1 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
14,PT11M13.00S,2022-04-08T23:12:59.4Z,1,REGULAR,freethrow,2 of 2,[],203507,,,1610612749,0,2,2022-04-08T23:12:59Z,140000,,,0,,G. Antetokounmpo Free Throw 2 of 2 (2 PTS),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
15,PT10M58.00S,2022-04-08T23:13:16.6Z,1,REGULAR,2pt,Jump Shot,[],1630595,74.77003942181341,43.41681985294118,1610612765,0,2,2022-04-08T23:13:43Z,150000,-33.0,185.0,1,right,MISS C. Cunningham 18' pullup Shot,[1630595],1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,18.76,Missed,,,,,,,,,,,,,,,,,,
