actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,playerName,playerNameI,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value
2,PT12M00.00S,2021-11-02T23:10:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-02T23:10:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PT12M00.00S,2021-11-02T23:10:49.1Z,1,REGULAR,violation,jumpball,[],203507,,,0,0,0,2021-11-02T23:20:51Z,25000,,,0,,G. Antetokounmpo jumpball VIOLATION,[203507],1610612749.0,MIL,Antetokounmpo,G. Antetokounmpo,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2021-11-02T23:10:53.3Z,1,REGULAR,jumpball,recovered,[],0,,,1610612765,0,0,2021-11-02T23:10:53Z,40000,,,0,,Jump Ball I. Stewart vs. G. Antetokounmpo: Tip to Team (DET),"[1630191, 203507]",1610612765.0,DET,,,startperiod,Team (DET),Stewart,1630191.0,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2021-11-02T23:11:24.3Z,1,REGULAR,turnover,bad pass,[],1630191,,,1610612765,0,0,2021-11-02T23:11:30Z,70000,,,0,,I. Stewart bad pass TURNOVER (1 TO),"[1630191, 1626192]",1610612765.0,DET,Stewart,I. Stewart,,,,,,,1.0,Connaughton,1626192.0,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2021-11-02T23:11:24.3Z,1,REGULAR,steal,,[],1626192,,,1610612749,0,0,2021-11-02T23:11:26Z,80000,,,0,,P. Connaughton STEAL (1 STL),[1626192],1610612749.0,MIL,Connaughton,P. Connaughton,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2021-11-02T23:11:28.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203648,6.4881734559789805,47.05882352941176,1610612749,0,2,2021-11-02T23:12:09Z,90000,15.0,8.0,1,left,T. Antetokounmpo running DUNK (2 PTS) (P. Connaughton 1 AST),"[203648, 1626192]",1610612749.0,MIL,Antetokounmpo,T. Antetokounmpo,running,,,,,,,,,1.7,Made,2.0,P. Connaughton,1626192.0,1.0,,,,,,,,,,,,
11,PT11M24.00S,2021-11-02T23:11:41.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630191,93.34756898817345,45.833333333333336,1610612765,0,2,2021-11-02T23:12:37Z,110000,-21.0,10.0,1,right,MISS I. Stewart cutting Layup - blocked,"[1630191, 1628960]",1610612765.0,DET,Stewart,I. Stewart,cutting,,,,,,,,,2.31,Missed,,,,,Allen,1628960.0,,,,,,,,,,
12,PT11M24.00S,2021-11-02T23:11:41.9Z,1,REGULAR,block,,[],1628960,,,1610612765,0,2,2021-11-02T23:11:44Z,120000,,,0,,G. Allen BLOCK (1 BLK),[1628960],1610612749.0,MIL,Allen,G. Allen,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,PT11M22.00S,2021-11-02T23:11:43.9Z,1,REGULAR,rebound,defensive,[],201588,,,1610612749,0,2,2021-11-02T23:11:49Z,130000,,,0,,G. Hill REBOUND (Off:0 Def:1),[201588],1610612749.0,MIL,Hill,G. Hill,,,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,
14,PT11M16.00S,2021-11-02T23:11:54.1Z,1,REGULAR,violation,kicked ball,[],1630191,,,1610612749,0,2,2021-11-02T23:12:04Z,140000,,,0,,I. Stewart kicked ball VIOLATION,[1630191],1610612765.0,DET,Stewart,I. Stewart,,,,,,,,,,,,,,,,,,,,,,201245.0,,,,,
