actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,value
2,PT12M00.00S,2021-11-04T23:11:52.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-04T23:11:52Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M48.00S,2021-11-04T23:12:03.7Z,1,REGULAR,jumpball,recovered,[],1630178,,,1610612755,0,0,2021-11-04T23:12:03Z,40000,,,0,,Jump Ball J. Embiid vs. I. Stewart: Tip to T. Maxey,"[1630178, 203954, 1630191]",1610612755.0,PHI,startperiod,T. Maxey,1630178.0,Maxey,T. Maxey,Embiid,203954.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M33.00S,2021-11-04T23:12:18.4Z,1,REGULAR,2pt,Jump Shot,[],1630178,93.08475689881735,30.882352941176478,1610612755,0,2,2021-11-04T23:12:39Z,70000,-96.0,13.0,1,right,T. Maxey 9' driving bank Jump Shot (2 PTS) (S. Curry 1 AST),"[1630178, 203552]",1610612755.0,PHI,driving bank,,,Maxey,T. Maxey,,,,,9.64,Made,2.0,S. Curry,203552.0,1.0,,,,,,,,,,,,,,,
9,PT11M23.00S,2021-11-04T23:12:33.4Z,1,REGULAR,foul,personal,[],203954,,,1610612765,0,2,2021-11-04T23:12:47Z,90000,,,0,,J. Embiid personal FOUL (1 PF),"[203954, 1630191]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,2003.0,1.0,0.0,Stewart,1630191.0,,,,,,,,,,
11,PT11M08.00S,2021-11-04T23:13:06.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203924,4.77989487516426,38.725490196078425,1610612765,2,2,2021-11-04T23:14:17Z,110000,56.0,-8.0,1,left,J. Grant Layup (2 PTS),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,5.69,Made,2.0,,,,,,,,,,,,,,,,,,
12,PT10M52.00S,2021-11-04T23:13:21.4Z,1,REGULAR,2pt,Jump Shot,[],203552,75.47634691195795,51.71568627450981,1610612755,2,2,2021-11-04T23:22:40Z,120000,9.0,178.0,1,right,MISS S. Curry 17' pullup Shot,[203552],1610612755.0,PHI,pullup,,,Curry,S. Curry,,,,,17.82,Missed,,,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2021-11-04T23:13:24.4Z,1,REGULAR,rebound,defensive,[],203924,,,1610612765,2,2,2021-11-04T23:13:28Z,130000,,,0,,J. Grant REBOUND (Off:0 Def:1),[203924],1610612765.0,DET,,,,Grant,J. Grant,,,,,,,,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,
14,PT10M46.00S,2021-11-04T23:13:27.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1630191,8.459264126149804,46.32352941176471,1610612765,4,2,2021-11-04T23:15:05Z,140000,18.0,27.0,1,left,I. Stewart cutting DUNK (2 PTS) (C. Cunningham 1 AST),"[1630191, 1630595]",1610612765.0,DET,cutting,,,Stewart,I. Stewart,,,,,3.27,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,,
16,PT10M32.00S,2021-11-04T23:13:40.7Z,1,REGULAR,3pt,Jump Shot,[],1629003,74.55650459921156,15.931372549019613,1610612755,4,5,2021-11-04T23:15:51Z,160000,-170.0,187.0,1,right,S. Milton 25' 3PT pullup (3 PTS) (J. Embiid 1 AST),"[1629003, 203954]",1610612755.0,PHI,pullup,,,Milton,S. Milton,,,,,25.27,Made,3.0,J. Embiid,203954.0,1.0,,,,,,,,,,,,,,,
18,PT10M15.00S,2021-11-04T23:13:57.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,17.526281208935615,63.970588235294116,1610612765,6,5,2021-11-04T23:14:04Z,180000,-70.0,112.0,1,left,C. Cunningham 13' driving floating Jump Shot (2 PTS),[1630595],1610612765.0,DET,driving floating,,,Cunningham,C. Cunningham,,,,,13.22,Made,2.0,,,,,,,,,,,,,,,,,,
19,PT09M56.00S,2021-11-04T23:14:16.5Z,1,REGULAR,3pt,Jump Shot,[],1629003,73.50525624178712,14.705882352941174,1610612755,6,5,2021-11-04T23:14:21Z,190000,-176.0,197.0,1,right,MISS S. Milton 26' 3PT,[1629003],1610612755.0,PHI,,,,Milton,S. Milton,,,,,26.42,Missed,,,,,,,,,,,,,,,,,,,
20,PT09M53.00S,2021-11-04T23:14:19.5Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,6,5,2021-11-04T23:14:21Z,200000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,,,,,,,19.0,1.0,1.0,0.0,,,,,,
