actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2021-11-20T00:10:38.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2021-11-20T00:10:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2021-11-20T00:10:41.5Z,1,REGULAR,jumpball,recovered,[],1630595,,,1610612765,0,0,2021-11-20T00:10:41Z,40000,,,0,,Jump Ball I. Stewart vs. K. Looney: Tip to C. Cunningham,"[1630595, 1630191, 1626172]",1610612765.0,DET,startperiod,C. Cunningham,1630595.0,Cunningham,C. Cunningham,Stewart,1630191.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2021-11-20T00:10:51.6Z,1,REGULAR,turnover,bad pass,[],1630595,,,1610612765,0,0,2021-11-20T00:10:58Z,70000,,,0,,C. Cunningham bad pass TURNOVER (1 TO),"[1630595, 1627780]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,1.0,Payton II,1627780.0,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2021-11-20T00:10:51.6Z,1,REGULAR,steal,,[],1627780,,,1610612744,0,0,2021-11-20T00:10:54Z,80000,,,0,,G. Payton II STEAL (1 STL),[1627780],1610612744.0,GSW,,,,Payton II,G. Payton II,,,,,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2021-11-20T00:10:56.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629308,93.61038107752957,47.79411764705882,1610612744,0,0,2021-11-20T00:11:04Z,90000,-11.0,8.0,1,right,MISS J. Toscano-Anderson running Layup,[1629308],1610612744.0,GSW,running,,,Toscano-Anderson,J. Toscano-Anderson,,,,,,,,1.34,Missed,,,,,,,,,,,,,,,
10,PT11M39.00S,2021-11-20T00:10:59.5Z,1,REGULAR,rebound,defensive,[],1630165,,,1610612765,0,0,2021-11-20T00:10:59Z,100000,,,0,,K. Hayes REBOUND (Off:0 Def:1),[1630165],1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M24.00S,2021-11-20T00:11:13.6Z,1,REGULAR,3pt,Jump Shot,[],1630165,26.593298291721425,14.705882352941174,1610612765,3,0,2021-11-20T00:11:31Z,110000,176.0,197.0,1,left,K. Hayes 26' 3PT  (3 PTS) (S. Bey 1 AST),"[1630165, 1630180]",1610612765.0,DET,,,,Hayes,K. Hayes,,,,,,,,26.49,Made,,,,,3.0,S. Bey,1630180.0,1.0,,,,,,,
13,PT11M11.00S,2021-11-20T00:11:29.3Z,1,REGULAR,turnover,traveling,[],1626172,,,1610612744,3,0,2021-11-20T00:11:36Z,130000,,,0,,K. Looney traveling TURNOVER (1 TO),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,1.0,,,,,,,,,,,,,1627524.0,,,,,,
14,PT10M55.00S,2021-11-20T00:11:51.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630180,7.670827858081481,3.67647058823529,1610612765,3,0,2021-11-20T00:11:58Z,140000,232.0,20.0,1,left,MISS S. Bey 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,23.24,Missed,,,,,,,,,,,,,,,
15,PT10M51.00S,2021-11-20T00:11:55.9Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,3,0,2021-11-20T00:12:15Z,150000,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,
