actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-02-25T00:10:34.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-02-25T00:10:34Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-02-25T00:10:36.8Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612739,0,0,2022-02-25T00:10:36Z,40000,,,0,,Jump Ball J. Allen vs. I. Stewart: Tip to L. Markkanen,"[1628374, 1628386, 1630191]",1610612739.0,CLE,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Allen,1628386.0,Stewart,1630191.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-02-25T00:10:53.4Z,1,REGULAR,3pt,Jump Shot,[],1628374,68.77463863337714,29.166666666666657,1610612739,0,0,2022-02-25T00:11:00Z,70000,-104.0,241.0,1,right,MISS L. Markkanen 26' 3PT,[1628374],1610612739.0,CLE,,,,Markkanen,L. Markkanen,,,,,26.26,Missed,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2022-02-25T00:10:58.4Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,0,2022-02-25T00:11:00Z,80000,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,,
9,PT11M17.00S,2022-02-25T00:11:16.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,12.795663600525614,54.16666666666667,1610612765,0,0,2022-02-25T00:11:21Z,90000,-21.0,68.0,1,left,MISS C. Cunningham 7' fadeaway Shot,[1630595],1610612765.0,DET,fadeaway,,,Cunningham,C. Cunningham,,,,,7.09,Missed,,,,,,,,,,,,,,,,,,,
10,PT11M17.00S,2022-02-25T00:11:18.2Z,1,REGULAR,rebound,offensive,[],1630191,,,1610612765,0,0,2022-02-25T00:11:18Z,100000,,,0,,I. Stewart REBOUND (Off:1 Def:0),[1630191],1610612765.0,DET,,,,Stewart,I. Stewart,,,,,,,9.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
11,PT11M17.00S,2022-02-25T00:11:21.0Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612765,0,0,2022-02-25T00:11:21Z,110000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-02-25T00:11:40.8Z,1,REGULAR,turnover,backcourt,[],202709,,,1610612765,0,0,2022-02-25T00:12:03Z,120000,,,0,,C. Joseph backcourt TURNOVER (1 TO),[202709],1610612765.0,DET,,,,Joseph,C. Joseph,,,,,,,,,,,1662.0,1.0,,,,,,,,,,,,,
13,PT11M03.00S,2022-02-25T00:12:08.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628374,86.12023653088042,60.294117647058826,1610612739,0,0,2022-02-25T00:12:13Z,130000,51.0,78.0,1,right,MISS L. Markkanen 9' fadeaway Shot,[1628374],1610612739.0,CLE,fadeaway,,,Markkanen,L. Markkanen,,,,,9.35,Missed,,,,,,,,,,,,,,,,,,,
14,PT11M02.00S,2022-02-25T00:12:10.2Z,1,REGULAR,rebound,offensive,[],1628386,,,1610612739,0,0,2022-02-25T00:12:10Z,140000,,,0,,J. Allen REBOUND (Off:1 Def:0),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,,
15,PT11M02.00S,2022-02-25T00:12:11.5Z,1,REGULAR,foul,personal,['2freethrow'],1630191,,,1610612739,0,0,2022-02-25T00:12:25Z,150000,,,0,,I. Stewart shooting personal FOUL (1 PF) (Allen 2 FT),"[1630191, 1628386]",1610612765.0,DET,shooting,,,Stewart,I. Stewart,,,,,,,,,,,1662.0,,1.0,0.0,Allen,1628386.0,,,,,,,,,
17,PT11M02.00S,2022-02-25T00:12:33.4Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', '2ndchance']",1628386,,,1610612739,0,0,2022-02-25T00:12:33Z,170000,,,0,,MISS J. Allen Free Throw 1 of 2,[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Missed,,,,,,,,,,,,,,,,,,,
18,PT11M02.00S,2022-02-25T00:12:33.4Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612739,0,0,2022-02-25T00:12:33Z,180000,,,0,,TEAM offensive REBOUND,[],1610612739.0,CLE,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,
19,PT11M02.00S,2022-02-25T00:12:45.4Z,1,REGULAR,freethrow,2 of 2,"['fromturnover', '2ndchance']",1628386,,,1610612739,0,1,2022-02-25T00:12:45Z,190000,,,0,,J. Allen Free Throw 2 of 2 (1 PTS),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,,Made,,,,,,,,,,,1.0,,,,,,,,
20,PT10M50.00S,2022-02-25T00:13:02.1Z,1,REGULAR,foul,personal,['2freethrow'],1630171,,,1610612765,0,1,2022-02-25T00:13:11Z,200000,,,0,,I. Okoro shooting personal FOUL (1 PF) (Cunningham 2 FT),"[1630171, 1630595]",1610612739.0,CLE,shooting,,,Okoro,I. Okoro,,,,,,,,,,,1662.0,,1.0,0.0,Cunningham,1630595.0,,,,,,,,,
