actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,value
2,PT12M00.00S,2022-01-02T00:10:06.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-01-02T00:10:06Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-01-02T00:10:09.1Z,1,REGULAR,jumpball,recovered,[],1630170,,,1610612759,0,0,2022-01-02T00:10:09Z,40000,,,0,,Jump Ball J. Poeltl vs. L. Garza: Tip to D. Vassell,"[1630170, 1627751, 1630568]",1610612759.0,SAS,startperiod,D. Vassell,1630170.0,Vassell,D. Vassell,Poeltl,1627751.0,Garza,1630568.0,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-01-02T00:10:21.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,85.20039421813404,54.411764705882355,1610612759,0,2,2022-01-02T00:10:28Z,70000,22.0,87.0,1,right,T. Jones 8' driving floating Jump Shot (2 PTS),[1630200],1610612759.0,SAS,driving floating,,,Jones,T. Jones,,,,,8.94,Made,2.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-01-02T00:10:42.5Z,1,REGULAR,3pt,Jump Shot,[],1630199,5.436925098554539,4.656862745098039,1610612765,3,2,2022-01-02T00:10:53Z,80000,227.0,-1.0,1,left,C. Stanley 3PT  (3 PTS) (H. Diallo 1 AST),"[1630199, 1628977]",1610612765.0,DET,,,,Stanley,C. Stanley,,,,,22.67,Made,3.0,H. Diallo,1628977.0,1.0,,,,,,,,,,,,,,,
10,PT11M16.00S,2022-01-02T00:10:49.0Z,1,REGULAR,turnover,bad pass,[],1627751,,,1610612759,3,2,2022-01-02T00:10:56Z,100000,,,0,,J. Poeltl bad pass TURNOVER (1 TO),"[1627751, 1628476]",1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,1.0,Walton Jr.,1628476.0,,,,,,,,,,,,
11,PT11M16.00S,2022-01-02T00:10:49.0Z,1,REGULAR,steal,,[],1628476,,,1610612765,3,2,2022-01-02T00:10:51Z,110000,,,0,,D. Walton Jr. STEAL (1 STL),[1628476],1610612765.0,DET,,,,Walton Jr.,D. Walton Jr.,,,,,,,,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-01-02T00:10:52.9Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630180,33.42641261498029,45.34313725490197,1610612765,3,2,2022-01-02T00:11:00Z,120000,23.0,262.0,1,left,MISS S. Bey 26' 3PT,[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,26.27,Missed,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2022-01-02T00:10:56.3Z,1,REGULAR,rebound,offensive,[],1628476,,,1610612765,3,2,2022-01-02T00:10:56Z,130000,,,0,,D. Walton Jr. REBOUND (Off:1 Def:0),[1628476],1610612765.0,DET,,,,Walton Jr.,D. Walton Jr.,,,,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,
14,PT10M59.00S,2022-01-02T00:11:05.9Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1630568,24.753613666228645,47.79411764705882,1610612765,3,2,2022-01-02T00:11:12Z,140000,11.0,180.0,1,left,MISS L. Garza 18' step back Shot,[1630568],1610612765.0,DET,step back,,,Garza,L. Garza,,,,,18.05,Missed,,,,,,,,,,,,,,,,,,,
15,PT10M57.00S,2022-01-02T00:11:07.9Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,3,2,2022-01-02T00:11:12Z,150000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,
16,PT10M57.00S,2022-01-02T00:11:12.8Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,3,2,2022-01-02T00:11:12Z,160000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PT10M42.00S,2022-01-02T00:11:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628401,93.47897503285151,59.80392156862745,1610612759,3,4,2022-01-02T00:11:35Z,170000,49.0,9.0,1,right,D. White driving Layup (2 PTS) (J. Poeltl 1 AST),"[1628401, 1627751]",1610612759.0,SAS,driving,,,White,D. White,,,,,4.98,Made,2.0,J. Poeltl,1627751.0,1.0,,,,,,,,,,,,,,,
19,PT10M25.00S,2022-01-02T00:11:45.5Z,1,REGULAR,3pt,Jump Shot,[],1628476,32.769382391590014,38.970588235294116,1610612765,3,4,2022-01-02T00:11:54Z,190000,55.0,256.0,1,left,MISS D. Walton Jr. 26' 3PT,[1628476],1610612765.0,DET,,,,Walton Jr.,D. Walton Jr.,,,,,26.14,Missed,,,,,,,,,,,,,,,,,,,
20,PT10M24.00S,2022-01-02T00:11:46.5Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612759,3,4,2022-01-02T00:11:54Z,200000,,,0,,TEAM defensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,
21,PT10M24.00S,2022-01-02T00:11:51.7Z,1,REGULAR,stoppage,out-of-bounds,[],0,,,1610612759,3,4,2022-01-02T00:11:51Z,210000,,,0,,,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PT10M12.00S,2022-01-02T00:12:08.4Z,1,REGULAR,foul,personal,['2freethrow'],1628977,,,1610612759,3,4,2022-01-02T00:12:20Z,220000,,,0,,H. Diallo shooting personal FOUL (1 PF) (Poeltl 2 FT),"[1628977, 1627751]",1610612765.0,DET,shooting,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,1629178.0,1.0,0.0,Poeltl,1627751.0,,,
24,PT10M12.00S,2022-01-02T00:12:39.4Z,1,REGULAR,freethrow,1 of 2,[],1627751,,,1610612759,3,5,2022-01-02T00:12:39Z,240000,,,0,,J. Poeltl Free Throw 1 of 2 (1 PTS),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Made,1.0,,,,,,,,,,,,,,,,,,
25,PT10M12.00S,2022-01-02T00:12:54.6Z,1,REGULAR,freethrow,2 of 2,[],1627751,,,1610612759,3,5,2022-01-02T00:12:54Z,250000,,,0,,MISS J. Poeltl Free Throw 2 of 2,[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,Missed,,,,,,,,,,,,,,,,,,,
26,PT10M09.00S,2022-01-02T00:12:56.9Z,1,REGULAR,rebound,defensive,[],1630180,,,1610612765,3,5,2022-01-02T00:12:57Z,260000,,,0,,S. Bey REBOUND (Off:0 Def:1),[1630180],1610612765.0,DET,,,,Bey,S. Bey,,,,,,,,,,,,,,25.0,1.0,1.0,0.0,,,,,,,,
27,PT09M55.00S,2022-01-02T00:13:10.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630180,15.160972404730614,63.970588235294116,1610612765,5,5,2022-01-02T00:13:16Z,270000,-70.0,90.0,1,left,S. Bey 11' turnaround Jump Shot (2 PTS),[1630180],1610612765.0,DET,turnaround,,,Bey,S. Bey,,,,,11.4,Made,2.0,,,,,,,,,,,,,,,,,,
28,PT09M46.00S,2022-01-02T00:13:19.2Z,1,REGULAR,turnover,lost ball,[],1630170,,,1610612759,5,5,2022-01-02T00:13:25Z,280000,,,0,,D. Vassell lost ball TURNOVER (1 TO),"[1630170, 1628977]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,,,,,,,1.0,Diallo,1628977.0,,,,,,,,,,,,
29,PT09M46.00S,2022-01-02T00:13:19.2Z,1,REGULAR,steal,,[],1628977,,,1610612765,5,5,2022-01-02T00:13:22Z,290000,,,0,,H. Diallo STEAL (1 STL),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,,,,,,,,,,,,
30,PT09M41.00S,2022-01-02T00:13:29.8Z,1,REGULAR,turnover,out-of-bounds,[],1630180,,,1610612765,5,5,2022-01-02T00:13:35Z,300000,,,0,,S. Bey lost ball out-of-bounds TURNOVER (1 TO),[1630180],1610612765.0,DET,lost ball,,,Bey,S. Bey,,,,,,,,,,,1.0,,,,,,,1629178.0,,,,,,,
31,PT09M28.00S,2022-01-02T00:13:48.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630170,67.85479632063075,39.70588235294118,1610612759,5,8,2022-01-02T00:13:53Z,310000,-51.0,250.0,1,right,D. Vassell 25' 3PT  (3 PTS) (J. Poeltl 2 AST),"[1630170, 1627751]",1610612759.0,SAS,,,,Vassell,D. Vassell,,,,,25.5,Made,3.0,J. Poeltl,1627751.0,2.0,,,,,,,,,,,,,,,
33,PT09M02.00S,2022-01-02T00:14:13.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628977,10.693166885676746,59.068627450980394,1610612765,5,8,2022-01-02T00:14:22Z,330000,-45.0,48.0,1,left,MISS H. Diallo 6' floating Shot,[1628977],1610612765.0,DET,floating,,,Diallo,H. Diallo,,,,,6.6,Missed,,,,,,,,,,,,,,,,,,,
34,PT08M58.00S,2022-01-02T00:14:17.4Z,1,REGULAR,rebound,defensive,[],1627751,,,1610612759,5,8,2022-01-02T00:14:22Z,340000,,,0,,J. Poeltl REBOUND (Off:0 Def:1),[1627751],1610612759.0,SAS,,,,Poeltl,J. Poeltl,,,,,,,,,,,,,,33.0,1.0,1.0,0.0,,,,,,,,
35,PT08M54.00S,2022-01-02T00:14:21.8Z,1,REGULAR,turnover,bad pass,[],1629640,,,1610612759,5,8,2022-01-02T00:14:26Z,350000,,,0,,K. Johnson bad pass TURNOVER (1 TO),"[1629640, 1630568]",1610612759.0,SAS,,,,Johnson,K. Johnson,,,,,,,,,,,1.0,Garza,1630568.0,,,,,,,,,,,,
36,PT08M54.00S,2022-01-02T00:14:21.8Z,1,REGULAR,steal,,[],1630568,,,1610612765,5,8,2022-01-02T00:14:24Z,360000,,,0,,L. Garza STEAL (1 STL),[1630568],1610612765.0,DET,,,,Garza,L. Garza,,,,,,,,,,,,,,,,,,,,,,,,,
47,PT08M46.00S,2022-01-02T00:14:28.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628977,10.95597897503285,47.79411764705882,1610612765,5,8,2022-01-02T00:16:55Z,365000,11.0,50.0,1,left,MISS H. Diallo driving Layup - blocked,"[1628977, 1628401]",1610612765.0,DET,driving,,,Diallo,H. Diallo,,,,,5.17,Missed,,,,,,,,,,,,,,,,,White,1628401.0,
48,PT08M46.00S,2022-01-02T00:14:28.2Z,1,REGULAR,block,,[],1628401,,,1610612765,5,8,2022-01-02T00:16:55Z,367500,,,0,,D. White BLOCK (1 BLK),[1628401],1610612759.0,SAS,,,,White,D. White,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT08M45.00S,2022-01-02T00:14:29.2Z,1,REGULAR,rebound,offensive,[],1628977,,,1610612765,5,8,2022-01-02T00:16:55Z,368750,,,0,,H. Diallo REBOUND (Off:1 Def:0),[1628977],1610612765.0,DET,,,,Diallo,H. Diallo,,,,,,,,,,,,,,47.0,1.0,0.0,1.0,,,,,,,,
37,PT08M43.00S,2022-01-02T00:14:34.7Z,1,REGULAR,turnover,out-of-bounds,[],1628977,,,1610612765,5,8,2022-01-02T00:14:44Z,370000,,,0,,H. Diallo lost ball out-of-bounds TURNOVER (1 TO),[1628977],1610612765.0,DET,lost ball,,,Diallo,H. Diallo,,,,,,,,,,,1.0,,,,,,,1629178.0,,,,,,,
