actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-12-03T02:10:53.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-03T02:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-03T02:10:55.8Z,1,REGULAR,jumpball,recovered,[],1630188,,,1610612754,0,0,2022-12-03T02:10:55Z,40000,False,,,0,,Jump Ball M. Turner vs. K. Olynyk: Tip to J. Smith,"[1630188, 1626167, 203482]",1610612754.0,IND,startperiod,J. Smith,1630188.0,Smith,J. Smith,Turner,1626167.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-12-03T02:11:15.0Z,1,REGULAR,turnover,out-of-bounds,[],1627741,,,1610612754,0,0,2022-12-03T02:11:22Z,70000,False,,,0,,B. Hield bad pass out-of-bounds TURNOVER (1 TO),[1627741],1610612754.0,IND,bad pass,,,Hield,B. Hield,,,,,In The Paint (Non-RA),8-16 Center,202041.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2022-12-03T02:11:45.3Z,1,REGULAR,turnover,traveling,[],203482,,,1610612762,0,0,2022-12-03T02:11:51Z,80000,False,,,0,,K. Olynyk traveling TURNOVER (1 TO),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Right Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M12.00S,2022-12-03T02:12:03.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626167,5.469776609724048,43.872549019607845,1610612754,0,2,2022-12-03T02:12:07Z,90000,False,31.0,-1.0,1,left,M. Turner Layup (2 PTS) (A. Nembhard 1 AST),"[1626167, 1629614]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,3.06,Made,2.0,A. Nembhard,1629614.0,1.0,,,,,,,,,,,,
11,PT10M58.00S,2022-12-03T02:12:18.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,92.32917214191852,45.34313725490196,1610612762,2,2,2022-12-03T02:12:21Z,110000,False,-23.0,20.0,1,right,L. Markkanen Layup (2 PTS) (K. Olynyk 1 AST),"[1628374, 203482]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,3.04,Made,2.0,K. Olynyk,203482.0,1.0,,,,,,,,,,,,
13,PT10M40.00S,2022-12-03T02:12:35.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626167,7.046649145860711,48.529411764705884,1610612754,2,4,2022-12-03T02:12:39Z,130000,False,7.0,14.0,1,left,M. Turner Layup (4 PTS) (A. Nembhard 2 AST),"[1626167, 1629614]",1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,1.56,Made,4.0,A. Nembhard,1629614.0,2.0,,,,,,,,,,,,
47,PT10M30.00S,2022-12-03T02:12:42.6Z,1,REGULAR,turnover,3-second-violation,[],1629020,,,1610612762,2,4,2022-12-03T02:18:00Z,145000,False,,,0,,J. Vanderbilt 3-second-violation TURNOVER (1 TO),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),0-8 Center,1193.0,1.0,,,,,,,,,,,,,,,,,,
18,PT10M15.00S,2022-12-03T02:13:12.3Z,1,REGULAR,turnover,bad pass,[],1627741,,,1610612754,2,4,2022-12-03T02:13:24Z,180000,False,,,0,,B. Hield bad pass TURNOVER (2 TO),"[1627741, 1629020]",1610612754.0,IND,,,,Hield,B. Hield,,,,,Above the Break 3,24+ Right Center,,2.0,,,,,,,Vanderbilt,1629020.0,,,,,,,,,,
19,PT10M15.00S,2022-12-03T02:13:12.3Z,1,REGULAR,steal,,[],1629020,,,1610612762,2,4,2022-12-03T02:13:14Z,190000,False,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
20,PT10M12.00S,2022-12-03T02:13:15.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629020,91.14651773981603,49.50980392156863,1610612762,4,4,2022-12-03T02:14:02Z,200000,False,-2.0,31.0,1,right,J. Vanderbilt running DUNK (2 PTS),[1629020],1610612762.0,UTA,running,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,3.08,Made,2.0,,,,,,,,,,,,,,,
21,PT10M00.00S,2022-12-03T02:13:29.8Z,1,REGULAR,foul,personal,['2freethrow'],1629020,,,1610612754,4,4,2022-12-03T02:13:49Z,210000,False,,,0,,J. Vanderbilt shooting personal FOUL (1 PF) (Haliburton 2 FT),"[1629020, 1630169]",1610612762.0,UTA,shooting,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),0-8 Center,1193.0,,,,,,,,,,1.0,0.0,Haliburton,1630169.0,,,,,,
23,PT10M00.00S,2022-12-03T02:14:05.0Z,1,REGULAR,freethrow,1 of 2,[],1630169,,,1610612754,4,5,2022-12-03T02:14:21Z,230000,False,,,0,,T. Haliburton Free Throw 1 of 2 (1 PTS),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,
24,PT10M00.00S,2022-12-03T02:14:05.0Z,1,REGULAR,freethrow,2 of 2,[],1630169,,,1610612754,4,5,2022-12-03T02:14:21Z,240000,False,,,0,,MISS T. Haliburton Free Throw 2 of 2,[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,,,,,,Missed,,,,,,,,,,,,,,,,
25,PT09M59.00S,2022-12-03T02:14:06.0Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,4,5,2022-12-03T02:14:21Z,250000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,,,,,,,,,24.0,1.0,1.0,0.0,,
26,PT09M47.00S,2022-12-03T02:14:30.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,91.67214191852825,47.794117647058826,1610612762,4,5,2022-12-03T02:15:19Z,260000,False,-11.0,26.0,1,right,MISS J. Vanderbilt driving Layup - blocked,"[1629020, 1630188]",1610612762.0,UTA,driving,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,2.8,Missed,,,,,,,,,,,,,,,Smith,1630188.0
27,PT09M47.00S,2022-12-03T02:14:30.7Z,1,REGULAR,block,,[],1630188,,,1610612762,4,5,2022-12-03T02:14:32Z,270000,False,,,0,,J. Smith BLOCK (1 BLK),[1630188],1610612754.0,IND,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M45.00S,2022-12-03T02:14:32.7Z,1,REGULAR,rebound,defensive,[],1626167,,,1610612754,4,5,2022-12-03T02:14:34Z,280000,False,,,0,,M. Turner REBOUND (Off:0 Def:1),[1626167],1610612754.0,IND,,,,Turner,M. Turner,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,26.0,1.0,1.0,0.0,,
29,PT09M39.00S,2022-12-03T02:14:40.1Z,1,REGULAR,turnover,backcourt,[],1630169,,,1610612754,4,5,2022-12-03T02:15:02Z,290000,False,,,0,,T. Haliburton backcourt TURNOVER (1 TO),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,Above the Break 3,24+ Right Center,202041.0,1.0,,,,,,,,,,,,,,,,,,
30,PT09M26.00S,2022-12-03T02:15:04.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1629012,90.75229960578186,57.84313725490197,1610612762,4,5,2022-12-03T02:15:10Z,300000,False,39.0,34.0,1,right,MISS C. Sexton driving Layup,[1629012],1610612762.0,UTA,driving,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),0-8 Center,,,5.22,Missed,,,,,,,,,,,,,,,,
31,PT09M24.00S,2022-12-03T02:15:06.4Z,1,REGULAR,rebound,defensive,[],1630169,,,1610612754,4,5,2022-12-03T02:15:10Z,310000,False,,,0,,T. Haliburton REBOUND (Off:0 Def:1),[1630169],1610612754.0,IND,,,,Haliburton,T. Haliburton,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,30.0,1.0,1.0,0.0,,
32,PT09M18.00S,2022-12-03T02:15:12.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1630188,8.623521681997373,44.11764705882353,1610612754,4,5,2022-12-03T02:15:50Z,320000,False,29.0,29.0,1,left,MISS J. Smith driving Layup,[1630188],1610612754.0,IND,driving,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,4.1,Missed,,,,,,,,,,,,,,,,
33,PT09M16.00S,2022-12-03T02:15:14.1Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,4,5,2022-12-03T02:15:17Z,330000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,32.0,1.0,1.0,0.0,,
34,PT09M09.00S,2022-12-03T02:15:19.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628374,88.91261498028909,42.8921568627451,1610612762,6,5,2022-12-03T02:15:25Z,340000,False,-36.0,52.0,1,right,L. Markkanen 6' driving Layup (4 PTS),[1628374],1610612762.0,UTA,driving,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,6.27,Made,4.0,,,,,,,,,,,,,,,
35,PT08M58.00S,2022-12-03T02:15:32.8Z,1,REGULAR,foul,personal,['2freethrow'],203482,,,1610612754,6,5,2022-12-03T02:15:37Z,350000,False,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Smith 2 FT),"[203482, 1630188]",1610612762.0,UTA,shooting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,202041.0,,,,,,,,,,1.0,0.0,Smith,1630188.0,,,,,,
