actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-04T02:10:13.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-04T02:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-04T02:10:15.5Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2023-02-04T02:10:15Z,40000,False,,,0,,Jump Ball W. Kessler vs. C. Capela: Tip to L. Markkanen,"[1628374, 1631117, 203991]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Capela,203991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-02-04T02:10:27.0Z,1,REGULAR,3pt,Jump Shot,[],203482,88.12417871222075,2.941176470588235,1610612762,0,0,2023-02-04T02:10:33Z,70000,False,-235.0,59.0,1,right,MISS K. Olynyk 24' 3PT,[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Left Corner 3,24+ Left,24.26,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-02-04T02:10:32.0Z,1,REGULAR,rebound,offensive,[],1628374,,,1610612762,0,0,2023-02-04T02:10:33Z,80000,False,,,0,,L. Markkanen REBOUND (Off:1 Def:0),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M41.00S,2023-02-04T02:10:31.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628374,94.40999984741211,50.0,1610612762,2,0,2023-02-04T02:10:31Z,90000,False,0.0,0.0,1,right,L. Markkanen tip Layup (2 PTS),[1628374],1610612762.0,UTA,tip,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M28.00S,2023-02-04T02:10:44.3Z,1,REGULAR,2pt,Jump Shot,[],1627749,25.57490144546649,52.450980392156865,1610612737,2,0,2023-02-04T02:10:49Z,100000,False,-12.0,188.0,1,left,MISS D. Murray 18' pullup Shot,[1627749],1610612737.0,ATL,pullup,,,Murray,D. Murray,,,,,Mid-Range,16-24 Center,18.83,Missed,,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2023-02-04T02:10:46.3Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,2,0,2023-02-04T02:10:49Z,110000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M20.00S,2023-02-04T02:10:52.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,66.5735873850197,53.18627450980392,1610612762,2,0,2023-02-04T02:12:38Z,120000,False,16.0,262.0,1,right,MISS L. Markkanen 26' running 3PT,[1628374],1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,26.22,Missed,,,,,,,,,,,,,,,,,,
13,PT11M17.00S,2023-02-04T02:10:55.2Z,1,REGULAR,rebound,defensive,[],1629631,,,1610612737,2,0,2023-02-04T02:10:57Z,130000,False,,,0,,D. Hunter REBOUND (Off:0 Def:1),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Above the Break 3,24+ Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M06.00S,2023-02-04T02:11:07.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629631,8.09789750328515,34.31372549019608,1610612737,2,2,2023-02-04T02:11:12Z,140000,False,78.0,24.0,1,left,D. Hunter 8' Jump Shot (2 PTS),[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,In The Paint (Non-RA),8-16 Right,8.19,Made,,,,,2.0,,,,,,,,,,,,,
