actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-14T02:10:15.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-14T02:10:15Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2023-01-14T02:10:17.4Z,1,REGULAR,jumpball,recovered,[],1630532,,,1610612753,0,0,2023-01-14T02:10:17Z,40000,False,,,0,,Jump Ball W. Carter Jr. vs. W. Kessler: Tip to F. Wagner,"[1630532, 1628976, 1631117]",1610612753.0,ORL,startperiod,F. Wagner,1630532.0,Wagner,F. Wagner,Carter Jr.,1628976.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2023-01-14T02:10:30.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630532,7.5722733245729295,56.86274509803921,1610612753,0,0,2023-01-14T02:11:13Z,70000,False,-34.0,19.0,1,left,MISS F. Wagner driving finger roll Layup,[1630532],1610612753.0,ORL,driving finger roll,,,Wagner,F. Wagner,,,,,Restricted Area,0-8 Center,3.91,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2023-01-14T02:10:32.0Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,0,0,2023-01-14T02:10:34Z,80000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2023-01-14T02:10:48.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,68.15045992115637,66.17647058823529,1610612762,0,0,2023-01-14T02:10:54Z,90000,False,81.0,247.0,1,right,MISS M. Beasley 25' 3PT,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,25.98,Missed,,,,,,,,,,,,,,,,,,
10,PT11M21.00S,2023-01-14T02:10:51.3Z,1,REGULAR,rebound,defensive,[],1628365,,,1610612753,0,0,2023-01-14T02:10:54Z,100000,False,,,0,,M. Fultz REBOUND (Off:0 Def:1),[1628365],1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,Above the Break 3,24+ Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M15.00S,2023-01-14T02:10:58.2Z,1,REGULAR,turnover,bad pass,[],1628365,,,1610612753,0,0,2023-01-14T02:11:02Z,110000,False,,,0,,M. Fultz bad pass TURNOVER (1 TO),"[1628365, 1631117]",1610612753.0,ORL,,,,Fultz,M. Fultz,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Kessler,1631117.0,,,,,,,,,,,
12,PT11M15.00S,2023-01-14T02:10:58.2Z,1,REGULAR,steal,,[],1631117,,,1610612762,0,0,2023-01-14T02:11:00Z,120000,False,,,0,,W. Kessler STEAL (1 STL),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2023-01-14T02:11:03.0Z,1,REGULAR,turnover,bad pass,[],1629638,,,1610612762,0,0,2023-01-14T02:11:07Z,130000,False,,,0,,N. Alexander-Walker bad pass TURNOVER (1 TO),"[1629638, 203914]",1610612762.0,UTA,,,,Alexander-Walker,N. Alexander-Walker,,,,,Mid-Range,16-24 Center,,,,,,,1.0,Harris,203914.0,,,,,,,,,,,
14,PT11M10.00S,2023-01-14T02:11:03.0Z,1,REGULAR,steal,,[],203914,,,1610612753,0,0,2023-01-14T02:11:04Z,140000,False,,,0,,G. Harris STEAL (1 STL),[203914],1610612753.0,ORL,,,,Harris,G. Harris,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
