actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-21T02:11:32.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-21T02:11:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-21T02:11:35.9Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2023-01-21T02:11:35Z,40000,False,,,0,,Jump Ball W. Kessler vs. N. Claxton: Tip to L. Markkanen,"[1628374, 1631117, 1629651]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-01-21T02:11:46.7Z,1,REGULAR,3pt,Jump Shot,[],201144,70.90998685939553,72.54901960784314,1610612762,0,0,2023-01-21T02:11:52Z,70000,False,113.0,221.0,1,right,MISS M. Conley 24' pullup 3PT,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,24.8,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2023-01-21T02:11:47.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612751,0,0,2023-01-21T02:11:52Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612751.0,BKN,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2023-01-21T02:11:51.6Z,1,REGULAR,foul,personal,[],1631117,,,1610612751,0,0,2023-01-21T02:20:04Z,90000,False,,,0,,W. Kessler loose ball personal FOUL (1 PF),"[1631117, 1627732]",1610612762.0,UTA,loose ball,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,,,,203177.0,1.0,0.0,Simmons,1627732.0,,,,,,,,,,,,
11,PT11M30.00S,2023-01-21T02:12:13.8Z,1,REGULAR,3pt,Jump Shot,[],1626220,31.488173455978973,70.58823529411765,1610612751,0,0,2023-01-21T02:12:18Z,110000,False,-103.0,243.0,1,left,MISS R. O'Neale 26' 3PT,[1626220],1610612751.0,BKN,,,,O'Neale,R. O'Neale,,,,,Above the Break 3,24+ Left Center,26.43,Missed,,,,,,,,,,,,,,,,,,
12,PT11M27.00S,2023-01-21T02:12:16.8Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,0,2023-01-21T02:12:18Z,120000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,11.0,,,,,,1.0,1.0,0.0,,,,,,,,,
13,PT11M15.00S,2023-01-21T02:12:28.0Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,86.67871222076215,47.794117647058826,1610612762,0,0,2023-01-21T02:12:33Z,130000,False,-11.0,73.0,1,right,MISS L. Markkanen 7' turnaround Hook,[1628374],1610612762.0,UTA,turnaround,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,7.35,Missed,,,,,,,,,,,,,,,,,,
14,PT11M14.00S,2023-01-21T02:12:29.0Z,1,REGULAR,rebound,defensive,[],202681,,,1610612751,0,0,2023-01-21T02:12:33Z,140000,False,,,0,,K. Irving REBOUND (Off:0 Def:1),[202681],1610612751.0,BKN,,,,Irving,K. Irving,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,,,,,,1.0,1.0,0.0,,,,,,,,,
15,PT11M06.00S,2023-01-21T02:12:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627732,9.149145860709593,40.19607843137255,1610612751,0,2,2023-01-21T02:12:43Z,150000,False,49.0,34.0,1,left,B. Simmons driving floating bank Jump Shot (2 PTS) (K. Irving 1 AST),"[1627732, 202681]",1610612751.0,BKN,driving floating bank,,,Simmons,B. Simmons,,,,,In The Paint (Non-RA),0-8 Center,5.94,Made,,,,,,,,,,2.0,K. Irving,202681.0,1.0,,,,,
