actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-01T01:10:33.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-01T01:10:33Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-01T01:10:36.2Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2022-11-01T01:10:36Z,40000,,,0,,Jump Ball S. Adams vs. K. Olynyk: Tip to J. Morant,"[1629630, 203500, 203482]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Adams,203500.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-11-01T01:10:52.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,85.75886990801577,55.392156862745104,1610612763,0,2,2022-11-01T01:11:21Z,70000,27.0,81.0,1,right,D. Brooks 8' driving floating bank Jump Shot (2 PTS),[1628415],1610612763.0,MEM,driving floating bank,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,8.58,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2022-11-01T01:10:55.4Z,1,REGULAR,foul,personal,['1freethrow'],203482,,,1610612763,0,2,2022-11-01T01:11:10Z,80000,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Brooks 1 FT),"[203482, 1628415]",1610612762.0,UTA,shooting,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Center,,,,1628482.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,,,
10,PT11M44.00S,2022-11-01T01:11:14.4Z,1,REGULAR,freethrow,1 of 1,[],1628415,,,1610612763,0,2,2022-11-01T01:11:18Z,100000,,,0,,MISS D. Brooks Free Throw 1 of 1,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
11,PT11M42.00S,2022-11-01T01:11:16.4Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,0,2,2022-11-01T01:11:18Z,110000,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M25.00S,2022-11-01T01:11:33.1Z,1,REGULAR,2pt,Jump Shot,[],201144,7.5722733245729295,29.411764705882355,1610612762,0,2,2022-11-01T01:11:39Z,120000,103.0,19.0,1,left,MISS M. Conley 10' driving floating Shot,[201144],1610612762.0,UTA,driving floating,,,Conley,M. Conley,,,,,Mid-Range,8-16 Right,10.46,Missed,,,,,,,,,,,,,,,,,,
13,PT11M23.00S,2022-11-01T01:11:35.1Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,2,2022-11-01T01:11:39Z,130000,,,0,,S. Adams REBOUND (Off:0 Def:1),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Mid-Range,8-16 Right,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
14,PT11M17.00S,2022-11-01T01:11:41.0Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1629630,91.93495400788436,48.77450980392157,1610612763,0,4,2022-11-01T01:13:10Z,140000,-6.0,23.0,1,right,J. Morant driving DUNK (2 PTS),[1629630],1610612763.0,MEM,driving,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,2.41,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M56.00S,2022-11-01T01:12:01.8Z,1,REGULAR,3pt,Jump Shot,[],203903,26.10052562417871,14.705882352941178,1610612762,0,4,2022-11-01T01:12:07Z,150000,176.0,193.0,1,left,MISS J. Clarkson 26' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,26.14,Missed,,,,,,,,,,,,,,,,,,
16,PT10M54.00S,2022-11-01T01:12:03.8Z,1,REGULAR,rebound,defensive,[],203500,,,1610612763,0,4,2022-11-01T01:12:07Z,160000,,,0,,S. Adams REBOUND (Off:0 Def:2),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Right Center,,,,,,,,,15.0,2.0,2.0,0.0,,,,,,,,
18,PT10M37.00S,2022-11-01T01:12:24.2Z,1,REGULAR,foul,personal,['2freethrow'],203903,,,1610612763,0,4,2022-11-01T01:12:29Z,180000,,,0,,J. Clarkson shooting personal FOUL (1 PF) (Brooks 2 FT),"[203903, 1628415]",1610612762.0,UTA,shooting,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,,,,200833.0,1.0,0.0,Brooks,1628415.0,,,,,,,,,,,,
20,PT10M37.00S,2022-11-01T01:12:55.0Z,1,REGULAR,freethrow,1 of 2,[],1628415,,,1610612763,0,4,2022-11-01T01:13:11Z,200000,,,0,,MISS D. Brooks Free Throw 1 of 2,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
21,PT10M37.00S,2022-11-01T01:12:55.0Z,1,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612763,0,4,2022-11-01T01:13:11Z,210000,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,
22,PT10M37.00S,2022-11-01T01:12:55.0Z,1,REGULAR,freethrow,2 of 2,[],1628415,,,1610612763,0,4,2022-11-01T01:13:11Z,220000,,,0,,MISS D. Brooks Free Throw 2 of 2,[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
