actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-30T01:10:41.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-30T01:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2022-10-30T01:10:42.8Z,1,REGULAR,jumpball,recovered,[],1626145,,,1610612763,0,0,2022-10-30T01:10:42Z,40000,,,0,,Jump Ball S. Adams vs. K. Olynyk: Tip to T. Jones,"[1626145, 203500, 203482]",1610612763.0,MEM,startperiod,T. Jones,1626145.0,Jones,T. Jones,Adams,203500.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2022-10-30T01:10:55.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,93.9060446780552,39.705882352941174,1610612763,0,2,2022-10-30T01:11:04Z,70000,-51.0,5.0,1,right,D. Brooks driving floating Jump Shot (2 PTS),[1628415],1610612763.0,MEM,driving floating,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),0-8 Center,5.17,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2022-10-30T01:11:13.8Z,1,REGULAR,turnover,bad pass,[],1629012,,,1610612762,0,2,2022-10-30T01:11:17Z,80000,,,0,,C. Sexton bad pass TURNOVER (1 TO),"[1629012, 1630217]",1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,In The Paint (Non-RA),8-16 Right,,,,1.0,Bane,1630217.0,,,,,,,,,,,,,,
9,PT11M24.00S,2022-10-30T01:11:13.8Z,1,REGULAR,steal,,[],1630217,,,1610612763,0,2,2022-10-30T01:11:15Z,90000,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
10,PT11M20.00S,2022-10-30T01:11:18.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630217,90.88370565045992,60.5392156862745,1610612763,0,4,2022-10-30T01:11:26Z,100000,53.0,33.0,1,right,D. Bane 6' Layup (2 PTS),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,6.23,Made,2.0,,,,,,,,,,,,,,,,,
11,PT11M05.00S,2022-10-30T01:11:32.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,6.258212877792378,3.6764705882352944,1610612762,0,4,2022-10-30T01:11:38Z,110000,232.0,6.0,1,left,MISS L. Markkanen 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Right Corner 3,24+ Right,23.17,Missed,,,,,,,,,,,,,,,,,,
12,PT11M03.00S,2022-10-30T01:11:34.9Z,1,REGULAR,rebound,offensive,[],203903,,,1610612762,0,4,2022-10-30T01:11:38Z,120000,,,0,,J. Clarkson REBOUND (Off:1 Def:0),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Right Corner 3,24+ Right,,,,,,,11.0,1.0,0.0,1.0,,,,,,,,,,
13,PT11M02.00S,2022-10-30T01:11:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203903,6.258212877792378,44.11764705882353,1610612762,2,4,2022-10-30T01:11:43Z,130000,29.0,6.0,1,left,J. Clarkson putback Layup (2 PTS),[203903],1610612762.0,UTA,putback,,,Clarkson,J. Clarkson,,,,,Restricted Area,0-8 Center,3.01,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M46.00S,2022-10-30T01:11:52.3Z,1,REGULAR,2pt,Jump Shot,[],1626145,83.65637319316689,32.59803921568628,1610612763,2,4,2022-10-30T01:11:57Z,140000,-87.0,101.0,1,right,MISS T. Jones 13' floating Shot,[1626145],1610612763.0,MEM,floating,,,Jones,T. Jones,,,,,Mid-Range,8-16 Left,13.34,Missed,,,,,,,,,,,,,,,,,,
15,PT10M43.00S,2022-10-30T01:11:55.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,2,4,2022-10-30T01:11:57Z,150000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,8-16 Left,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
16,PT10M35.00S,2022-10-30T01:12:02.7Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,2,4,2022-10-30T01:12:07Z,160000,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 1628415]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Left,,,,1.0,Brooks,1628415.0,,,,,,,,,,,,,,
17,PT10M35.00S,2022-10-30T01:12:02.7Z,1,REGULAR,steal,,[],1628415,,,1610612763,2,4,2022-10-30T01:34:25Z,170000,,,0,,D. Brooks STEAL (1 STL),[1628415],1610612763.0,MEM,,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
18,PT10M24.00S,2022-10-30T01:12:14.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630217,93.64323258869908,60.78431372549019,1610612763,2,4,2022-10-30T01:12:18Z,180000,54.0,7.0,1,right,MISS D. Bane driving Layup,[1630217],1610612763.0,MEM,driving,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,5.44,Missed,,,,,,,,,,,,,,,,,,
19,PT10M22.00S,2022-10-30T01:12:16.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,2,4,2022-10-30T01:12:18Z,190000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,18.0,2.0,2.0,0.0,,,,,,,,,,
20,PT10M13.00S,2022-10-30T01:12:27.7Z,1,REGULAR,foul,personal,['2freethrow'],1630217,,,1610612762,2,4,2022-10-30T01:12:36Z,200000,,,0,,D. Bane shooting personal FOUL (1 PF) (Sexton 2 FT),"[1630217, 1629012]",1610612763.0,MEM,shooting,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203591.0,1.0,0.0,Sexton,1629012.0,,,,,
22,PT10M13.00S,2022-10-30T01:12:53.2Z,1,REGULAR,freethrow,1 of 2,[],1629012,,,1610612762,3,4,2022-10-30T01:12:53Z,220000,,,0,,C. Sexton Free Throw 1 of 2 (1 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M13.00S,2022-10-30T01:13:05.2Z,1,REGULAR,freethrow,2 of 2,[],1629012,,,1610612762,4,4,2022-10-30T01:13:05Z,230000,,,0,,C. Sexton Free Throw 2 of 2 (2 PTS),[1629012],1610612762.0,UTA,,,,Sexton,C. Sexton,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M58.00S,2022-10-30T01:13:20.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628415,90.3580814717477,34.55882352941176,1610612763,4,4,2022-10-30T01:13:25Z,240000,-77.0,38.0,1,right,MISS D. Brooks 8' driving Layup,[1628415],1610612763.0,MEM,driving,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Left,8.61,Missed,,,,,,,,,,,,,,,,,,
25,PT09M56.00S,2022-10-30T01:13:22.7Z,1,REGULAR,rebound,offensive,[],203500,,,1610612763,4,4,2022-10-30T01:13:25Z,250000,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612763.0,MEM,,,,Adams,S. Adams,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,24.0,1.0,0.0,1.0,,,,,,,,,,
26,PT09M55.00S,2022-10-30T01:13:25.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630583,90.3580814717477,96.07843137254902,1610612763,4,4,2022-10-30T01:13:29Z,260000,230.0,38.0,1,right,MISS S. Aldama 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,23.35,Missed,,,,,,,,,,,,,,,,,,
27,PT09M52.00S,2022-10-30T01:13:28.1Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,4,4,2022-10-30T01:13:29Z,270000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:3),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,,,,,,,26.0,3.0,3.0,0.0,,,,,,,,,,
28,PT09M46.00S,2022-10-30T01:13:33.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203903,32.53942181340342,29.901960784313726,1610612762,7,4,2022-10-30T01:13:39Z,280000,100.0,253.0,1,left,J. Clarkson 27' 3PT pullup (5 PTS) (J. Vanderbilt 1 AST),"[203903, 1629020]",1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,27.26,Made,5.0,,,,,,,,,,,,,J. Vanderbilt,1629020.0,1.0,,
