actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-20T01:13:44.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-20T01:13:44Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-20T01:13:46.9Z,1,REGULAR,jumpball,recovered,[],203903,,,1610612762,0,0,2022-10-20T01:13:46Z,40000,,,0,,Jump Ball K. Olynyk vs. N. Jokic: Tip to J. Clarkson,"[203903, 203482, 203999]",1610612762.0,UTA,startperiod,J. Clarkson,203903.0,Clarkson,J. Clarkson,Olynyk,203482.0,Jokic,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2022-10-20T01:13:56.7Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,0,0,2022-10-20T01:14:01Z,70000,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 203932]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Left Center,1.0,Gordon,203932.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2022-10-20T01:13:56.7Z,1,REGULAR,steal,,[],203932,,,1610612743,0,0,2022-10-20T01:13:58Z,80000,,,0,,A. Gordon STEAL (1 STL),[203932],1610612743.0,DEN,,,,Gordon,A. Gordon,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M43.00S,2022-10-20T01:14:00.2Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203932,7.440867279894875,50.98039215686274,1610612743,0,2,2022-10-20T01:16:25Z,90000,-5.0,17.0,1,left,A. Gordon running reverse DUNK (2 PTS),[203932],1610612743.0,DEN,running reverse,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,1.81,Made,2.0,,,,,,,,,,,,,,
10,PT11M29.00S,2022-10-20T01:14:15.0Z,1,REGULAR,3pt,Jump Shot,[],203903,73.53810775295663,12.254901960784313,1610612762,0,2,2022-10-20T01:14:24Z,100000,-189.0,196.0,1,right,MISS J. Clarkson 27' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,27.22,Missed,,,,,,,,,,,,,,,
11,PT11M28.00S,2022-10-20T01:14:16.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612743,0,2,2022-10-20T01:14:24Z,110000,,,0,,TEAM defensive REBOUND,[],1610612743.0,DEN,,,,,,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,,,,,,,,,,,,,
14,PT11M05.00S,2022-10-20T01:14:59.2Z,1,REGULAR,foul,personal,['2freethrow'],203482,,,1610612743,0,2,2022-10-20T01:15:04Z,140000,,,0,,K. Olynyk shooting personal FOUL (1 PF) (Porter Jr. 2 FT),"[203482, 1629008]",1610612762.0,UTA,shooting,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,,203177.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,
16,PT11M05.00S,2022-10-20T01:15:18.3Z,1,REGULAR,freethrow,1 of 2,[],1629008,,,1610612743,0,3,2022-10-20T01:16:05Z,160000,,,0,,M. Porter Jr. Free Throw 1 of 2 (1 PTS),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,,
17,PT11M05.00S,2022-10-20T01:15:18.3Z,1,REGULAR,freethrow,2 of 2,[],1629008,,,1610612743,0,3,2022-10-20T01:16:05Z,170000,,,0,,MISS M. Porter Jr. Free Throw 2 of 2,[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,,,,,,,Missed,,,,,,,,,,,,,,,
18,PT11M03.00S,2022-10-20T01:15:20.3Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,0,3,2022-10-20T01:16:05Z,180000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,,,,,,17.0,,,,,,1.0,1.0,0.0,,,,,
19,PT10M45.00S,2022-10-20T01:15:50.7Z,1,REGULAR,2pt,Jump Shot,[],1628374,82.47371879106439,82.1078431372549,1610612762,2,3,2022-10-20T01:16:03Z,190000,161.0,112.0,1,right,L. Markkanen 19' Jump Shot (2 PTS) (M. Conley 1 AST),"[1628374, 201144]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Mid-Range,16-24 Right,,,,19.58,Made,2.0,,,,,,,,,,M. Conley,201144.0,1.0,,
21,PT10M26.00S,2022-10-20T01:16:09.3Z,1,REGULAR,2pt,Jump Shot,[],1627750,20.18725361366623,28.676470588235293,1610612743,2,5,2022-10-20T01:18:27Z,210000,107.0,137.0,1,left,J. Murray 17' step back Jump Shot (2 PTS),[1627750],1610612743.0,DEN,step back,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,,,,17.38,Made,2.0,,,,,,,,,,,,,,
23,PT10M06.00S,2022-10-20T01:16:29.7Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628374,89.96386333771353,52.94117647058824,1610612762,4,5,2022-10-20T01:16:35Z,230000,15.0,42.0,1,right,L. Markkanen turnaround Hook (4 PTS),[1628374],1610612762.0,UTA,turnaround,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,4.43,Made,4.0,,,,,,,,,,,,,,
24,PT09M57.00S,2022-10-20T01:16:38.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203932,4.418528252299605,44.11764705882353,1610612743,4,7,2022-10-20T01:16:44Z,240000,29.0,-11.0,1,left,A. Gordon driving Layup (4 PTS),[203932],1610612743.0,DEN,driving,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,3.14,Made,4.0,,,,,,,,,,,,,,
25,PT09M47.00S,2022-10-20T01:16:47.9Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612762,4,7,2022-10-20T01:16:53Z,250000,,,0,,M. Conley bad pass TURNOVER (2 TO),"[201144, 1627750]",1610612762.0,UTA,,,,Conley,M. Conley,,,,,Mid-Range,16-24 Right Center,2.0,Murray,1627750.0,,,,,,,,,,,,,,,,,
26,PT09M47.00S,2022-10-20T01:16:47.9Z,1,REGULAR,steal,,[],1627750,,,1610612743,4,7,2022-10-20T01:17:25Z,260000,,,0,,J. Murray STEAL (1 STL),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
27,PT09M43.00S,2022-10-20T01:16:52.1Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint', 'fromturnover']",203932,4.812746386333772,44.6078431372549,1610612743,4,9,2022-10-20T01:17:09Z,270000,27.0,-7.0,1,left,A. Gordon running alley-oop DUNK (6 PTS) (K. Caldwell-Pope 1 AST),"[203932, 203484]",1610612743.0,DEN,running alley-oop,,,Gordon,A. Gordon,,,,,Restricted Area,0-8 Center,,,,2.8,Made,6.0,,,,,,,,,,K. Caldwell-Pope,203484.0,1.0,,
29,PT09M37.00S,2022-10-20T01:16:59.0Z,1,REGULAR,3pt,Jump Shot,[],203903,95.3515111695138,95.09803921568627,1610612762,7,9,2022-10-20T01:19:45Z,290000,225.0,-9.0,1,right,J. Clarkson 3PT  (3 PTS) (L. Markkanen 1 AST),"[203903, 1628374]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Right Corner 3,24+ Right,,,,22.57,Made,3.0,,,,,,,,,,L. Markkanen,1628374.0,1.0,,
31,PT09M23.00S,2022-10-20T01:17:11.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,17.427726675427067,57.84313725490197,1610612743,7,9,2022-10-20T01:17:21Z,310000,-39.0,111.0,1,left,MISS J. Murray 11' driving floating Shot,[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,,,,11.8,Missed,,,,,,,,,,,,,,,
32,PT09M21.00S,2022-10-20T01:17:13.8Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,7,9,2022-10-20T01:17:21Z,320000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:2),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,31.0,,,,,,2.0,2.0,0.0,,,,,
33,PT09M18.00S,2022-10-20T01:17:17.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203903,74.98357424441524,8.57843137254902,1610612762,7,9,2022-10-20T01:22:24Z,330000,-207.0,183.0,1,right,MISS J. Clarkson 27' running pullup 3PT,[203903],1610612762.0,UTA,running pullup,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,,,,27.62,Missed,,,,,,,,,,,,,,,
34,PT09M15.00S,2022-10-20T01:17:20.8Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,7,9,2022-10-20T01:17:27Z,340000,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,33.0,,,,,,1.0,1.0,0.0,,,,,
35,PT09M04.00S,2022-10-20T01:17:35.6Z,1,REGULAR,foul,personal,[],1629020,,,1610612743,7,9,2022-10-20T01:17:42Z,350000,,,0,,J. Vanderbilt personal FOUL (1 PF),"[1629020, 1629008]",1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1146.0,1.0,0.0,Porter Jr.,1629008.0,,,,,,,,
37,PT08M59.00S,2022-10-20T01:18:00.6Z,1,REGULAR,2pt,Jump Shot,[],203484,13.222733245729303,23.284313725490197,1610612743,7,9,2022-10-20T01:18:04Z,370000,134.0,72.0,1,left,MISS K. Caldwell-Pope 15' pullup Shot,[203484],1610612743.0,DEN,pullup,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Mid-Range,8-16 Right,,,,15.17,Missed,,,,,,,,,,,,,,,
38,PT08M56.00S,2022-10-20T01:18:03.6Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612762,7,9,2022-10-20T01:18:04Z,380000,,,0,,J. Vanderbilt REBOUND (Off:0 Def:3),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,8-16 Right,,,,,,,37.0,,,,,,3.0,3.0,0.0,,,,,
39,PT08M48.00S,2022-10-20T01:18:11.3Z,1,REGULAR,turnover,bad pass,[],203482,,,1610612762,7,9,2022-10-20T01:18:15Z,390000,,,0,,K. Olynyk bad pass TURNOVER (1 TO),"[203482, 203999]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),8-16 Left,1.0,Jokic,203999.0,,,,,,,,,,,,,,,,,
40,PT08M48.00S,2022-10-20T01:18:11.3Z,1,REGULAR,steal,,[],203999,,,1610612743,7,9,2022-10-20T01:18:12Z,400000,,,0,,N. Jokic STEAL (1 STL),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,,,,,,,,,,
