actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-08T03:15:38.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T03:15:38Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-11-08T03:15:41.7Z,1,REGULAR,jumpball,recovered,[],1629134,,,1610612747,0,0,2022-11-08T03:15:41Z,40000,,,0,,Jump Ball A. Davis vs. K. Olynyk: Tip to K. Nunn,"[1629134, 203076, 203482]",1610612747.0,LAL,startperiod,K. Nunn,1629134.0,Nunn,K. Nunn,Davis,203076.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-11-08T03:15:54.5Z,1,REGULAR,foul,personal,[],203903,,,1610612747,0,0,2022-11-08T03:16:02Z,70000,,,0,,J. Clarkson personal FOUL (1 PF),"[203903, 1630559]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Right Center,202049.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
9,PT11M40.00S,2022-11-08T03:16:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,91.27792378449409,52.94117647058824,1610612747,0,2,2022-11-08T03:16:21Z,90000,15.0,29.0,1,right,A. Davis cutting Layup (2 PTS) (K. Nunn 1 AST),"[203076, 1629134]",1610612747.0,LAL,cutting,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,3.3,Made,2.0,K. Nunn,1629134.0,1.0,,,,,,,,,
11,PT11M19.00S,2022-11-08T03:16:35.5Z,1,REGULAR,2pt,Jump Shot,[],203903,5.338370565045992,66.91176470588235,1610612762,0,2,2022-11-08T03:16:41Z,110000,-85.0,-2.0,1,left,MISS J. Clarkson 8' pullup Shot,[203903],1610612762.0,UTA,pullup,,,Clarkson,J. Clarkson,,,,,Mid-Range,8-16 Left,,,,,,8.46,Missed,,,,,,,,,,,,,
12,PT11M16.00S,2022-11-08T03:16:38.5Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,0,2,2022-11-08T03:16:41Z,120000,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M14.00S,2022-11-08T03:16:43.4Z,1,REGULAR,foul,personal,['2freethrow'],201144,,,1610612747,0,2,2022-11-08T03:16:51Z,130000,,,0,,M. Conley shooting personal FOUL (1 PF) (Reaves 2 FT),"[201144, 1630559]",1610612762.0,UTA,shooting,,,Conley,M. Conley,,,,,Mid-Range,8-16 Right,1628480.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
15,PT11M14.00S,2022-11-08T03:17:05.4Z,1,REGULAR,freethrow,1 of 2,[],1630559,,,1610612747,0,3,2022-11-08T03:17:05Z,150000,,,0,,A. Reaves Free Throw 1 of 2 (1 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
16,PT11M14.00S,2022-11-08T03:17:20.2Z,1,REGULAR,freethrow,2 of 2,[],1630559,,,1610612747,0,4,2022-11-08T03:17:20Z,160000,,,0,,A. Reaves Free Throw 2 of 2 (2 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,
17,PT10M58.00S,2022-11-08T03:17:41.2Z,1,REGULAR,foul,personal,['2freethrow'],1629117,,,1610612762,0,4,2022-11-08T03:17:46Z,170000,,,0,,W. Gabriel shooting personal FOUL (1 PF) (Olynyk 2 FT),"[1629117, 203482]",1610612747.0,LAL,shooting,,,Gabriel,W. Gabriel,,,,,In The Paint (Non-RA),0-8 Center,1628480.0,1.0,0.0,Olynyk,203482.0,,,,,,,,,,,,,,,
