shortFormattedClock,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,jerseyNumber,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId
12:00,2,PT12M00.00S,2022-12-08T02:10:16.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-08T02:10:16Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11:57,4,PT11M57.00S,2022-12-08T02:10:19.0Z,1,REGULAR,jumpball,recovered,[],203210,,,1610612744,0,0,2022-12-08T02:10:19Z,40000,False,,,0,,Jump Ball K. Looney vs. W. Kessler: Tip to J. Green,"[203210, 1626172, 1631117]",1,1610612744.0,GSW,startperiod,J. Green,203210.0,Green,J. Green,Looney,1626172.0,Kessler,1631117.0,,,,,,,,,,,,,,,,,,,,,,
11:45,7,PT11M45.00S,2022-12-08T02:10:30.0Z,1,REGULAR,3pt,Jump Shot,[],203210,8.492115637319317,2.696078431372549,1610612744,0,0,2022-12-08T02:10:36Z,70000,False,237.0,27.0,1,left,MISS J. Green 3PT,[203210],1,1610612744.0,GSW,,,,Green,J. Green,,,,,Right Corner 3,24+ Right,23.81,Missed,,,,,,,,,,,,,,,,,,
11:43,8,PT11M43.00S,2022-12-08T02:10:32.0Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2022-12-08T02:10:36Z,80000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],5,1610612744.0,GSW,,,,Looney,K. Looney,,,,,Right Corner 3,24+ Right,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
11:40,9,PT11M40.00S,2022-12-08T02:10:36.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629673,22.421156373193167,86.27450980392157,1610612744,0,0,2022-12-08T02:11:23Z,90000,False,-181.0,158.0,1,left,MISS J. Poole 24' step back 3PT,[1629673],3,1610612744.0,GSW,step back,,,Poole,J. Poole,,,,,Above the Break 3,24+ Left Center,24.08,Missed,,,,,,,,,,,,,,,,,,
11:36,10,PT11M36.00S,2022-12-08T02:10:40.1Z,1,REGULAR,rebound,defensive,[],1627736,,,1610612762,0,0,2022-12-08T02:10:41Z,100000,False,,,0,,M. Beasley REBOUND (Off:0 Def:1),[1627736],5,1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Left Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11:20,11,PT11M20.00S,2022-12-08T02:10:57.8Z,1,REGULAR,foul,personal,['2freethrow'],1629660,,,1610612762,0,0,2022-12-08T02:11:06Z,110000,False,,,0,,T. Jerome shooting personal FOUL (1 PF) (Olynyk 2 FT),"[1629660, 203482]",10,1610612744.0,GSW,shooting,,,Jerome,T. Jerome,,,,,Mid-Range,8-16 Left,,,,,,,1627963.0,1.0,0.0,Olynyk,203482.0,,,,,,,,,
11:20,13,PT11M20.00S,2022-12-08T02:11:21.4Z,1,REGULAR,freethrow,1 of 2,[],203482,,,1610612762,1,0,2022-12-08T02:11:21Z,130000,False,,,0,,K. Olynyk Free Throw 1 of 2 (1 PTS),[203482],41,1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
11:20,14,PT11M20.00S,2022-12-08T02:11:35.4Z,1,REGULAR,freethrow,2 of 2,[],203482,,,1610612762,2,0,2022-12-08T02:11:35Z,140000,False,,,0,,K. Olynyk Free Throw 2 of 2 (2 PTS),[203482],41,1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
11:02,15,PT11M02.00S,2022-12-08T02:11:56.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629660,6.389618922470433,44.6078431372549,1610612744,2,0,2022-12-08T02:12:03Z,150000,False,27.0,8.0,1,left,MISS T. Jerome Layup - blocked,"[1629660, 1631117]",10,1610612744.0,GSW,,,,Jerome,T. Jerome,,,,,Restricted Area,0-8 Center,2.8,Missed,,,,,,,,,,,Kessler,1631117.0,,,,,,
