actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-02-02T02:12:43.6Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-02T02:12:43Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2023-02-02T02:12:49.3Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2023-02-02T02:12:49Z,40000,False,,,0,,Jump Ball W. Kessler vs. S. Barnes: Tip to L. Markkanen,"[1628374, 1631117, 1630567]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2023-02-02T02:13:02.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631117,91.93495400788436,55.88235294117647,1610612762,0,0,2023-02-02T02:13:07Z,70000,False,29.0,23.0,1,right,MISS W. Kessler alley-oop Layup,[1631117],1610612762.0,UTA,alley-oop,,,Kessler,W. Kessler,,,,,Restricted Area,0-8 Center,3.75,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-02-02T02:13:04.5Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,0,2023-02-02T02:13:07Z,80000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-02-02T02:13:07.4Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1627783,7.5722733245729295,48.28431372549019,1610612761,0,0,2023-02-02T02:14:21Z,90000,False,9.0,19.0,1,left,MISS P. Siakam running Layup,[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,2.06,Missed,,,,,,,,,,,,,,,,,,
10,PT11M33.00S,2023-02-02T02:13:10.4Z,1,REGULAR,rebound,defensive,[],201144,,,1610612762,0,0,2023-02-02T02:13:14Z,100000,False,,,0,,M. Conley REBOUND (Off:0 Def:1),[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M14.00S,2023-02-02T02:13:28.9Z,1,REGULAR,2pt,Jump Shot,[],203903,93.03547963206307,91.68964460784314,1610612762,0,0,2023-02-02T02:22:40Z,110000,False,208.0,13.0,1,right,MISS J. Clarkson 20' step back Shot,[203903],1610612762.0,UTA,step back,,,Clarkson,J. Clarkson,,,,,Mid-Range,16-24 Right,20.88,Missed,,,,,,,,,,,,,,,,,,
12,PT11M11.00S,2023-02-02T02:13:31.9Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612761,0,0,2023-02-02T02:13:35Z,120000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612761.0,TOR,,,,Siakam,P. Siakam,,,,,Right Corner 3,24+ Right,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M01.00S,2023-02-02T02:13:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627783,12.434296977660972,46.568627450980394,1610612761,0,0,2023-02-02T02:15:56Z,130000,False,17.0,64.0,1,left,MISS P. Siakam 6' floating Shot,[1627783],1610612761.0,TOR,floating,,,Siakam,P. Siakam,,,,,In The Paint (Non-RA),0-8 Center,6.67,Missed,,,,,,,,,,,,,,,,,,
14,PT10M58.00S,2023-02-02T02:13:45.3Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,0,0,2023-02-02T02:13:49Z,140000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M56.00S,2023-02-02T02:13:47.0Z,1,REGULAR,turnover,bad pass,[],203482,,,1610612762,0,0,2023-02-02T02:13:53Z,150000,False,,,0,,K. Olynyk bad pass TURNOVER (1 TO),"[203482, 1629018]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Center,,,,,,,1.0,Trent Jr.,1629018.0,,,,,,,,,,,
16,PT10M56.00S,2023-02-02T02:13:47.0Z,1,REGULAR,steal,,[],1629018,,,1610612761,0,0,2023-02-02T02:13:49Z,160000,False,,,0,,G. Trent Jr. STEAL (1 STL),[1629018],1610612761.0,TOR,,,,Trent Jr.,G. Trent Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
17,PT10M53.00S,2023-02-02T02:13:50.0Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629018,8.09789750328515,42.40196078431372,1610612761,0,0,2023-02-02T02:16:15Z,170000,False,38.0,24.0,1,left,MISS G. Trent Jr. running Layup - blocked,"[1629018, 203482]",1610612761.0,TOR,running,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),0-8 Center,4.47,Missed,,,,,,,,Olynyk,203482.0,,,,,,,,,
18,PT10M53.00S,2023-02-02T02:13:50.0Z,1,REGULAR,block,,[],203482,,,1610612761,0,0,2023-02-02T02:13:51Z,180000,False,,,0,,K. Olynyk BLOCK (1 BLK),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
19,PT10M48.00S,2023-02-02T02:13:55.0Z,1,REGULAR,rebound,offensive,[],1630173,,,1610612761,0,0,2023-02-02T02:13:57Z,190000,False,,,0,,P. Achiuwa REBOUND (Off:1 Def:0),[1630173],1610612761.0,TOR,,,,Achiuwa,P. Achiuwa,,,,,In The Paint (Non-RA),0-8 Center,,,17.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M48.00S,2023-02-02T02:13:54.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630173,5.590000152587891,50.0,1610612761,0,2,2023-02-02T02:13:54Z,200000,False,0.0,0.0,1,left,P. Achiuwa putback Layup (2 PTS),[1630173],1610612761.0,TOR,putback,,,Achiuwa,P. Achiuwa,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,,,,,,2.0,,,,,,,,
21,PT10M43.00S,2023-02-02T02:13:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,91.93495400788436,54.41176470588235,1610612762,0,2,2023-02-02T02:14:05Z,210000,False,22.0,23.0,1,right,MISS K. Olynyk driving Layup,[203482],1610612762.0,UTA,driving,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,3.21,Missed,,,,,,,,,,,,,,,,,,
22,PT10M41.00S,2023-02-02T02:14:01.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,2,2023-02-02T02:14:05Z,220000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,21.0,1.0,1.0,0.0,,,,,,,,,,,,,,
23,PT10M36.00S,2023-02-02T02:14:06.7Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627832,22.552562417871222,87.00980392156863,1610612761,0,2,2023-02-02T02:14:43Z,230000,False,-185.0,159.0,1,left,MISS F. VanVleet 24' running 3PT,[1627832],1610612761.0,TOR,running,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,24.43,Missed,,,,,,,,,,,,,,,,,,
24,PT10M33.00S,2023-02-02T02:14:09.7Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,2,2023-02-02T02:14:13Z,240000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,,,23.0,1.0,1.0,0.0,,,,,,,,,,,,,,
25,PT10M21.00S,2023-02-02T02:14:21.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201144,88.91261498028909,44.85294117647059,1610612762,2,2,2023-02-02T02:14:27Z,250000,False,-26.0,52.0,1,right,M. Conley driving Layup (2 PTS),[201144],1610612762.0,UTA,driving,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,5.77,Made,,,,,,,,,,2.0,,,,,,,,
