actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-12-16T02:10:24.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-16T02:10:24Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-12-16T02:10:27.8Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612740,0,0,2022-12-16T02:10:27Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. K. Olynyk: Tip to C. McCollum,"[203468, 202685, 203482]",1610612740.0,NOP,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Valanciunas,202685.0,Olynyk,203482.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-12-16T02:11:00.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202685,92.72339027595268,43.38235294117647,1610612740,0,0,2022-12-16T02:11:05Z,80000,False,-33.0,16.0,1,right,MISS J. Valanciunas Layup,[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,3.67,Missed,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-12-16T02:11:04.3Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,0,0,2022-12-16T02:11:05Z,90000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M23.00S,2022-12-16T02:11:18.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629020,5.601182654402102,48.77450980392157,1610612762,0,0,2022-12-16T02:11:23Z,100000,False,6.0,0.0,1,left,MISS J. Vanderbilt reverse Layup,[1629020],1610612762.0,UTA,reverse,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,0.61,Missed,,,,,,,,,,,,,,,,,,
11,PT11M22.00S,2022-12-16T02:11:19.1Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612762,0,0,2022-12-16T02:11:23Z,110000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M12.00S,2022-12-16T02:11:29.0Z,1,REGULAR,turnover,bad pass,[],203903,,,1610612762,0,0,2022-12-16T02:11:33Z,120000,False,,,0,,J. Clarkson bad pass TURNOVER (1 TO),"[203903, 1630529]",1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Jones,1630529.0,,,,,,,,,,,
13,PT11M12.00S,2022-12-16T02:11:29.0Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2022-12-16T02:11:30Z,130000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT11M09.00S,2022-12-16T02:11:32.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630529,91.93495400788436,52.20588235294118,1610612740,0,0,2022-12-16T02:11:46Z,140000,False,11.0,23.0,1,right,MISS H. Jones running DUNK,[1630529],1610612740.0,NOP,running,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,2.58,Missed,,,,,,,,,,,,,,,,,,
15,PT11M08.00S,2022-12-16T02:11:33.3Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612762,0,0,2022-12-16T02:11:37Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Restricted Area,0-8 Center,,,14.0,,,,,,,,,,,,,,,,,
