actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-23T02:11:34.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-23T02:11:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-23T02:11:36.5Z,1,REGULAR,jumpball,recovered,[],203903,,,1610612762,0,0,2022-12-23T02:11:36Z,40000,False,,,0,,Jump Ball W. Kessler vs. D. Gafford: Tip to J. Clarkson,"[203903, 1631117, 1629655]",1610612762.0,UTA,startperiod,J. Clarkson,203903.0,Clarkson,J. Clarkson,Kessler,1631117.0,Gafford,1629655.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M52.00S,2022-12-23T02:11:42.6Z,1,REGULAR,3pt,Jump Shot,[],201144,29.77989487516426,24.754901960784316,1610612762,0,0,2022-12-23T02:12:36Z,70000,False,126.0,227.0,1,left,MISS M. Conley 26' pullup 3PT,[201144],1610612762.0,UTA,pullup,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,26.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M49.00S,2022-12-23T02:11:45.6Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612764,0,0,2022-12-23T02:11:47Z,80000,False,,,0,,TEAM defensive REBOUND,[],1610612764.0,WAS,,,,,,,,,,Above the Break 3,24+ Right Center,,,7.0,,,,,,,,,,,,,,,,,
10,PT11M32.00S,2022-12-23T02:12:07.1Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629655,91.93495400788436,53.92156862745098,1610612764,0,2,2022-12-23T02:12:11Z,100000,False,20.0,23.0,1,right,D. Gafford alley-oop DUNK (2 PTS) (B. Beal 1 AST),"[1629655, 203078]",1610612764.0,WAS,alley-oop,,,Gafford,D. Gafford,,,,,Restricted Area,0-8 Center,3.04,Made,,2.0,B. Beal,203078.0,1.0,,,,,,,,,,,,,
12,PT11M18.00S,2022-12-23T02:12:22.1Z,1,REGULAR,turnover,out-of-bounds,[],1631117,,,1610612762,0,2,2022-12-23T02:12:28Z,120000,False,,,0,,W. Kessler bad pass out-of-bounds TURNOVER (1 TO),[1631117],1610612762.0,UTA,bad pass,,,Kessler,W. Kessler,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1628480.0,1.0,,,,,,,,,,,
13,PT11M01.00S,2022-12-23T02:12:43.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628398,93.77463863337714,2.696078431372549,1610612764,0,2,2022-12-23T02:12:48Z,130000,False,-237.0,6.0,1,right,MISS K. Kuzma 3PT,[1628398],1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,Left Corner 3,24+ Left,23.66,Missed,,,,,,,,,,,,,,,,,,
14,PT10M57.00S,2022-12-23T02:12:47.0Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,0,2,2022-12-23T02:12:48Z,140000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Left Corner 3,24+ Left,,,13.0,,,,,,,1.0,1.0,0.0,,,,,,,,
15,PT10M43.00S,2022-12-23T02:13:01.1Z,1,REGULAR,3pt,Jump Shot,[],1628374,23.603810775295663,87.00980392156863,1610612762,3,2,2022-12-23T02:13:05Z,150000,False,-185.0,169.0,1,left,L. Markkanen 25' 3PT  (3 PTS) (M. Conley 1 AST),"[1628374, 201144]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,25.08,Made,,3.0,M. Conley,201144.0,1.0,,,,,,,,,,,,,
17,PT10M23.00S,2022-12-23T02:13:20.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628398,92.19776609724047,60.78431372549019,1610612764,3,2,2022-12-23T02:13:25Z,170000,False,54.0,21.0,1,right,MISS K. Kuzma Layup - blocked,"[1628398, 1631117]",1610612764.0,WAS,,,,Kuzma,K. Kuzma,,,,,In The Paint (Non-RA),0-8 Center,5.78,Missed,,,,,,,,,,,Kessler,1631117.0,,,,,,
