actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-01-24T02:10:30.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-24T02:10:30Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-01-24T02:10:32.8Z,1,REGULAR,jumpball,recovered,[],1627736,,,1610612762,0,0,2023-01-24T02:10:32Z,40000,False,,,0,,Jump Ball W. Kessler vs. M. Plumlee: Tip to M. Beasley,"[1627736, 1631117, 203486]",1610612762.0,UTA,startperiod,M. Beasley,1627736.0,Beasley,M. Beasley,Kessler,1631117.0,Plumlee,203486.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2023-01-24T02:10:49.3Z,1,REGULAR,3pt,Jump Shot,[],1627736,32.276609724047304,49.754901960784316,1610612762,0,0,2023-01-24T02:10:56Z,70000,False,1.0,251.0,1,left,MISS M. Beasley 25' 3PT,[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Center,25.09,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-01-24T02:10:52.3Z,1,REGULAR,rebound,offensive,[],1631117,,,1610612762,0,0,2023-01-24T02:10:56Z,80000,False,,,0,,W. Kessler REBOUND (Off:1 Def:0),[1631117],1610612762.0,UTA,,,,Kessler,W. Kessler,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M36.00S,2023-01-24T02:10:53.4Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201144,15.982260183968464,2.696078431372549,1610612762,0,0,2023-01-24T02:10:59Z,90000,False,237.0,98.0,1,left,MISS M. Conley 25' 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Above the Break 3,24+ Right Center,25.59,Missed,,,,,,,,,,,,,,,,,,
10,PT11M36.00S,2023-01-24T02:10:53.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612762,0,0,2023-01-24T02:10:59Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612762.0,UTA,,,,,,,,,,Above the Break 3,24+ Right Center,,,9.0,,,,,,,,,,,,,,,,,
12,PT11M30.00S,2023-01-24T02:11:16.6Z,1,REGULAR,turnover,out-of-bounds,[],203903,,,1610612762,0,0,2023-01-24T02:11:22Z,120000,False,,,0,,J. Clarkson bad pass out-of-bounds TURNOVER (1 TO),[203903],1610612762.0,UTA,bad pass,,,Clarkson,J. Clarkson,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1628159.0,1.0,,,,,,,,,,,,
13,PT11M13.00S,2023-01-24T02:11:39.9Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",203486,90.88370565045992,48.529411764705884,1610612766,0,2,2023-01-24T02:11:43Z,130000,False,-7.0,33.0,1,right,M. Plumlee turnaround Hook (2 PTS) (G. Hayward 1 AST),"[203486, 202330]",1610612766.0,CHA,turnaround,,,Plumlee,M. Plumlee,,,,,Restricted Area,0-8 Center,3.4,Made,,,,,,,2.0,G. Hayward,202330.0,1.0,,,,,,,,
15,PT11M00.00S,2023-01-24T02:11:52.7Z,1,REGULAR,3pt,Jump Shot,[],1628374,29.25427069645204,73.52941176470588,1610612762,0,2,2023-01-24T02:11:56Z,150000,False,-118.0,222.0,1,left,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Left Center,25.17,Missed,,,,,,,,,,,,,,,,,,
16,PT10M57.00S,2023-01-24T02:11:55.7Z,1,REGULAR,rebound,defensive,[],203486,,,1610612766,0,2,2023-01-24T02:11:56Z,160000,False,,,0,,M. Plumlee REBOUND (Off:0 Def:1),[203486],1610612766.0,CHA,,,,Plumlee,M. Plumlee,,,,,Above the Break 3,24+ Left Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M50.00S,2023-01-24T02:12:18.8Z,1,REGULAR,turnover,bad pass,[],1629667,,,1610612766,0,2,2023-01-24T02:19:26Z,180000,False,,,0,,J. McDaniels bad pass TURNOVER (1 TO),"[1629667, 1627736]",1610612766.0,CHA,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,Beasley,1627736.0,,,,,,
19,PT10M50.00S,2023-01-24T02:12:18.8Z,1,REGULAR,steal,,[],1627736,,,1610612762,0,2,2023-01-24T02:12:20Z,190000,False,,,0,,M. Beasley STEAL (1 STL),[1627736],1610612762.0,UTA,,,,Beasley,M. Beasley,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
20,PT10M44.00S,2023-01-24T02:12:24.1Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1627736,27.151773981603156,18.137254901960784,1610612762,3,2,2023-01-24T02:12:32Z,200000,False,159.0,203.0,1,left,M. Beasley 25' 3PT pullup (3 PTS),[1627736],1610612762.0,UTA,pullup,,,Beasley,M. Beasley,,,,,Above the Break 3,24+ Right Center,25.78,Made,,,,,,,3.0,,,,,,,,,,,
21,PT10M31.00S,2023-01-24T02:12:36.8Z,1,REGULAR,2pt,Jump Shot,[],1626179,75.77201051248358,39.950980392156865,1610612766,3,4,2023-01-24T02:12:41Z,210000,False,-50.0,175.0,1,right,T. Rozier 18' pullup Jump Shot (2 PTS),[1626179],1610612766.0,CHA,pullup,,,Rozier,T. Rozier,,,,,Mid-Range,16-24 Center,18.23,Made,,,,,,,2.0,,,,,,,,,,,
22,PT10M17.00S,2023-01-24T02:12:50.3Z,1,REGULAR,3pt,Jump Shot,[],203903,20.318659658344284,6.862745098039216,1610612762,3,4,2023-01-24T02:12:53Z,220000,False,216.0,138.0,1,left,MISS J. Clarkson 25' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,25.63,Missed,,,,,,,,,,,,,,,,,,
23,PT10M16.00S,2023-01-24T02:12:51.3Z,1,REGULAR,rebound,defensive,[],1626179,,,1610612766,3,4,2023-01-24T02:12:53Z,230000,False,,,0,,T. Rozier REBOUND (Off:0 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Above the Break 3,24+ Right Center,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,,,
24,PT10M12.00S,2023-01-24T02:12:56.3Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],202330,83.919185282523,73.77450980392157,1610612766,3,4,2023-01-24T02:13:02Z,240000,False,119.0,99.0,1,right,MISS G. Hayward 15' pullup Shot,[202330],1610612766.0,CHA,pullup,,,Hayward,G. Hayward,,,,,Mid-Range,8-16 Right,15.45,Missed,,,,,,,,,,,,,,,,,,
25,PT10M09.00S,2023-01-24T02:12:59.3Z,1,REGULAR,rebound,offensive,[],1626179,,,1610612766,3,4,2023-01-24T02:13:02Z,250000,False,,,0,,T. Rozier REBOUND (Off:1 Def:1),[1626179],1610612766.0,CHA,,,,Rozier,T. Rozier,,,,,Mid-Range,8-16 Right,,,24.0,2.0,1.0,1.0,,,,,,,,,,,,,,
