actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
702,PT00M21.20S,2023-01-01T04:27:42.9Z,4,REGULAR,substitution,in,[],1629216,,,1610612748,117,121,2023-01-01T04:28:01Z,6970000,False,,,0,,SUB in: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
703,PT00M19.70S,2023-01-01T04:28:19.2Z,4,REGULAR,foul,personal,"['inpenalty', '2freethrow']",1628374,,,1610612748,117,121,2023-01-01T04:29:20Z,6980000,False,,,0,,L. Markkanen take personal FOUL (2 PF) (Adebayo 2 FT),"[1628374, 1628389]",1610612762.0,UTA,take,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,,,,,,,,,,204059.0,2.0,0.0,Adebayo,1628389.0,,,,,,
706,PT00M19.70S,2023-01-01T04:28:50.5Z,4,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,117,122,2023-01-01T04:29:29Z,7010000,False,,,0,,B. Adebayo Free Throw 1 of 2 (32 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,32.0,,,,,,,,,,,,,,,,,
707,PT00M19.70S,2023-01-01T04:28:50.5Z,4,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,117,122,2023-01-01T04:29:29Z,7020000,False,,,0,,MISS B. Adebayo Free Throw 2 of 2,[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
708,PT00M16.00S,2023-01-01T04:28:54.2Z,4,REGULAR,rebound,defensive,[],203903,,,1610612762,117,122,2023-01-01T04:29:29Z,7030000,False,,,0,,J. Clarkson REBOUND (Off:1 Def:4),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,,,,,,,,,,,,,,707.0,5.0,4.0,1.0,,
709,PT00M14.20S,2023-01-01T04:29:30.4Z,4,REGULAR,foul,personal,"['inpenalty', '3freethrow']",1629216,,,1610612762,117,122,2023-01-01T04:29:40Z,7040000,False,,,0,,G. Vincent shooting personal FOUL (4 PF) (Clarkson 3 FT),"[1629216, 203903]",1610612748.0,MIA,shooting,,,Vincent,G. Vincent,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,204059.0,4.0,0.0,Clarkson,203903.0,,,,,,
711,PT00M14.20S,2023-01-01T04:30:06.0Z,4,REGULAR,freethrow,1 of 3,[],203903,,,1610612762,118,122,2023-01-01T04:30:05Z,7060000,False,,,0,,J. Clarkson Free Throw 1 of 3 (20 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,20.0,,,,,,,,,,,,,,,,,
712,PT00M14.20S,2023-01-01T04:30:23.2Z,4,REGULAR,freethrow,2 of 3,[],203903,,,1610612762,119,122,2023-01-01T04:30:23Z,7070000,False,,,0,,J. Clarkson Free Throw 2 of 3 (21 PTS),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,,,,Made,21.0,,,,,,,,,,,,,,,,,
713,PT00M14.20S,2023-01-01T04:30:23.8Z,4,REGULAR,substitution,out,[],1629216,,,1610612762,119,122,2023-01-01T04:30:25Z,7080000,False,,,0,,SUB out: G. Vincent,[1629216],1610612748.0,MIA,,,,Vincent,G. Vincent,,,,,,,,,,,,,,,,,,,,,,,,,,
714,PT00M14.20S,2023-01-01T04:30:23.8Z,4,REGULAR,substitution,in,[],1629312,,,1610612762,119,122,2023-01-01T04:30:25Z,7090000,False,,,0,,SUB in: H. Highsmith,[1629312],1610612748.0,MIA,,,,Highsmith,H. Highsmith,,,,,,,,,,,,,,,,,,,,,,,,,,
