actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-04-05T01:10:38.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-04-05T01:10:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-04-05T01:10:39.5Z,1,REGULAR,jumpball,recovered,[],1629659,,,1610612762,0,0,2023-04-05T01:10:39Z,40000,False,,,0,,Jump Ball U. Azubuike vs. A. Davis: Tip to T. Horton-Tucker,"[1629659, 1628962, 203076]",1610612762.0,UTA,startperiod,T. Horton-Tucker,1629659.0,Horton-Tucker,T. Horton-Tucker,Azubuike,1628962.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2023-04-05T01:10:51.0Z,1,REGULAR,2pt,Jump Shot,[],1629659,90.09526938239159,73.2843137254902,1610612762,2,0,2023-04-05T01:10:58Z,70000,False,116.0,41.0,1,right,T. Horton-Tucker 12' floating Jump Shot (2 PTS),[1629659],1610612762.0,UTA,floating,,,Horton-Tucker,T. Horton-Tucker,,,,,Mid-Range,8-16 Right,12.33,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M22.00S,2023-04-05T01:11:15.2Z,1,REGULAR,2pt,Jump Shot,[],2544,16.507884362680684,83.33333333333334,1610612747,2,0,2023-04-05T01:11:21Z,80000,False,-167.0,103.0,1,left,MISS L. James 19' Jump Shot,[2544],1610612747.0,LAL,,,,James,L. James,,,,,Mid-Range,16-24 Left,19.58,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2023-04-05T01:11:18.2Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612762,2,0,2023-04-05T01:11:21Z,90000,False,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:1),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Mid-Range,16-24 Left,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M15.00S,2023-04-05T01:11:22.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630534,70.38436268068331,73.0392156862745,1610612762,5,0,2023-04-05T01:11:54Z,100000,False,115.0,226.0,1,right,O. Agbaji 25' 3PT running pullup (3 PTS) (T. Horton-Tucker 1 AST),"[1630534, 1629659]",1610612762.0,UTA,running pullup,,,Agbaji,O. Agbaji,,,,,Above the Break 3,24+ Right Center,25.36,Made,3.0,,,,,T. Horton-Tucker,1629659.0,1.0,,,,,,,,,,
12,PT10M59.00S,2023-04-05T01:11:38.4Z,1,REGULAR,3pt,Jump Shot,[],1629020,5.075558475689881,2.941176470588235,1610612747,5,0,2023-04-05T01:11:44Z,120000,False,235.0,-5.0,1,left,MISS J. Vanderbilt 3PT,[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,23.53,Missed,,,,,,,,,,,,,,,,,,
13,PT10M55.00S,2023-04-05T01:11:42.4Z,1,REGULAR,rebound,defensive,[],1629659,,,1610612762,5,0,2023-04-05T01:11:44Z,130000,False,,,0,,T. Horton-Tucker REBOUND (Off:0 Def:2),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,Right Corner 3,24+ Right,,,,12.0,2.0,2.0,0.0,,,,,,,,,,,,,
14,PT10M45.00S,2023-04-05T01:11:55.2Z,1,REGULAR,turnover,out-of-bounds,[],1629659,,,1610612762,5,0,2023-04-05T01:12:02Z,140000,False,,,0,,T. Horton-Tucker bad pass out-of-bounds TURNOVER (1 TO),[1629659],1610612762.0,UTA,bad pass,,,Horton-Tucker,T. Horton-Tucker,,,,,Mid-Range,16-24 Center,,,,,,,,,,,203054.0,1.0,,,,,,,,
15,PT10M30.00S,2023-04-05T01:12:18.5Z,1,REGULAR,turnover,out-of-bounds,[],203471,,,1610612747,5,0,2023-04-05T01:12:24Z,150000,False,,,0,,D. Schroder bad pass out-of-bounds TURNOVER (1 TO),[203471],1610612747.0,LAL,bad pass,,,Schroder,D. Schroder,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203054.0,1.0,,,,,,,,
16,PT10M20.00S,2023-04-05T01:12:37.0Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1630534,83.65637319316689,19.362745098039216,1610612762,5,0,2023-04-05T01:12:44Z,160000,False,-153.0,101.0,1,right,MISS O. Agbaji 18' pullup Shot,[1630534],1610612762.0,UTA,pullup,,,Agbaji,O. Agbaji,,,,,Mid-Range,16-24 Left,18.36,Missed,,,,,,,,,,,,,,,,,,
17,PT10M14.00S,2023-04-05T01:12:43.0Z,1,REGULAR,rebound,defensive,[],1630559,,,1610612747,5,0,2023-04-05T01:12:44Z,170000,False,,,0,,A. Reaves REBOUND (Off:0 Def:1),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,Mid-Range,16-24 Left,,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,
18,PT10M05.00S,2023-04-05T01:12:51.9Z,1,REGULAR,3pt,Jump Shot,[],1630559,24.78646517739816,84.06862745098039,1610612747,5,3,2023-04-05T01:13:24Z,180000,False,-170.0,180.0,1,left,A. Reaves 24' 3PT pullup (3 PTS) (A. Davis 1 AST),"[1630559, 203076]",1610612747.0,LAL,pullup,,,Reaves,A. Reaves,,,,,Above the Break 3,24+ Left Center,24.82,Made,3.0,,,,,A. Davis,203076.0,1.0,,,,,,,,,,
20,PT09M51.00S,2023-04-05T01:13:05.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629659,92.19776609724047,61.274509803921575,1610612762,5,3,2023-04-05T01:13:53Z,200000,False,56.0,21.0,1,right,MISS T. Horton-Tucker 6' driving Layup - blocked,"[1629659, 203076]",1610612762.0,UTA,driving,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,6.01,Missed,,,,,,,,,,,Davis,203076.0,,,,,,
21,PT09M51.00S,2023-04-05T01:13:05.6Z,1,REGULAR,block,,[],203076,,,1610612762,5,3,2023-04-05T01:13:07Z,210000,False,,,0,,A. Davis BLOCK (1 BLK),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
22,PT09M49.00S,2023-04-05T01:13:07.6Z,1,REGULAR,rebound,defensive,[],2544,,,1610612747,5,3,2023-04-05T01:13:10Z,220000,False,,,0,,L. James REBOUND (Off:0 Def:1),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,
23,PT09M38.00S,2023-04-05T01:13:18.4Z,1,REGULAR,3pt,Jump Shot,[],1629020,5.732588699080158,2.696078431372549,1610612747,5,6,2023-04-05T01:13:23Z,230000,False,237.0,1.0,1,left,J. Vanderbilt 3PT  (3 PTS) (A. Davis 2 AST),"[1629020, 203076]",1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,23.65,Made,3.0,,,,,A. Davis,203076.0,2.0,,,,,,,,,,
25,PT09M10.00S,2023-04-05T01:13:47.3Z,1,REGULAR,turnover,bad pass,[],1630534,,,1610612762,5,6,2023-04-05T01:13:52Z,250000,False,,,0,,O. Agbaji bad pass TURNOVER (1 TO),"[1630534, 1629020]",1610612762.0,UTA,,,,Agbaji,O. Agbaji,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,1.0,,,Vanderbilt,1629020.0,,,,
26,PT09M10.00S,2023-04-05T01:13:47.3Z,1,REGULAR,steal,,[],1629020,,,1610612747,5,6,2023-04-05T01:13:49Z,260000,False,,,0,,J. Vanderbilt STEAL (1 STL),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
27,PT09M04.00S,2023-04-05T01:13:52.3Z,1,REGULAR,turnover,lost ball,[],2544,,,1610612747,5,6,2023-04-05T01:13:57Z,270000,False,,,0,,L. James lost ball TURNOVER (1 TO),"[2544, 1629659]",1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,1.0,,,Horton-Tucker,1629659.0,,,,
28,PT09M04.00S,2023-04-05T01:13:52.3Z,1,REGULAR,steal,,[],1629659,,,1610612762,5,6,2023-04-05T01:13:54Z,280000,False,,,0,,T. Horton-Tucker STEAL (1 STL),[1629659],1610612762.0,UTA,,,,Horton-Tucker,T. Horton-Tucker,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
29,PT08M55.00S,2023-04-05T01:14:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630534,91.5407358738502,53.431372549019606,1610612762,7,6,2023-04-05T01:14:06Z,290000,False,17.0,27.0,1,right,O. Agbaji driving Layup (5 PTS) (K. Olynyk 1 AST),"[1630534, 203482]",1610612762.0,UTA,driving,,,Agbaji,O. Agbaji,,,,,Restricted Area,0-8 Center,3.2,Made,5.0,,,,,K. Olynyk,203482.0,1.0,,,,,,,,,,
31,PT08M42.00S,2023-04-05T01:14:14.7Z,1,REGULAR,2pt,Jump Shot,[],2544,12.040078843626807,16.666666666666664,1610612747,7,8,2023-04-05T01:15:48Z,310000,False,167.0,61.0,1,left,L. James 17' pullup Jump Shot (2 PTS),[2544],1610612747.0,LAL,pullup,,,James,L. James,,,,,Mid-Range,16-24 Right,17.74,Made,2.0,,,,,,,,,,,,,,,,,
32,PT08M30.00S,2023-04-05T01:14:27.1Z,1,REGULAR,2pt,Jump Shot,[],203482,74.45795006570303,45.83333333333333,1610612762,9,8,2023-04-05T01:16:28Z,320000,False,-21.0,188.0,1,right,K. Olynyk 18' pullup Jump Shot (2 PTS) (T. Horton-Tucker 2 AST),"[203482, 1629659]",1610612762.0,UTA,pullup,,,Olynyk,K. Olynyk,,,,,Mid-Range,16-24 Center,18.87,Made,2.0,,,,,T. Horton-Tucker,1629659.0,2.0,,,,,,,,,,
34,PT08M09.00S,2023-04-05T01:14:47.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203076,9.280551905387648,45.83333333333333,1610612747,9,8,2023-04-05T01:14:52Z,340000,False,21.0,35.0,1,left,MISS A. Davis floating Shot,[203076],1610612747.0,LAL,floating,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,4.05,Missed,,,,,,,,,,,,,,,,,,
35,PT08M06.00S,2023-04-05T01:14:50.1Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,9,8,2023-04-05T01:14:50Z,350000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,34.0,1.0,1.0,0.0,,,,,,,,,,,,,
36,PT08M01.00S,2023-04-05T01:14:55.7Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1629677,91.27792378449409,47.30392156862745,1610612762,11,8,2023-04-05T01:15:00Z,360000,False,-13.0,29.0,1,right,L. Samanic cutting DUNK (2 PTS) (K. Olynyk 2 AST),"[1629677, 203482]",1610612762.0,UTA,cutting,,,Samanic,L. Samanic,,,,,Restricted Area,0-8 Center,3.24,Made,2.0,,,,,K. Olynyk,203482.0,2.0,,,,,,,,,,
38,PT07M49.00S,2023-04-05T01:15:11.8Z,1,REGULAR,foul,personal,['2freethrow'],1628962,,,1610612747,11,8,2023-04-05T01:15:35Z,380000,False,,,0,,U. Azubuike shooting personal FOUL (1 PF) (James 2 FT),"[1628962, 2544]",1610612762.0,UTA,shooting,,,Azubuike,U. Azubuike,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,203054.0,,,,,,1.0,0.0,James,2544.0
40,PT07M49.00S,2023-04-05T01:15:35.7Z,1,REGULAR,freethrow,1 of 2,[],2544,,,1610612747,11,9,2023-04-05T01:15:35Z,400000,False,,,0,,L. James Free Throw 1 of 2 (3 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,3.0,,,,,,,,,,,,,,,,,
41,PT07M49.00S,2023-04-05T01:15:50.9Z,1,REGULAR,freethrow,2 of 2,[],2544,,,1610612747,11,10,2023-04-05T01:15:50Z,410000,False,,,0,,L. James Free Throw 2 of 2 (4 PTS),[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,Made,4.0,,,,,,,,,,,,,,,,,
42,PT07M33.00S,2023-04-05T01:16:08.7Z,1,REGULAR,3pt,Jump Shot,[],203482,83.78777923784494,3.9215686274509802,1610612762,14,10,2023-04-05T01:16:14Z,420000,False,-230.0,100.0,1,right,K. Olynyk 25' 3PT  (5 PTS) (O. Agbaji 1 AST),"[203482, 1630534]",1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Above the Break 3,24+ Left Center,25.11,Made,5.0,,,,,O. Agbaji,1630534.0,1.0,,,,,,,,,,
44,PT07M16.00S,2023-04-05T01:16:25.6Z,1,REGULAR,2pt,Jump Shot,[],203076,7.835085413929041,66.42156862745098,1610612747,14,12,2023-04-05T01:16:29Z,440000,False,-82.0,21.0,1,left,A. Davis 8' turnaround Jump Shot (2 PTS),[203076],1610612747.0,LAL,turnaround,,,Davis,A. Davis,,,,,Mid-Range,8-16 Left,8.48,Made,2.0,,,,,,,,,,,,,,,,,
45,PT06M55.00S,2023-04-05T01:16:46.6Z,1,REGULAR,3pt,Jump Shot,[],1629677,73.66951379763469,17.401960784313726,1610612762,14,12,2023-04-05T01:16:51Z,450000,False,-163.0,195.0,1,right,MISS L. Samanic 25' 3PT,[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,Above the Break 3,24+ Left Center,25.42,Missed,,,,,,,,,,,,,,,,,,
46,PT06M52.00S,2023-04-05T01:16:49.6Z,1,REGULAR,rebound,defensive,[],1629020,,,1610612747,14,12,2023-04-05T01:16:51Z,460000,False,,,0,,J. Vanderbilt REBOUND (Off:0 Def:1),[1629020],1610612747.0,LAL,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Left Center,,,,45.0,1.0,1.0,0.0,,,,,,,,,,,,,
47,PT06M43.00S,2023-04-05T01:17:00.9Z,1,REGULAR,foul,personal,['2freethrow'],1628962,,,1610612747,14,12,2023-04-05T01:20:12Z,470000,False,,,0,,U. Azubuike shooting personal FOUL (2 PF) (Davis 2 FT),"[1628962, 203076]",1610612762.0,UTA,shooting,,,Azubuike,U. Azubuike,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,101284.0,,,,,,2.0,0.0,Davis,203076.0
49,PT06M43.00S,2023-04-05T01:17:07.1Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612747,14,12,2023-04-05T01:17:07Z,490000,False,,,0,,UTA Timeout,[],1610612762.0,UTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PT06M43.00S,2023-04-05T01:17:44.8Z,1,REGULAR,substitution,out,[],1628962,,,1610612747,14,12,2023-04-05T01:19:51Z,500000,False,,,0,,SUB out: U. Azubuike,[1628962],1610612762.0,UTA,,,,Azubuike,U. Azubuike,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PT06M43.00S,2023-04-05T01:17:44.8Z,1,REGULAR,substitution,out,[],1629677,,,1610612747,14,12,2023-04-05T01:19:51Z,510000,False,,,0,,SUB out: L. Samanic,[1629677],1610612762.0,UTA,,,,Samanic,L. Samanic,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PT06M43.00S,2023-04-05T01:17:44.8Z,1,REGULAR,substitution,out,[],2544,,,1610612747,14,12,2023-04-05T01:19:51Z,520000,False,,,0,,SUB out: L. James,[2544],1610612747.0,LAL,,,,James,L. James,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT06M43.00S,2023-04-05T01:17:44.8Z,1,REGULAR,substitution,in,[],1627745,,,1610612747,14,12,2023-04-05T01:19:51Z,530000,False,,,0,,SUB in: D. Jones,[1627745],1610612762.0,UTA,,,,Jones,D. Jones,,,,,,,,,,,,,,,,,,,,,,,,,,
